Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Хвастовичская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7858	95	369	118	247	515	237	348	53	154	178	217	307	68	199	1619	858	1089	1187									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8000	100	400	140	280	550	250	390	60	160	210	210	360	80	210	1600	900	1000	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4326	53	243	80	159	269	121	203	38	79	117	152	198	41	132	888	466	540	547									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	736	23	63	15	24	66	54	38	6	14	40	11	30	17	33	47	69	75	111									
6	Число погашенных избирательных бюллетеней	2938	24	94	45	97	215	75	149	16	67	53	47	132	22	45	665	365	385	442									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	736	23	63	15	24	66	54	38	6	14	40	11	30	17	33	47	69	75	111									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4326	53	243	80	159	269	121	203	38	79	117	152	198	41	132	888	466	540	547									
9	Число недействительных избирательных бюллетеней	116	0	10	1	2	5	3	3	0	4	5	2	7	2	4	20	18	11	19									
10	Число действительных избирательных бюллетеней	4946	76	296	94	181	330	172	238	44	89	152	161	221	56	161	915	517	604	639									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	634	5	60	20	20	50	30	50	10	15	10	15	35	15	15	95	65	70	54									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	600	5	50	20	15	50	18	43	10	15	10	15	35	15	15	95	65	70	54									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	97	5	6	2	4	11	3	4	2	4	4	10	8	4	5	9	6	8	2									
14	Число погашенных неиспользованных открепительных удостоверений	34	0	10	0	5	0	12	7	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	266	4	4	7	22	8	2	16	0	3	22	0	30	6	4	58	33	40	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	38	0	3	0	1	7	1	2	0	1	1	1	5	0	0	2	4	7	3									
		0.75%	0.00%	0.98%	0.00%	0.55%	2.09%	0.57%	0.83%	0.00%	1.08%	0.64%	0.61%	2.19%	0.00%	0.00%	0.21%	0.75%	1.14%	0.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	145	1	13	3	3	11	4	6	0	5	2	7	7	0	10	19	16	27	11									
		2.86%	1.32%	4.25%	3.16%	1.64%	3.28%	2.29%	2.49%	0.00%	5.38%	1.27%	4.29%	3.07%	0.00%	6.06%	2.03%	2.99%	4.39%	1.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	61	4	3	0	3	2	4	5	1	0	1	0	2	2	3	12	6	6	7									
		1.21%	5.26%	0.98%	0.00%	1.64%	0.60%	2.29%	2.07%	2.27%	0.00%	0.64%	0.00%	0.88%	3.45%	1.82%	1.28%	1.12%	0.98%	1.06%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2976	43	200	71	103	216	106	135	35	57	114	105	136	45	90	491	286	331	412									
