Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Отрадненская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК №3832	УИК №3833	УИК №3834	УИК №3835	УИК №3836	УИК №3837	УИК №3838	УИК №3839	УИК №3840	УИК №3841	УИК №3842	УИК №3843	УИК №3844	УИК №3845	УИК №3846	УИК №3847	УИК №3848	УИК №3849	УИК №3850	УИК №3851					
1	"Число избирателей, внесенных в список"	47511	1972	2850	2398	2188	2191	2693	1859	1775	866	148	412	407	189	1533	1385	1565	183	505	147	365	1018	466	1234	682	183	154	1362	1043	320	730	695	1221	1380	77	148	247	478	1678	845	206	1076	1484	1093	330	258	872	291	1115	510	506	178					
2	Число полученных избирательных бюллетеней	48292	1973	2907	2394	2072	2201	2704	1870	1780	913	146	408	395	188	1552	1394	1529	208	502	149	360	1003	460	1237	682	212	164	1352	1041	319	724	690	1223	1390	79	152	251	491	1675	1282	201	1152	1578	1182	349	261	858	292	1147	512	508	180					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28888	1073	1635	1265	1143	1120	1430	1011	846	675	124	278	281	164	897	795	788	116	392	108	246	605	261	806	420	183	146	991	725	213	450	475	771	786	52	86	158	384	944	639	155	813	1012	700	213	174	555	185	700	389	340	170					
5	"Число избирательных бюллетеней, выданных вне помещения"	2764	28	98	90	198	81	65	101	134	40	7	52	35	21	46	37	106	47	15	8	19	46	86	77	43	0	0	72	34	11	34	14	51	89	6	28	21	10	154	206	27	10	69	82	38	42	80	42	97	34	33	0					
6	Число погашенных избирательных бюллетеней	16640	872	1174	1039	731	1000	1209	758	800	198	15	78	79	3	609	562	635	45	95	33	95	352	113	354	219	29	18	289	282	95	240	201	401	515	21	38	72	97	577	437	19	329	497	400	98	45	223	65	350	89	135	10					
7	Число избирательных бюллетеней в переносных ящиках	2764	28	98	90	198	81	65	101	134	40	7	52	35	21	46	37	106	47	15	8	19	46	86	77	43	0	0	72	34	11	34	14	51	89	6	28	21	10	154	206	27	10	69	82	38	42	80	42	97	34	33	0					
8	Число бюллетеней в стационарных ящиках для голосования	28884	1073	1635	1265	1141	1120	1430	1011	846	675	124	278	281	164	896	795	788	116	392	108	246	605	261	806	420	183	146	991	725	213	450	475	771	786	52	86	158	384	944	639	155	813	1012	700	213	174	555	185	699	389	340	170					
9	Число недействительных избирательных бюллетеней	234	17	0	5	2	8	10	13	17	5	0	3	0	5	5	5	2	0	4	1	3	11	1	3	3	0	0	9	6	1	1	0	4	4	0	0	4	5	2	11	0	16	8	7	0	4	3	2	15	6	2	1					
10	Число действительных избирательных бюллетеней	31414	1084	1733	1350	1337	1193	1485	1099	963	710	131	327	316	180	937	827	892	163	403	115	262	640	346	880	460	183	146	1054	753	223	483	489	818	871	58	114	175	389	1096	834	182	807	1073	775	251	212	632	225	781	417	371	169					
11	Число полученных открепительных  удостоверений	692	20	19	20	20	20	20	20	20	15	9	6	7	7	20	20	20	6	10	7	7	20	10	20	10	7	7	20	20	7	10	10	20	20	7	7	7	8	20	20	7	20	20	19	8	7	15	7	19	9	10	8					
12	Число выданных открепительных удостоверений	168	1	6	12	11	2	5	3	1	0	1	2	0	0	8	7	7	0	2	0	1	3	3	4	0	0	7	11	3	2	3	1	3	10	0	0	0	2	7	3	0	3	5	6	1	1	3	0	11	1	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	91	1	2	8	15	1	5	0	1	2	1	0	0	1	0	1	3	0	0	0	1	4	3	2	1	0	0	5	0	3	0	1	1	7	0	3	2	0	0	0	0	1	5	2	0	0	1	0	3	5	0	0					
14	Число неиспользованных открепительных удостоверений	524	19	13	8	9	18	15	17	19	15	8	4	7	7	12	13	13	6	8	7	6	17	7	16	10	7	0	9	17	5	7	9	17	10	7	7	7	6	13	17	7	17	15	13	7	6	12	7	8	8	4	8					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	. Глазьев Сергей Юрьевич	693	22	44	36	52	44	47	28	8	11	0	12	8	15	27	22	21	7	3	3	7	3	4	10	4	6	4	12	11	4	4	4	25	23	0	2	1	12	18	16	2	16	16	13	1	2	28	4	17	8	3	3					
