Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Аргаяшская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  2199	УИК  2200	УИК  2201	УИК  2202	УИК  2203					
1	"Число избирателей, внесенных в список"	30351	1911	1724	1590	1647	478	850	144	243	380	202	154	632	174	679	1421	607	226	1143	414	412	1362	586	502	252	156	716	452	629	441	394	942	1316	551	498	391	562	1152	539	863	250	1076	385	310	166	156	194	136	101	242					
2	Число полученных избирательных бюллетеней	27505	1650	1500	1500	1500	400	700	135	225	400	200	150	550	160	550	1250	520	230	1000	400	360	1170	510	450	247	155	640	430	500	400	390	900	1200	500	500	380	550	1000	500	800	250	1000	350	280	174	156	181	132	100	280					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20334	1078	1121	1061	1051	337	663	125	210	363	197	140	436	136	427	869	454	183	753	280	297	877	422	367	192	146	451	248	389	256	263	561	703	343	373	218	381	764	387	679	204	607	224	229	155	149	144	127	82	212					
5	"Число избирательных бюллетеней, выданных вне помещения"	1154	53	36	24	41	12	27	10	7	17	3	1	29	5	15	76	0	23	13	22	30	24	12	10	10	3	24	44	24	42	34	25	41	38	55	25	20	25	14	19	0	79	48	39	11	5	12	3	4	20					
6	Число погашенных избирательных бюллетеней	6017	519	343	415	408	51	10	0	8	20	0	9	85	19	108	305	66	24	234	98	33	269	76	73	45	6	165	138	87	102	93	314	456	119	72	137	149	211	99	102	46	314	78	12	8	2	25	2	14	48					
7	Число избирательных бюллетеней в переносных ящиках	1154	53	36	24	41	12	27	10	7	17	3	1	29	5	15	76	0	23	13	22	30	24	12	10	10	3	24	44	24	42	34	25	41	38	55	25	20	25	14	19	0	79	48	39	11	5	12	3	4	20					
8	Число бюллетеней в стационарных ящиках для голосования	20317	1078	1114	1061	1041	337	663	125	210	363	197	140	436	136	427	869	454	183	753	280	297	877	422	367	192	146	451	248	389	256	263	561	703	343	373	218	381	764	387	679	204	607	224	229	155	149	144	127	82	212					
9	Число недействительных избирательных бюллетеней	353	21	19	2	15	3	13	2	2	10	3	4	9	0	7	5	13	8	12	6	4	16	9	2	6	5	6	6	4	10	4	4	9	7	3	3	4	28	2	9	2	13	15	8	1	10	2	0	2	5					
10	Число действительных избирательных бюллетеней	21118	1110	1131	1083	1067	346	677	133	215	370	197	137	456	141	435	940	441	198	754	296	323	885	425	375	196	144	469	286	409	288	293	582	735	374	425	240	397	761	399	689	202	673	257	260	165	144	154	130	84	227					
