Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Сивинская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12134	596	1189	230	349	278	590	286	342	289	370	1028	568	163	570	246	575	1405	1209	1260	591									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11400	500	1150	220	300	250	550	250	300	250	350	1000	550	150	550	230	550	1350	1150	1200	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	217	55	35	0	0	0	1	10	14	0	49	0	0	3	28	0	0	0	0	0	22									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3109	121	303	78	109	60	174	50	101	55	48	305	117	46	141	58	134	332	374	323	180									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	374	0	41	2	13	5	15	4	6	41	39	37	26	3	15	12	14	17	25	11	48									
6	Число погашенных избирательных бюллетеней	7700	324	771	140	178	185	360	186	179	154	214	658	407	98	366	160	402	1001	751	866	300									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	591	55	76	2	13	5	16	14	20	41	88	37	26	6	43	12	14	17	25	11	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3109	121	303	78	109	60	174	50	101	55	48	305	117	46	141	58	134	332	374	323	180									
9	Число недействительных избирательных бюллетеней	113	11	15	2	0	1	14	4	2	3	2	9	3	1	7	4	9	6	11	5	4									
10	Число действительных избирательных бюллетеней	3587	165	364	78	122	64	176	60	119	93	134	333	140	51	177	66	139	343	388	329	246									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	345	20	20	15	15	15	20	15	15	15	15	20	20	10	20	15	20	20	20	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	59	1	6	0	2	2	0	1	1	4	0	4	1	0	1	5	3	8	11	6	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	28	1	3	1	1	2	1	0	1	1	1	0	1	2	1	0	2	4	0	3	3									
14	Число погашенных неиспользованных открепительных удостоверений	286	19	14	15	13	13	20	14	14	11	15	16	19	10	19	10	17	12	9	14	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	1	5	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	38	2	3	0	1	0	3	1	0	2	2	7	0	0	1	0	1	6	1	7	1									
		1.03%	1.14%	0.79%	0.00%	0.82%	0.00%	1.58%	1.56%	0.00%	2.08%	1.47%	2.05%	0.00%	0.00%	0.54%	0.00%	0.68%	1.72%	0.25%	2.10%	0.40%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	111	4	9	3	3	4	4	1	5	3	6	13	6	0	6	1	4	11	9	11	8									
		3.00%	2.27%	2.37%	3.75%	2.46%	6.15%	2.11%	1.56%	4.13%	3.13%	4.41%	3.80%	4.20%	0.00%	3.26%	1.43%	2.70%	3.15%	2.26%	3.29%	3.20%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	110	7	15	2	4	5	3	0	5	2	1	17	3	4	6	1	7	16	4	4	4									
		2.97%	3.98%	3.96%	2.50%	3.28%	7.69%	1.58%	0.00%	4.13%	2.08%	0.74%	4.97%	2.10%	7.69%	3.26%	1.43%	4.73%	4.58%	1.00%	1.20%	1.60%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1947	107	222	48	63	36	82	38	57	52	93	142	78	38	108	34	72	159	190	168	160									
		52.62%	60.80%	58.58%	60.00%	51.64%	55.38%	43.16%	59.38%	47.11%	54.17%	68.38%	41.52%	54.55%	73.08%	58.70%	48.57%	48.65%	45.56%	47.62%	50.30%	64.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	0	2	0	1	0	1	1	1	1	0	0	2	0	2	0	1	2	1	3	0									
		0.49%	0.00%	0.53%	0.00%	0.82%	0.00%	0.53%	1.56%	0.83%	1.04%	0.00%	0.00%	1.40%	0.00%	1.09%	0.00%	0.68%	0.57%	0.25%	0.90%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0									
