Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Наро-Фоминская																																																																																																				
																																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																				
																																																																																																				
		Сумма	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613					
1	"Число избирателей, внесенных в списки"	151677	2220	1815	1920	1516	2208	2404	1204	2174	1729	1986	1533	1772	1672	2929	2160	1373	701	931	2854	2570	2801	2953	2880	2457	2355	2125	1956	474	1424	1891	2263	1581	1820	1706	1081	578	2164	1569	2630	2683	2536	2655	2928	573	2630	2433	1331	2231	1897	1340	2150	629	2040	1820	771	651	1185	1299	1339	566	1381	1369	1574	1105	1099	250	2301	1363	466	526	2346	800	1607	1191	1184	476	1403	190	2871	2624	1950	2170	1866	2028	2095	2781	162	273	167	352	933	161	547					
2	"Число бюллетеней, полученных участковыми комиссиями"	143300	2000	1800	1800	1500	2300	2300	1100	2100	1700	1850	1500	1700	1600	2800	2100	1300	650	900	2700	2300	2800	2700	2800	2100	2150	1900	1850	450	1300	1800	2200	1500	1700	1600	1000	550	2100	1500	2400	2500	2400	2500	2800	550	2500	2300	1300	2100	1800	1300	2100	600	2000	1700	750	650	1200	1250	1300	550	1300	1300	1500	1100	1050	250	2200	1300	450	450	2200	700	1500	1100	1000	450	1300	180	2300	2400	1900	2000	1800	1900	2000	2600	150	270	150	350	900	150	550					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	77213	999	927	1065	834	1017	1290	527	1089	928	1031	736	895	752	1524	968	675	286	402	1240	1122	1531	1978	1426	1873	1706	1218	1040	210	680	901	1158	652	929	815	481	221	1091	742	1323	1495	1288	1448	1605	233	1226	1195	675	976	841	599	1003	269	1049	708	358	276	807	579	605	176	583	594	647	476	545	90	1115	731	215	286	1168	374	780	564	574	176	625	111	2101	1687	1144	1503	919	1047	909	1352	68	150	92	173	474	31	216					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3739	53	38	15	3	124	76	49	51	25	37	21	25	21	17	32	36	15	33	337	11	42	9	16	34	30	21	8	9	18	22	47	33	18	21	33	26	16	50	26	28	22	31	22	8	14	8	11	29	27	21	18	56	14	102	84	69	0	196	65	139	26	27	37	120	0	9	15	7	18	24	22	31	24	26	94	89	7	18	198	74	13	28	1	11	1	45	20	36	16	28	42	57	113					
6	Число погашенных бюллетеней	62347	948	835	720	663	1159	934	524	960	747	782	743	780	827	1259	1100	589	349	465	1123	1167	1227	713	1358	193	414	661	802	231	602	877	995	815	753	764	486	303	993	708	1051	977	1090	1021	1173	308	1260	1097	614	1095	932	680	1079	275	937	890	308	305	393	475	630	235	691	679	816	504	505	151	1070	562	217	140	1010	295	696	510	332	185	668	51	1	639	743	469	880	842	1090	1203	62	84	42	149	384	62	221					
7	Число бюллетеней в переносных ящиках для голосования	3739	53	38	15	3	124	76	49	51	25	37	21	25	21	17	32	36	15	33	337	11	42	9	16	34	30	21	8	9	18	22	47	33	18	21	33	26	16	50	26	28	22	31	22	8	14	8	11	29	27	21	18	56	14	102	84	69	0	196	65	139	26	27	37	120	0	9	15	7	18	24	22	31	24	26	94	89	7	18	198	74	13	28	1	11	1	45	20	36	16	28	42	57	113					
8	Число бюллетеней в стационарных ящиках для голосования	77128	993	927	1065	831	1017	1290	527	1089	928	1026	734	895	752	1524	968	675	277	402	1240	1122	1531	1963	1426	1873	1706	1218	1036	210	680	898	1154	651	929	815	479	221	1091	742	1323	1495	1283	1448	1605	233	1223	1195	675	974	841	599	991	269	1049	708	358	276	807	579	604	176	583	594	646	476	545	90	1115	729	215	286	1168	374	780	563	574	176	625	111	2101	1683	1144	1503	919	1047	909	1352	68	150	92	173	474	31	216					
9	Число недействительных бюллетеней	1548	15	27	6	7	12	102	17	29	26	15	18	17	17	15	13	12	3	7	13	22	28	17	24	14	12	33	13	9	11	18	25	25	26	11	19	4	25	18	21	32	28	18	13	0	22	16	9	18	17	6	31	8	15	6	10	13	1	41	29	10	4	35	40	17	10	3	19	24	3	4	36	13	14	27	2	5	11	0	61	9	12	10	9	12	12	36	0	8	3	5	8	1	6					
10	Число действительных бюллетеней	79319	1031	938	1074	827	1129	1264	559	1111	927	1048	737	903	756	1526	987	699	289	428	1564	1111	1545	1955	1418	1893	1724	1206	1031	210	687	902	1176	659	921	825	493	243	1082	774	1328	1491	1277	1461	1614	241	1215	1187	677	985	851	614	978	317	1048	804	432	332	806	734	640	305	605	586	643	579	535	96	1111	712	230	306	1154	392	790	562	666	260	621	129	2238	1748	1145	1521	911	1046	898	1361	88	178	105	196	508	87	323					
