Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Шелковская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357					
1	"Число избирателей, внесенных в список"	21979	314	871	1050	1047	1067	1025	858	357	1111	1325	1055	1342	1212	790	439	629	878	924	260	436	1504	1117	184	409	1120	655					
2	Число полученных избирательных бюллетеней	20800	296	860	912	940	1061	1025	863	341	1050	1184	954	1210	1080	780	420	632	882	928	261	430	1350	1011	185	402	1090	653					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19943	257	860	908	903	1007	756	858	341	1050	1183	933	1210	1051	724	347	578	878	908	260	419	1245	1011	184	339	1080	653					
5	"Число избирательных бюллетеней, выданных вне помещения"	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	854	39	0	4	37	54	269	5	0	0	1	21	0	26	56	73	54	4	20	1	11	105	0	1	63	10	0					
7	Число избирательных бюллетеней в переносных ящиках	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	19943	257	860	908	903	1007	756	858	341	1050	1183	933	1210	1051	724	347	578	878	908	260	419	1245	1011	184	339	1080	653					
9	Число недействительных избирательных бюллетеней	364	0	13	14	14	43	9	23	5	83	37	7	23	9	5	2	7	14	23	0	8	14	0	3	8	0	0					
10	Число действительных избирательных бюллетеней	19582	257	847	894	889	964	747	835	336	967	1146	926	1187	1045	719	345	571	864	885	260	411	1231	1011	181	331	1080	653					
11	Число полученных открепительных  удостоверений	360	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	60	60					
12	Число выданных открепительных удостоверений	150	0	2	2	2	7	2	1	0	0	2	5	0	1	0	4	0	0	0	0	2	0	0	0	0	60	60					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	141	0	1	0	3	1	1	0	0	0	2	0	1	1	0	2	0	0	0	0	0	0	0	0	0	128	1					
14	Число неиспользованных открепительных удостоверений	210	10	8	8	8	3	8	9	10	10	8	5	10	9	10	6	10	10	10	10	8	10	10	10	10	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	198	3	7	3	16	14	8	14	6	0	13	9	10	9	0	6	0	12	14	3	12	10	18	0	4	5	2					
		0.99%	1.17%	0.81%	0.33%	1.77%	1.39%	1.06%	1.63%	1.76%	0.00%	1.10%	0.96%	0.83%	0.85%	0.00%	1.73%	0.00%	1.37%	1.54%	1.15%	2.86%	0.80%	1.78%	0.00%	1.18%	0.46%	0.31%					
19	. Малышкин Олег Александрович	162	11	3	4	3	0	7	14	7	0	0	1	5	2	1	0	8	4	3	1	3	13	6	2	6	38	20					
		0.81%	4.28%	0.35%	0.44%	0.33%	0.00%	0.93%	1.63%	2.05%	0.00%	0.00%	0.11%	0.41%	0.19%	0.14%	0.00%	1.38%	0.46%	0.33%	0.38%	0.72%	1.04%	0.59%	1.09%	1.77%	3.52%	3.06%					
20	. Миронов Сергей Михайлович	122	2	7	1	6	0	6	6	0	0	12	2	8	7	5	0	0	10	17	3	1	9	5	3	4	6	2					
		0.61%	0.78%	0.81%	0.11%	0.66%	0.00%	0.79%	0.70%	0.00%	0.00%	1.01%	0.21%	0.66%	0.66%	0.69%	0.00%	0.00%	1.14%	1.87%	1.15%	0.24%	0.72%	0.49%	1.63%	1.18%	0.56%	0.31%					
21	. Путин Владимир Владимирович	16834	215	703	784	792	803	635	723	255	858	1017	782	1018	915	692	297	431	735	778	232	303	1099	853	147	243	944	580					
		84.40%	83.66%	81.74%	86.34%	87.71%	79.74%	83.99%	84.27%	74.78%	81.71%	85.97%	83.82%	84.13%	86.81%	95.58%	85.59%	74.57%	83.71%	85.68%	89.23%	72.32%	88.27%	84.37%	79.89%	71.68%	87.41%	88.82%					
22	. Хакамада Ирина Муцуовна	922	16	46	39	32	86	3	15	22	72	18	62	80	34	14	17	58	48	48	5	32	17	67	9	31	33	18					
		4.62%	6.23%	5.35%	4.30%	3.54%	8.54%	0.40%	1.75%	6.45%	6.86%	1.52%	6.65%	6.61%	3.23%	1.93%	4.90%	10.03%	5.47%	5.29%	1.92%	7.64%	1.37%	6.63%	4.89%	9.14%	3.06%	2.76%					
23	. Харитонов Николай Михайлович	1097	9	71	50	26	61	70	63	44	37	86	62	50	62	3	21	52	55	25	16	50	49	52	20	33	22	8					
		5.50%	3.50%	8.26%	5.51%	2.88%	6.06%	9.26%	7.34%	12.90%	3.52%	7.27%	6.65%	4.13%	5.88%	0.41%	6.05%	9.00%	6.26%	2.75%	6.15%	11.93%	3.94%	5.14%	10.87%	9.73%	2.04%	1.23%					
																																	
24	Против всех	247	1	10	13	14	0	18	0	2	0	0	8	16	16	4	4	22	0	0	0	10	34	10	0	10	32	23					
		1.24%	0.39%	1.16%	1.43%	1.55%	0.00%	2.38%	0.00%	0.59%	0.00%	0.00%	0.86%	1.32%	1.52%	0.55%	1.15%	3.81%	0.00%	0.00%	0.00%	2.39%	2.73%	0.99%	0.00%	2.95%	2.96%	3.52%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
