Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Норильская городская																																																																																	
																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																	
																																																																																	
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665					
1	"Число избирателей, внесенных в списки"	159544	2205	2415	1913	2046	2303	2100	2449	2249	2281	2519	2809	3074	2582	2190	2274	1971	1836	2607	2301	2200	1793	2483	2381	1893	2409	1921	2167	1863	2235	2263	2198	2140	2256	2692	2281	2199	1278	2602	3063	2473	889	1844	2581	809	1869	1707	2298	1808	1279	2558	2048	1907	2137	1837	2209	1799	2242	1980	2168	2256	1889	2196	2074	2352	2009	1995	2268	2929	2906	2228	2395	3064	1912	188					
2	"Число бюллетеней, полученных участковыми комиссиями"	149950	2143	2322	1602	1932	2157	1932	2385	2103	2124	2352	2555	2826	2344	2030	2038	1855	1729	2480	2176	2107	1686	2329	2241	1850	2263	1889	2043	1683	2171	2106	2065	1980	2104	2531	2128	2081	1169	2443	2905	2332	881	1724	2417	808	1734	1585	2128	1689	1171	2426	1975	1808	2029	1742	2099	1684	2127	1876	2053	2120	1772	2085	1998	2199	1900	1761	2128	2761	2765	2114	2275	2934	1813	178					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	54228	843	936	669	798	808	717	1139	802	775	958	971	1141	871	831	861	749	579	852	838	716	559	805	850	543	653	601	651	661	682	720	775	743	587	821	823	645	325	1015	972	820	414	687	1028	489	551	480	660	487	431	863	550	657	673	630	680	631	622	734	666	766	565	769	679	743	585	644	617	1063	1100	805	885	1208	674	87					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	892	6	5	222	3	15	30	4	2	91	3	16	12	81	4	4	5	1	8	28	15	3	5	15	7	3	1	8	4	6	7	3	6	12	5	1	2	1	9	4	8	50	2	4	17	6	1	4	1	47	4	10	8	5	2	5	3	2	4	3	1	4	2	3	4	5	1	3	5	8	6	1	3	3	0					
6	Число погашенных бюллетеней	94824	1294	1381	711	1131	1334	1185	1242	1299	1253	1391	1568	1672	1392	1195	1173	1101	1149	1620	1310	1376	1124	1519	1376	1300	1607	1287	1384	1018	1483	1379	1287	1231	1505	1705	1304	1434	843	1419	1929	1504	417	1035	1385	302	1177	1104	1464	1201	693	1559	1415	1143	1351	1110	1414	1050	1503	1138	1384	1353	1203	1314	1316	1452	1310	1116	1508	1693	1657	1303	1389	1723	1136	91					
7	Число бюллетеней в переносных ящиках для голосования	897	6	5	222	3	15	30	4	2	96	3	16	12	81	4	4	5	1	8	28	15	3	5	15	7	3	1	8	4	6	7	3	6	12	5	1	2	1	9	4	8	50	2	4	17	6	1	4	1	47	4	10	8	5	2	5	3	2	4	3	1	4	2	3	4	5	1	3	5	8	6	1	3	3	0					
8	Число бюллетеней в стационарных ящиках для голосования	54201	842	936	669	797	808	717	1137	802	775	958	971	1140	871	831	861	749	579	852	838	715	559	804	850	543	653	601	651	661	682	720	775	737	587	821	823	645	325	1015	972	820	414	687	1028	489	551	480	656	487	430	861	550	657	673	630	675	631	622	734	666	766	565	768	679	743	585	644	616	1063	1100	805	885	1208	674	87					
9	Число недействительных бюллетеней	364	0	9	8	7	6	4	3	6	5	2	5	2	4	5	8	4	1	3	7	4	3	5	5	6	3	3	8	11	5	5	2	5	1	7	2	5	0	9	0	6	2	4	19	0	3	7	4	4	6	3	6	7	4	3	4	4	9	4	5	5	4	3	4	1	0	5	6	8	13	10	7	9	7	0					
10	Число действительных бюллетеней	54734	848	932	883	793	817	743	1138	798	866	959	982	1150	948	830	857	750	579	857	859	726	559	804	860	544	653	599	651	654	683	722	776	738	598	819	822	642	326	1015	976	822	462	685	1013	506	554	474	656	484	471	862	554	658	674	629	676	630	615	734	664	762	565	767	678	746	590	640	613	1060	1095	801	879	1202	670	87					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1998	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	164	5	5	5	2	1	3	7	1	2	2	4	2	4	0	3	3	0	3	3	3	2	7	5	0	3	1	1	2	4	0	2	1	1	3	2	1	0	2	0	0	0	3	5	8	3	1	0	3	0	3	0	2	1	1	5	1	4	1	3	1	0	2	0	0	1	6	1	4	4	1	1	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	98	4	2	10	3	1	2	5	2	4	0	2	0	5	0	0	0	0	3	3	0	0	1	0	0	1	0	2	2	2	0	0	2	0	0	2	1	1	0	0	0	3	0	2	4	0	0	0	0	0	4	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	2	1	2	0	3	4	1	8					
14	Число погашенных открепительных удостоверений	1834	22	22	22	25	26	24	20	26	25	25	23	25	23	27	24	24	27	24	24	24	25	20	22	27	24	26	26	25	23	27	25	26	26	24	25	26	27	25	27	27	27	24	22	19	24	26	27	24	27	24	27	25	26	26	22	26	23	26	24	26	27	25	27	27	26	21	26	23	23	26	26	25	25	27					
