Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Вадская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419	УИК  420	УИК  421	УИК  422					
1	"Число избирателей, внесенных в список"	11047	2099	1854	1384	244	380	437	247	418	251	371	205	536	618	535	543	471	318	136					
2	Число полученных избирательных бюллетеней	11000	2000	1800	1370	242	390	460	250	440	250	400	230	530	610	550	520	470	320	168					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6184	1090	860	733	125	267	263	142	282	129	214	104	312	394	300	366	294	221	88					
5	"Число избирательных бюллетеней, выданных вне помещения"	876	76	125	57	46	36	57	29	30	58	61	35	61	0	86	49	50	13	7					
6	Число погашенных избирательных бюллетеней	3940	834	815	580	71	87	140	79	128	63	125	91	157	216	164	105	126	86	73					
7	Число избирательных бюллетеней в переносных ящиках	876	76	125	57	46	36	57	29	30	58	61	35	61	0	86	49	50	13	7					
8	Число бюллетеней в стационарных ящиках для голосования	6184	1090	860	733	125	267	263	142	282	129	214	104	312	394	300	366	294	221	88					
9	Число недействительных избирательных бюллетеней	68	14	2	0	2	5	3	4	8	2	4	2	1	3	4	2	6	4	2					
10	Число действительных избирательных бюллетеней	6992	1152	983	790	169	298	317	167	304	185	271	137	372	391	382	413	338	230	93					
11	Число полученных открепительных  удостоверений	500	50	50	50	20	25	25	20	25	25	20	20	25	25	25	25	25	25	20					
12	Число выданных открепительных удостоверений	40	6	1	5	0	3	2	1	0	1	0	1	3	6	3	0	0	2	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	11	3	2	4	3	1	2	3	2	5	0	1	2	1	4	0	1	1					
14	Число неиспользованных открепительных удостоверений	460	44	49	45	20	22	23	19	25	24	20	19	22	19	22	25	25	23	14					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	221	50	30	33	10	5	5	7	11	5	8	6	7	5	18	5	5	7	4					
		3.13%	4.29%	3.05%	4.18%	5.85%	1.65%	1.56%	4.09%	3.53%	2.67%	2.91%	4.32%	1.88%	1.27%	4.66%	1.20%	1.45%	2.99%	4.21%					
19	. Малышкин Олег Александрович	197	36	14	11	3	5	14	14	11	7	9	5	8	9	15	18	9	7	2					
		2.79%	3.09%	1.42%	1.39%	1.75%	1.65%	4.38%	8.19%	3.53%	3.74%	3.27%	3.60%	2.14%	2.28%	3.89%	4.34%	2.62%	2.99%	2.11%					
20	. Миронов Сергей Михайлович	65	11	13	8	4	3	3	3	0	1	2	3	1	0	6	1	2	1	3					
		0.92%	0.94%	1.32%	1.01%	2.34%	0.99%	0.94%	1.75%	0.00%	0.53%	0.73%	2.16%	0.27%	0.00%	1.55%	0.24%	0.58%	0.43%	3.16%					
21	. Путин Владимир Владимирович	4377	728	630	495	127	143	229	90	179	101	175	57	236	271	252	246	196	156	66					
		62.00%	62.44%	63.96%	62.66%	74.27%	47.19%	71.56%	52.63%	57.37%	54.01%	63.64%	41.01%	63.27%	68.78%	65.28%	59.28%	56.98%	66.67%	69.47%					
22	. Хакамада Ирина Муцуовна	165	28	28	21	1	4	5	5	10	3	11	8	7	4	3	11	9	5	2					
		2.34%	2.40%	2.84%	2.66%	0.58%	1.32%	1.56%	2.92%	3.21%	1.60%	4.00%	5.76%	1.88%	1.02%	0.78%	2.65%	2.62%	2.14%	2.11%					
23	. Харитонов Николай Михайлович	1772	267	246	189	23	131	56	44	87	60	60	51	96	85	77	123	112	51	14					
		25.10%	22.90%	24.97%	23.92%	13.45%	43.23%	17.50%	25.73%	27.88%	32.09%	21.82%	36.69%	25.74%	21.57%	19.95%	29.64%	32.56%	21.79%	14.74%					
																									
24	Против всех	195	32	22	33	1	7	5	4	6	8	6	7	17	17	11	9	5	3	2					
		2.76%	2.74%	2.23%	4.18%	0.58%	2.31%	1.56%	2.34%	1.92%	4.28%	2.18%	5.04%	4.56%	4.31%	2.85%	2.17%	1.45%	1.28%	2.11%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
