Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Басманный район																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №4001					
1	"Число избирателей, внесенных в список избирателей"	64783	1657	1914	2016	1908	2360	1529	2468	1186	2537	2625	2078	2532	2149	2447	1636	2890	2584	2400	1442	2765	2639	1673	2273	3086	2301	2444	2904	2295	467	142	439	261	144	99	55	90	100	248					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51500	1000	1500	1500	1500	2000	1200	2000	1100	2000	2000	1700	2000	1500	2000	1200	2200	2000	1700	1100	2000	2000	1350	2000	2100	2000	2000	2000	2000	500	300	500	300	150	300	100	100	100	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	38240	904	978	974	1264	1198	905	1593	678	1315	1411	1189	1481	1340	1488	932	1941	1477	1673	794	1391	1742	1262	1206	1667	1458	1436	1436	1674	275	62	166	221	144	88	55	90	84	248					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1327	12	20	36	21	30	13	20	23	47	34	16	35	16	36	25	42	35	15	16	13	30	22	21	30	27	24	25	46	192	75	273	30	0	11	0	0	16	0					
6	Число погашенных избирательных бюллетеней	11933	84	502	490	215	772	282	387	399	638	555	495	484	144	476	243	217	488	12	290	596	228	66	773	403	515	540	539	280	33	163	61	49	6	201	45	10	0	252					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1327	12	20	36	21	30	13	20	23	47	34	16	35	16	36	25	42	35	15	16	13	30	22	21	30	27	24	25	46	192	75	273	30	0	11	0	0	16	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37992	898	975	974	1247	1192	900	1587	678	1310	1411	1185	1481	1325	1487	932	1878	1475	1658	794	1391	1712	1258	1199	1667	1458	1436	1387	1664	275	62	166	221	144	88	55	90	84	248					
9	Число недействительных избирательных бюллетеней	484	10	15	0	15	0	21	29	2	17	27	4	0	11	3	22	59	16	23	9	21	14	20	5	0	36	14	24	36	2	3	9	10	3	0	2	0	0	2					
10	Число действительных избирательных бюллетеней	38835	900	980	1010	1253	1222	892	1578	699	1340	1418	1197	1516	1330	1520	935	1861	1494	1650	801	1383	1728	1260	1215	1697	1449	1446	1388	1674	465	134	430	241	141	99	53	90	100	246					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2070	50	50	50	70	50	50	50	50	50	50	50	50	50	50	50	80	70	500	50	100	50	50	50	100	70	50	50	80	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1372	24	36	33	50	41	14	34	12	39	36	30	28	46	34	31	56	49	375	24	56	34	16	26	54	59	45	39	51	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1856	264	65	52	55	18	28	30	26	41	92	30	52	40	28	38	42	59	30	22	28	25	71	10	35	29	16	18	104	110	14	79	5	27	4	5	8	9	247					
14	Число погашенных неиспользованных открепительных удостоверений	698	26	14	17	20	9	36	16	38	11	14	20	22	4	16	19	24	21	125	26	44	16	34	24	46	11	5	11	29	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	0	0	2	1	1	0	3	0	0	1	1	1	2	3	1	6	1	10	0	0	0	0	2	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
