Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
Наименование Избирательной комиссии:    Ардатовская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38					
1	"Число избирателей, внесенных в списки избирателей"	22665	1080	1169	967	1686	597	1735	631	289	294	1479	1170	1649	105	150	948	113	484	418	707	486	341	565	363	793	142	334	481	293	553	387	280	354	440	255	128	163	494	142					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22815	1130	1120	975	1610	650	1825	625	315	335	1375	1185	1570	108	160	945	115	480	425	715	510	340	505	355	840	140	335	520	290	565	405	300	380	465	260	125	177	500	140					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12790	608	648	491	999	337	1005	342	192	141	880	576	1106	72	76	511	78	305	290	432	216	174	241	206	434	82	214	312	93	199	280	209	210	198	154	44	94	266	75					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2234	50	39	48	107	50	43	8	25	69	245	133	91	12	29	36	15	46	30	79	91	12	116	87	102	18	27	27	110	138	25	21	38	95	16	50	24	59	23					
6	Число погашенных избирательных бюллетеней	7791	472	433	436	504	263	777	275	98	125	250	476	373	24	55	398	22	129	105	204	203	154	148	62	304	40	94	181	87	228	100	70	132	172	90	31	59	175	42					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2234	50	39	48	107	50	43	8	25	69	245	133	91	12	29	36	15	46	30	79	91	12	116	87	102	18	27	27	110	138	25	21	38	95	16	50	24	59	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12789	608	648	491	999	337	1004	342	192	141	880	576	1106	72	76	511	78	305	290	432	216	174	241	206	434	82	214	312	93	199	280	209	210	198	154	44	94	266	75					
9	Число недействительных избирательных бюллетеней	125	5	5	11	5	5	12	0	1	1	10	7	11	0	2	5	0	2	0	1	4	0	1	0	5	2	0	5	1	5	6	3	3	0	0	0	0	7	0					
10	Число действительных избирательных бюллетеней	14898	653	682	528	1101	382	1035	350	216	209	1115	702	1186	84	103	542	93	349	320	510	303	186	356	293	531	98	241	334	202	332	299	227	245	293	170	94	118	318	98					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	428	15	15	15	29	15	42	10	10	10	21	9	24	0	10	6	2	10	2	5	4	0	17	6	15	3	10	10	5	10	10	13	10	15	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	352	11	8	12	26	13	36	10	8	8	19	9	24	0	1	5	2	6	2	3	4	0	17	5	15	2	7	10	3	10	10	13	10	15	10	3	10	4	1					
