Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Новопокровская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34330	2387	2374	1931	1639	2329	1803	2576	348	973	1581	725	2405	77	911	1252	355	1564	228	105	1630	1305	665	1514	1830	720	741	362									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34451	2300	2300	1950	1650	2300	1800	2620	350	990	1600	730	2450	78	930	1250	400	1600	230	108	1650	1300	650	1500	1850	720	750	395									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22983	1680	1480	1432	1034	1427	1183	985	250	667	1241	532	1799	67	724	802	251	893	152	78	1326	951	468	1022	1253	503	511	272									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2003	20	143	128	106	256	99	150	18	95	66	34	76	0	60	100	24	93	21	10	115	82	44	97	76	54	22	14									
6	Число погашенных избирательных бюллетеней	9465	600	677	390	510	617	518	1485	82	228	293	164	575	11	146	348	125	614	57	20	209	267	138	381	521	163	217	109									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2003	20	143	128	106	256	99	150	18	95	66	34	76	0	60	100	24	93	21	10	115	82	44	97	76	54	22	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22983	1680	1480	1432	1034	1427	1183	985	250	667	1241	532	1799	67	724	802	251	893	152	78	1326	951	468	1022	1253	503	511	272									
9	Число недействительных избирательных бюллетеней	238	32	5	17	7	13	2	35	2	9	8	1	15	2	4	6	2	4	1	0	40	9	0	9	11	2	1	1									
10	Число действительных избирательных бюллетеней	24748	1668	1618	1543	1133	1670	1280	1100	266	753	1299	565	1860	65	780	896	273	982	172	88	1401	1024	512	1110	1318	555	532	285									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	347	20	20	25	20	20	20	20	5	15	15	5	25	2	10	15	5	10	5	3	15	15	5	15	15	5	12	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	344	20	20	25	20	20	20	20	5	15	15	5	25	2	10	15	5	10	5	0	15	15	5	15	15	5	12	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	108	6	5	9	3	14	2	1	2	3	4	1	2	3	3	8	4	5	4	0	4	2	6	2	5	2	5	3									
14	Число погашенных неиспользованных открепительных удостоверений	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	3	4	3	4	6	5	2	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	181	16	4	8	3	10	7	12	2	0	11	0	4	1	10	23	5	10	0	0	2	0	13	7	11	8	14	0									
