Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Новоселовская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11093	1681	1465	1674	727	121	77	80	85	50	591	150	40	33	206	135	109	197	123	65	573	349	126	726	307	366	94	480	164	299									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10584	1500	1400	1500	720	125	76	77	85	47	590	150	30	37	196	136	110	194	123	65	560	345	130	700	300	365	90	470	163	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4599	669	565	584	310	49	46	38	35	24	207	70	27	12	95	59	46	103	65	29	255	160	60	348	196	135	51	192	67	102									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	306	16	82	32	25	0	0	4	0	0	11	8	0	0	12	5	3	4	8	8	50	11	0	0	0	12	5	3	6	1									
6	Число погашенных избирательных бюллетеней	5679	815	753	884	385	76	30	35	50	23	372	72	3	25	89	72	61	87	50	28	255	174	70	352	104	218	34	275	90	197									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	306	16	82	32	25	0	0	4	0	0	11	8	0	0	12	5	3	4	8	8	50	11	0	0	0	12	5	3	6	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4599	669	565	584	310	49	46	38	35	24	207	70	27	12	95	59	46	103	65	29	255	160	60	348	196	135	51	192	67	102									
9	Число недействительных избирательных бюллетеней	121	12	19	7	8	0	2	1	0	0	3	2	0	0	1	1	1	1	1	4	6	5	4	10	7	8	3	8	0	7									
10	Число действительных избирательных бюллетеней	4784	673	628	609	327	49	44	41	35	24	215	76	27	12	106	63	48	106	72	33	299	166	56	338	189	139	53	187	73	96									
