Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
"Наименование Избирательной комиссии:    Самара, Ленинская"																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881					
1	"Число избирателей, внесенных в списки избирателей"	55822	2430	2189	2356	2286	1840	2487	2713	1776	1727	2343	2829	2679	1787	2508	2122	2412	2395	2237	2255	2316	2531	2422	2730	2452					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	45500	2000	2000	1500	2000	1500	2000	2000	1500	1500	2000	2500	2000	1500	2000	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	25719	1143	956	1277	949	673	992	1153	913	903	1271	1114	932	770	1047	942	1160	1177	1063	1137	1177	1210	1324	1378	1058					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	773	41	18	51	32	17	14	20	51	82	55	24	17	25	32	23	31	34	32	26	24	31	21	24	48					
6	Число погашенных избирательных бюллетеней	19008	816	1026	172	1019	810	994	827	536	515	674	1362	1051	705	921	535	809	789	905	837	799	759	655	598	894					
7	Число избирательных бюллетеней в переносных ящиках для голосования	773	41	18	51	32	17	14	20	51	82	55	24	17	25	32	23	31	34	32	26	24	31	21	24	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25705	1143	953	1275	949	672	992	1153	912	903	1271	1114	928	770	1047	940	1160	1177	1063	1137	1177	1210	1324	1378	1057					
9	Число недействительных избирательных бюллетеней	229	11	10	14	9	3	15	6	9	14	13	8	0	8	6	10	8	15	13	8	12	7	12	10	8					
10	Число действительных избирательных бюллетеней	26249	1173	961	1312	972	686	991	1167	954	971	1313	1130	945	787	1073	953	1183	1196	1082	1155	1189	1234	1333	1392	1097					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	975	45	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	40	40	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	576	39	16	27	23	11	18	37	30	10	25	16	26	19	22	20	28	20	25	22	38	26	25	31	22					
