Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Заозерная городская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104					
1	"Число избирателей, внесенных в списки избирателей"	8497	1699	1639	1342	724	317	1169	950	657					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8781	1745	1720	1400	760	256	1220	990	690					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4483	883	907	819	404	146	523	480	321					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	458	79	59	49	31	63	80	49	48					
6	Число погашенных избирательных бюллетеней	3840	783	754	532	325	47	617	461	321					
7	Число избирательных бюллетеней в переносных ящиках для голосования	458	79	59	49	31	63	80	49	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4483	883	907	819	404	146	523	480	321					
9	Число недействительных избирательных бюллетеней	40	8	12	7	3	0	1	9	0					
10	Число действительных избирательных бюллетеней	4901	954	954	861	432	209	602	520	369					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	180	30	30	30	15	10	25	25	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	66	7	12	18	9	1	11	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	47	3	5	14	5	8	4	6	2					
14	Число погашенных неиспользованных открепительных удостоверений	114	23	18	12	6	9	14	22	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	1	2	3	1	1	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	112	31	19	17	11	3	13	13	5					
		2.27%	3.22%	1.97%	1.96%	2.53%	1.44%	2.16%	2.46%	1.36%					
19	2.Всероссийская политическая партия «Гражданская Сила»	36	7	6	6	4	1	4	4	4					
		0.73%	0.73%	0.62%	0.69%	0.92%	0.48%	0.66%	0.76%	1.08%					
20	3.Политическая партия «Демократическая партия России»	4	1	0	1	0	1	0	1	0					
		0.08%	0.10%	0.00%	0.12%	0.00%	0.48%	0.00%	0.19%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	615	95	135	146	47	16	64	69	43					
		12.45%	9.88%	13.98%	16.82%	10.80%	7.66%	10.61%	13.04%	11.65%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	29	4	5	10	3	0	0	6	1					
		0.59%	0.42%	0.52%	1.15%	0.69%	0.00%	0.00%	1.13%	0.27%					
23	6.Политическая партия «Партия социальной справедливости»	11	1	2	1	1	2	2	2	0					
		0.22%	0.10%	0.21%	0.12%	0.23%	0.96%	0.33%	0.38%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	544	100	92	100	50	19	72	58	53					
		11.01%	10.40%	9.52%	11.52%	11.49%	9.09%	11.94%	10.96%	14.36%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	370	74	76	67	36	20	37	42	18					
		7.49%	7.69%	7.87%	7.72%	8.28%	9.57%	6.14%	7.94%	4.88%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	27	2	6	10	2	0	2	4	1					
		0.55%	0.21%	0.62%	1.15%	0.46%	0.00%	0.33%	0.76%	0.27%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3126	630	606	498	277	146	406	320	243					
		63.27%	65.49%	62.73%	57.37%	63.68%	69.86%	67.33%	60.49%	65.85%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	27	9	7	5	1	1	2	1	1					
		0.55%	0.94%	0.72%	0.58%	0.23%	0.48%	0.33%	0.19%	0.27%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
