Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
Наименование Избирательной комиссии:    Александровская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175					
1	"Число избирателей, внесенных в списки избирателей"	14385	1881	1470	373	287	100	119	456	69	221	971	40	169	349	252	160	271	155	55	260	598	160	79	483	291	215	247	100	383	205	126	396	139	79	525	109	599	582	95	125	52	51	121	256	100	477	134					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14335	1813	1400	376	292	102	123	462	72	229	954	42	174	334	250	159	277	156	57	261	605	163	84	476	293	220	250	101	387	206	128	400	140	84	532	110	600	590	100	125	56	53	121	257	103	480	138					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8456	988	859	192	161	60	76	259	49	142	565	40	107	232	154	100	148	88	43	143	310	112	63	275	220	162	143	67	233	145	66	236	85	57	297	79	297	307	47	58	29	37	59	169	57	335	105					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	659	40	31	54	49	0	5	35	0	0	35	0	0	0	13	17	21	10	0	13	24	10	0	38	4	6	10	5	21	9	21	27	20	5	26	0	11	12	5	16	3	3	6	23	13	18	0					
6	Число погашенных избирательных бюллетеней	5220	785	510	130	82	42	42	168	23	87	354	2	67	102	83	42	108	58	14	105	271	41	21	163	69	52	97	29	133	52	41	137	35	22	209	31	292	271	48	51	24	13	56	65	33	127	33					
7	Число избирательных бюллетеней в переносных ящиках для голосования	659	40	31	54	49	0	5	35	0	0	35	0	0	0	13	17	21	10	0	13	24	10	0	38	4	6	10	5	21	9	21	27	20	5	26	0	11	12	5	16	3	3	6	23	13	18	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8454	988	859	192	161	60	76	259	49	142	565	40	107	232	154	100	148	88	43	143	310	112	63	275	220	162	143	67	232	145	66	236	85	57	297	79	296	307	47	58	29	37	59	169	57	335	105					
9	Число недействительных избирательных бюллетеней	83	8	3	1	1	1	0	3	0	0	9	0	0	1	2	1	3	2	0	3	2	3	2	6	0	0	2	0	1	0	1	0	0	1	11	3	3	1	0	0	1	0	0	3	0	2	3					
10	Число действительных избирательных бюллетеней	9030	1020	887	245	209	59	81	291	49	142	591	40	107	231	165	116	166	96	43	153	332	119	61	307	224	168	151	72	252	154	86	263	105	61	312	76	304	318	52	74	31	40	65	189	70	351	102					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	149	20	14	7	6	2	2	5	1	1	8	1	3	3	2	2	3	1	1	1	8	1	0	6	1	4	2	1	3	1	1	3	1	1	3	1	3	4	2	2	2	1	2	6	1	5	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	92	20	12	2	6	0	2	3	0	1	4	0	2	0	2	0	3	0	0	1	8	0	0	3	0	0	0	0	2	1	0	3	0	1	3	0	3	4	1	0	2	0	2	0	0	1	0					
