Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																					
Дата голосования: 04.12.2011																					
																					
Наименование Избирательной комиссии:    Камышлинская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226					
1	"Число избирателей, внесенных в список избирателей"	8529	289	213	173	471	1209	1102	1442	206	1335	332	1050	299	240	168					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8439	289	211	172	457	1209	1081	1441	205	1337	335	1004	296	231	171					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5237	198	137	118	302	645	624	885	132	811	165	718	257	157	88					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	494	32	32	2	101	29	41	52	17	39	24	32	29	26	38					
6	Число погашенных избирательных бюллетеней	2708	59	42	52	54	535	416	504	56	487	146	254	10	48	45					
7	Число избирательных бюллетеней в переносных ящиках для голосования	494	32	32	2	101	29	41	52	17	39	24	32	29	26	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5237	198	137	118	302	645	624	885	132	811	165	718	257	157	88					
9	Число недействительных избирательных бюллетеней	177	4	8	1	20	29	19	28	3	30	9	17	6	2	1					
10	Число действительных избирательных бюллетеней	5554	226	161	119	383	645	646	909	146	820	180	733	280	181	125					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	196	14	14	14	14	14	10	18	14	14	14	14	14	14	14					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	61	0	0	1	2	8	6	18	2	11	2	7	1	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	2	2	1	2	1	3	1	0	5	1	40	1	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	135	14	14	13	12	6	4	0	12	3	12	7	13	13	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	1	0	1	0	0	0	0	0	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	774	22	11	13	59	114	128	148	21	80	28	81	19	27	23					
		13.51%	9.57%	6.51%	10.83%	14.64%	16.91%	19.25%	15.80%	14.09%	9.41%	14.81%	10.80%	6.64%	14.75%	18.25%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	235	6	7	15	9	31	32	36	4	20	12	38	6	7	12					
		4.10%	2.61%	4.14%	12.50%	2.23%	4.60%	4.81%	3.84%	2.68%	2.35%	6.35%	5.07%	2.10%	3.83%	9.52%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	42	1	1	2	2	8	4	3	4	6	1	4	1	2	3					
		0.73%	0.43%	0.59%	1.67%	0.50%	1.19%	0.60%	0.32%	2.68%	0.71%	0.53%	0.53%	0.35%	1.09%	2.38%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1658	43	54	14	110	194	187	236	63	374	71	196	52	42	22					
		28.93%	18.70%	31.95%	11.67%	27.30%	28.78%	28.12%	25.19%	42.28%	44.00%	37.57%	26.13%	18.18%	22.95%	17.46%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	54	1	1	6	4	8	6	11	0	7	0	6	1	1	2					
		0.94%	0.43%	0.59%	5.00%	0.99%	1.19%	0.90%	1.17%	0.00%	0.82%	0.00%	0.80%	0.35%	0.55%	1.59%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2763	153	86	68	195	287	287	471	54	331	67	402	201	99	62					
		48.21%	66.52%	50.89%	56.67%	48.39%	42.58%	43.16%	50.27%	36.24%	38.94%	35.45%	53.60%	70.28%	54.10%	49.21%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	28	0	1	1	4	3	2	4	0	2	1	6	0	3	1					
		0.49%	0.00%	0.59%	0.83%	0.99%	0.45%	0.30%	0.43%	0.00%	0.24%	0.53%	0.80%	0.00%	1.64%	0.79%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
