Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Алапаевская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52					
1	"Число избирателей, внесенных в список"	30333	1680	922	1957	1903	1916	1091	598	562	812	1259	800	206	165	359	346	499	107	141	613	52	369	117	377	88	147	723	96	507	939	543	738	774	226	201	707	123	893	200	898	162	302	169	171	401	1124	226	171	816	679	240	399	819					
2	Число полученных избирательных бюллетеней	30600	1693	915	1947	1909	1922	1107	600	559	823	1275	805	212	176	370	369	507	117	149	622	55	391	128	385	90	164	730	110	510	955	555	740	787	230	210	714	129	897	209	895	162	313	180	175	408	1140	235	175	817	678	255	405	696					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15415	736	443	772	1044	1108	488	307	240	366	716	413	112	75	202	168	232	69	89	294	32	151	60	195	48	90	311	61	197	447	294	386	469	142	105	355	82	396	116	545	91	174	140	93	231	547	82	85	437	439	130	209	401					
5	"Число избирательных бюллетеней, выданных вне помещения"	1648	14	28	25	12	13	90	68	69	74	37	47	30	46	20	20	52	12	0	59	1	57	5	16	8	5	56	6	63	33	32	19	5	18	36	73	12	44	30	35	10	0	0	11	35	118	73	17	32	17	5	12	48					
6	Число погашенных избирательных бюллетеней	13537	943	444	1150	853	801	529	225	250	383	522	345	70	55	148	181	223	36	60	269	22	183	63	174	34	69	363	43	250	475	229	335	313	70	69	286	35	457	63	315	61	139	40	71	142	475	80	73	348	222	120	184	247					
7	Число избирательных бюллетеней в переносных ящиках	1648	14	28	25	12	13	90	68	69	74	37	47	30	46	20	20	52	12	0	59	1	57	5	16	8	5	56	6	63	33	32	19	5	18	36	73	12	44	30	35	10	0	0	11	35	118	73	17	32	17	5	12	48					
8	Число бюллетеней в стационарных ящиках для голосования	15415	736	443	772	1044	1108	488	307	240	366	716	413	112	75	202	168	232	69	89	294	32	151	60	195	48	90	311	61	197	447	294	386	469	142	105	355	82	396	116	545	91	174	140	93	231	547	82	85	437	439	130	209	401					
9	Число недействительных избирательных бюллетеней	211	7	7	18	15	4	7	10	1	4	10	4	2	1	4	9	5	2	1	6	0	0	0	4	0	0	9	0	2	2	2	5	10	2	0	1	1	8	0	8	4	1	6	0	2	5	0	1	4	8	2	3	4					
10	Число действительных избирательных бюллетеней	16852	743	464	779	1041	1117	571	365	308	436	743	456	140	120	218	179	279	79	88	347	33	208	65	207	56	95	358	67	258	478	324	400	464	158	141	427	93	432	146	572	97	173	134	104	264	660	155	101	465	448	133	218	445					
