Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
Наименование Избирательной комиссии:    Борисоглебская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450					
1	"Число избирателей, внесенных в список избирателей"	63023	2020	1817	1801	2117	252	1934	1555	1207	1294	2211	976	1078	1721	1724	1065	858	2075	1897	853	922	1378	886	2012	1623	1847	2259	1991	2163	1871	1626	986	520	183	2586	1448	684	1070	769	533	990	516	453	768	798	287	948	359	338	897	857					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57000	1800	1700	1650	1950	200	1800	1400	1100	1100	2000	800	900	1600	1500	1000	700	1800	1700	700	800	1200	750	1900	1500	1700	2000	1900	2000	1800	1500	850	500	150	2300	1300	600	910	650	500	860	500	450	750	760	290	850	330	350	850	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	31611	963	940	729	1018	100	716	958	680	628	1031	447	479	849	797	524	429	1421	940	403	497	636	424	1198	879	900	988	928	987	693	767	589	250	94	1164	791	223	443	386	332	451	348	250	591	426	232	562	184	239	584	523					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4422	141	38	129	75	60	87	79	86	44	126	52	66	71	64	146	45	57	100	52	29	19	56	25	44	58	94	59	94	110	34	32	131	41	61	45	330	160	101	76	203	74	88	108	172	50	211	46	94	146	113					
6	Число погашенных избирательных бюллетеней	20967	696	722	792	857	40	997	363	334	428	843	301	355	680	639	330	226	322	660	245	274	545	270	677	577	742	918	913	919	997	699	229	119	15	1075	464	47	307	163	92	206	78	112	51	162	8	77	100	17	120	164					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4422	141	38	129	75	60	87	79	86	44	126	52	66	71	64	146	45	57	100	52	29	19	56	25	44	58	94	59	94	110	34	32	131	41	61	45	330	160	101	76	203	74	88	108	172	50	211	46	94	146	113					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31608	963	940	729	1018	100	716	958	680	628	1031	447	479	849	797	524	429	1421	940	403	497	636	424	1198	879	900	988	928	987	692	767	589	250	94	1163	790	223	443	386	332	451	348	250	591	426	232	562	184	239	584	523					
9	Число недействительных избирательных бюллетеней	488	17	14	11	15	0	9	9	9	10	24	5	8	14	16	9	8	23	15	5	6	5	4	16	17	22	15	17	13	14	9	10	9	1	21	14	4	5	5	0	6	6	0	10	6	2	6	4	2	9	9					
10	Число действительных избирательных бюллетеней	35542	1087	964	847	1078	160	794	1028	757	662	1133	494	537	906	845	661	466	1455	1025	450	520	650	476	1207	906	936	1067	970	1068	788	792	611	372	134	1203	821	549	598	482	408	648	416	338	689	592	280	767	226	331	721	627					
