Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																	
Дата голосования: 02.12.2007																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Шебекинская																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160					
1	"Число избирателей, внесенных в списки избирателей"	72452	778	2541	2494	1775	2161	980	2203	2052	2151	2776	1663	1962	1978	1295	1819	1715	1357	671	724	1296	2092	214	344	129	306	254	1271	306	225	573	479	355	229	552	562	306	539	1759	523	1120	531	529	154	884	948	1128	1142	629	1054	569	646	400	357	716	404	549	2779	2184	194	377	1092	226	187	1872	1524	657	598	707	546	558	573	800	290	119					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	71040	700	2400	2400	1700	2100	900	2000	2000	2200	2800	1600	1950	1900	1200	1700	1600	1300	650	700	1200	2000	220	340	120	300	250	1250	300	200	550	480	350	230	540	530	300	600	1750	520	1150	550	550	150	900	1000	1150	1100	630	1100	580	640	380	350	700	400	540	2800	2100	210	390	1000	230	220	1950	1500	720	590	750	560	560	600	750	290	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	45685	595	1738	1690	1137	1362	627	1421	1323	1475	1872	1111	1356	1255	810	1199	1025	882	436	436	753	1160	96	274	78	134	141	840	192	128	217	365	212	145	361	306	137	297	1103	285	616	344	301	90	500	540	622	822	435	705	257	323	221	192	436	310	370	1743	1272	114	253	743	160	134	1056	1025	421	404	426	329	377	328	552	210	80					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	6955	55	121	152	75	124	33	139	56	48	49	24	24	25	116	35	105	91	35	83	114	130	111	40	37	102	76	165	73	45	206	86	114	43	69	164	131	168	307	118	150	64	90	16	77	127	95	55	47	135	168	141	96	72	135	32	71	57	75	33	52	139	27	25	254	233	75	74	190	143	65	116	66	51	20					
6	Число погашенных избирательных бюллетеней	18400	50	541	558	488	614	240	440	621	677	879	465	570	620	274	466	470	327	179	181	333	710	13	26	5	64	33	245	35	27	127	29	24	42	110	60	32	135	340	117	384	142	159	44	323	333	433	223	148	260	155	176	63	86	129	58	99	1000	753	63	85	118	43	61	640	242	224	112	134	88	118	156	132	29	20					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6955	55	121	152	75	124	33	139	56	48	49	24	24	25	116	35	105	91	35	83	114	130	111	40	37	102	76	165	73	45	206	86	114	43	69	164	131	168	307	118	150	64	90	16	77	127	95	55	47	135	168	141	96	72	135	32	71	57	75	33	52	139	27	25	254	233	75	74	190	143	65	116	66	51	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45657	594	1728	1690	1137	1361	627	1418	1323	1473	1866	1111	1356	1255	810	1199	1025	881	436	436	753	1160	96	274	78	134	141	840	192	128	217	365	212	144	361	306	137	297	1103	285	616	344	301	90	500	540	620	822	435	705	257	323	221	192	436	310	370	1743	1272	114	253	742	160	134	1056	1025	421	404	426	329	377	328	552	210	80					
9	Число недействительных избирательных бюллетеней	594	3	13	27	9	15	12	20	17	13	20	9	14	17	9	18	8	13	3	6	6	17	2	3	3	4	2	8	2	3	2	2	6	7	6	14	5	8	11	0	12	6	5	4	6	7	5	14	5	11	14	9	5	6	3	1	5	15	14	0	5	7	2	4	15	12	5	3	9	2	7	13	5	0	1					
10	Число действительных избирательных бюллетеней	52018	646	1836	1815	1203	1470	648	1537	1362	1508	1895	1126	1366	1263	917	1216	1122	959	468	513	861	1273	205	311	112	232	215	997	263	170	421	449	320	180	424	456	263	457	1399	403	754	402	386	102	571	660	710	863	477	829	411	455	312	258	568	341	436	1785	1333	147	300	874	185	155	1295	1246	491	475	607	470	435	431	613	261	99					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	885	4	25	24	15	29	10	19	27	28	20	35	19	21	10	20	30	10	10	15	10	25	0	5	0	0	5	22	5	5	5	10	5	10	10	10	5	3	25	10	10	10	6	1	10	7	10	10	10	10	3	5	3	5	10	5	10	25	35	5	10	21	5	5	20	13	10	10	10	10	10	10	10	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	765	4	25	22	15	28	10	19	27	28	20	34	19	19	10	19	23	10	10	10	10	25	0	4	0	0	2	22	5	4	5	4	3	7	3	7	3	2	25	3	10	5	5	1	4	2	10	10	7	10	1	3	1	1	4	1	7	24	35	1	10	19	5	1	20	13	10	9	10	8	6	10	10	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	599	28	33	7	14	5	3	16	5	10	3	6	7	1	8	7	8	4	4	7	1	4	0	5	1	5	4	3	4	10	14	9	4	3	4	5	2	2	17	2	8	2	5	1	5	8	4	8	7	10	6	6	1	3	4	1	2	4	13	3	5	133	7	4	6	29	1	1	8	4	6	4	5	5	5					
14	Число погашенных неиспользованных открепительных удостоверений	120	0	0	2	0	1	0	0	0	0	0	1	0	2	0	1	7	0	0	5	0	0	0	1	0	0	3	0	0	1	0	6	2	3	7	3	2	1	0	7	0	5	1	0	6	5	0	0	3	0	2	2	2	4	6	4	3	1	0	4	0	2	0	4	0	0	0	1	0	2	4	0	0	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	0	0	2	0	0	1	3	0	1	2	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
