Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																					
Дата голосования: 04.12.2011																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Шебекинская																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203					
1	"Число избирателей, внесенных в список избирателей"	73876	1019	1923	1834	1443	1494	1861	1539	1838	1836	1725	1915	1639	1762	1280	1813	1933	1756	1562	1688	667	788	1668	1726	274	352	119	286	238	1251	320	198	580	515	345	223	552	579	315	573	1760	552	1144	600	708	975	992	1175	1233	698	1161	669	667	422	331	730	437	589	1824	1595	1654	209	404	979	224	203	1001	1211	1135	820	610	744	570	579	611	517	312	118	284					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70050	1000	1850	1750	1300	1300	1700	1500	1600	1800	1700	1850	1500	1700	1200	1700	1800	1700	1500	1600	600	700	1600	1600	277	360	110	290	230	1200	300	180	500	523	360	240	570	550	300	550	1700	510	1100	550	700	900	1000	1100	1100	650	1100	600	600	380	300	700	410	590	1750	1600	1600	220	380	950	210	190	1000	1000	1000	800	600	750	560	550	600	500	300	120	290					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	43716	612	1240	1180	847	872	1131	867	1044	1076	1087	1244	1082	1103	727	1205	1169	1098	844	957	414	464	864	917	117	314	59	153	120	856	210	131	207	304	174	138	330	306	128	322	1135	283	634	360	387	513	525	579	799	438	663	267	307	244	171	460	322	358	1080	943	948	112	215	661	149	155	593	713	601	473	376	448	357	365	302	348	221	75	223					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6807	55	117	87	57	57	72	75	129	52	33	23	43	32	128	36	19	39	92	78	18	65	125	90	156	35	45	119	95	147	53	28	187	77	115	35	57	101	102	164	232	130	144	61	137	124	129	102	75	60	174	165	112	102	71	170	30	87	50	60	54	29	36	148	32	25	127	146	143	85	68	183	134	82	135	54	42	26	5					
6	Число погашенных избирательных бюллетеней	19527	333	493	483	396	371	497	558	427	672	580	583	375	565	345	459	612	563	564	565	168	171	611	593	4	11	6	18	15	197	37	21	106	142	71	67	183	143	70	64	333	97	322	129	176	263	346	419	226	152	263	168	181	34	58	70	58	145	620	597	598	79	129	141	29	10	280	141	256	242	156	119	69	103	163	98	37	19	62					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6806	55	117	87	57	57	71	75	129	52	33	23	43	32	128	36	19	39	92	78	18	65	125	90	156	35	45	119	95	147	53	28	187	77	115	35	57	101	102	164	232	130	144	61	137	124	129	102	75	60	174	165	112	102	71	170	30	87	50	60	54	29	36	148	32	25	127	146	143	85	68	183	134	82	135	54	42	26	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43704	612	1240	1180	847	872	1128	867	1044	1076	1086	1244	1081	1101	727	1205	1169	1098	844	957	414	464	864	917	117	314	59	153	120	856	210	131	207	304	174	138	330	306	128	322	1135	283	634	360	387	513	525	577	799	438	663	267	306	244	171	460	322	358	1080	943	948	112	215	661	149	155	593	712	600	473	376	448	357	365	302	348	221	75	223					
9	Число недействительных избирательных бюллетеней	834	19	22	20	14	15	15	12	11	26	23	19	14	17	23	21	21	19	14	11	7	15	21	18	3	5	1	4	2	24	3	6	5	6	4	5	5	7	2	5	18	7	13	3	8	8	12	7	25	4	17	11	11	6	0	4	3	5	14	13	19	0	10	18	4	7	6	13	10	10	16	15	2	6	2	12	3	4	4					
10	Число действительных избирательных бюллетеней	49676	648	1335	1247	890	914	1184	930	1162	1102	1096	1248	1110	1116	832	1220	1167	1118	922	1024	425	514	968	989	270	344	103	268	213	979	260	153	389	375	285	168	382	400	228	481	1349	406	765	418	516	629	642	672	849	494	820	421	407	340	242	626	349	440	1116	990	983	141	241	791	177	173	714	845	733	548	428	616	489	441	435	390	260	97	224					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1145	10	20	25	20	17	30	25	30	40	40	24	30	20	15	25	40	23	18	25	15	10	20	20	0	5	5	6	5	25	5	5	12	5	5	5	5	12	5	5	20	8	15	6	10	12	5	15	15	15	22	15	5	5	5	10	5	5	20	15	20	5	15	15	5	5	20	20	25	15	10	15	15	15	10	15	15	10	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1048	10	20	25	19	17	30	20	30	32	40	24	30	20	15	25	40	23	18	25	13	3	20	19	0	5	5	6	5	24	5	5	12	3	2	0	5	12	1	5	18	8	15	6	10	12	5	11	15	15	22	15	5	5	3	10	3	5	20	13	13	5	7	15	4	5	14	12	19	6	10	15	15	15	10	15	15	10	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	758	9	21	15	10	28	9	9	17	22	16	17	18	13	55	23	9	16	9	23	9	11	5	4	3	3	5	6	6	7	8	9	11	3	1	2	1	11	1	5	15	6	9	12	3	10	5	6	11	9	10	9	4	3	5	4	5	3	8	7	19	4	3	18	3	5	2	30	10	2	6	6	9	9	8	7	17	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	97	0	0	0	1	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	2	7	0	1	0	0	0	0	0	1	0	0	0	2	3	5	0	0	4	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	2	0	0	2	7	0	8	0	1	0	6	8	6	9	0	0	0	0	0	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	0	3	2	0	1	1	0	1	4	4	1	0	1	3	4	5	1	1	2	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	2	1	1	0	0	0	1	0	0	2	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6854	133	185	171	129	125	183	147	177	154	160	151	144	147	104	164	174	130	110	139	58	77	139	150	34	38	5	22	26	172	60	23	43	34	28	19	53	71	17	74	160	52	95	54	54	82	75	87	181	62	104	45	55	23	14	95	38	31	215	173	150	23	64	92	23	17	101	129	78	88	84	85	43	50	52	42	35	10	23					
		13.57%	19.94%	13.63%	13.50%	14.27%	13.46%	15.26%	15.61%	15.09%	13.65%	14.30%	11.92%	12.81%	12.97%	12.16%	13.22%	14.65%	11.43%	11.75%	13.43%	13.43%	14.56%	14.05%	14.90%	12.45%	10.89%	4.81%	8.09%	12.09%	17.15%	22.81%	14.47%	10.91%	8.92%	9.69%	10.98%	13.70%	17.44%	7.39%	15.23%	11.70%	12.59%	12.21%	12.83%	10.31%	12.87%	11.47%	12.81%	20.71%	12.45%	12.43%	10.42%	13.16%	6.65%	5.79%	15.08%	10.80%	6.97%	19.03%	17.25%	14.97%	16.31%	25.50%	11.37%	12.71%	9.44%	14.03%	15.03%	10.50%	15.77%	18.92%	13.47%	8.76%	11.19%	11.90%	10.45%	13.31%	9.90%	10.09%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5195	56	146	125	103	124	125	113	130	131	117	129	119	135	74	127	129	128	123	136	54	69	118	132	14	28	4	18	13	98	26	9	30	34	23	12	30	33	32	46	113	39	86	43	37	67	69	76	77	43	123	55	29	31	14	21	39	39	117	104	91	11	20	77	21	9	69	82	85	55	37	65	48	49	60	32	25	10	34					
		10.29%	8.40%	10.76%	9.87%	11.39%	13.35%	10.43%	11.99%	11.08%	11.61%	10.46%	10.18%	10.59%	11.92%	8.65%	10.23%	10.86%	11.26%	13.14%	13.14%	12.50%	13.04%	11.93%	13.11%	5.13%	8.02%	3.85%	6.62%	6.05%	9.77%	9.89%	5.66%	7.61%	8.92%	7.96%	6.94%	7.75%	8.11%	13.91%	9.47%	8.27%	9.44%	11.05%	10.21%	7.06%	10.52%	10.55%	11.19%	8.81%	8.63%	14.70%	12.73%	6.94%	8.96%	5.79%	3.33%	11.08%	8.76%	10.35%	10.37%	9.08%	7.80%	7.97%	9.52%	11.60%	5.00%	9.58%	9.56%	11.44%	9.86%	8.33%	10.30%	9.78%	10.96%	13.73%	7.96%	9.51%	9.90%	14.91%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	587	3	16	11	8	13	24	6	13	18	20	9	17	13	10	17	10	25	18	11	9	6	6	11	4	4	0	3	2	13	2	1	7	1	1	0	3	3	2	5	7	6	10	4	2	6	10	11	10	7	8	3	6	3	6	4	7	3	16	13	10	3	2	9	1	0	8	4	11	11	5	7	4	10	8	5	1	1	0					
		1.16%	0.45%	1.18%	0.87%	0.88%	1.40%	2.00%	0.64%	1.11%	1.60%	1.79%	0.71%	1.51%	1.15%	1.17%	1.37%	0.84%	2.20%	1.92%	1.06%	2.08%	1.13%	0.61%	1.09%	1.47%	1.15%	0.00%	1.10%	0.93%	1.30%	0.76%	0.63%	1.78%	0.26%	0.35%	0.00%	0.78%	0.74%	0.87%	1.03%	0.51%	1.45%	1.29%	0.95%	0.38%	0.94%	1.53%	1.62%	1.14%	1.41%	0.96%	0.69%	1.44%	0.87%	2.48%	0.63%	1.99%	0.67%	1.42%	1.30%	0.99%	2.13%	0.80%	1.11%	0.55%	0.00%	1.11%	0.47%	1.48%	1.97%	1.13%	1.11%	0.81%	2.24%	1.83%	1.24%	0.38%	0.99%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	15710	231	495	503	318	363	441	328	391	409	415	505	452	453	250	414	409	397	306	364	164	188	332	361	31	66	12	48	27	229	58	24	101	131	121	80	166	112	77	95	439	150	240	124	96	157	218	206	121	100	284	102	98	83	67	120	114	140	297	259	328	33	50	122	21	48	190	236	239	182	117	150	109	149	141	161	53	13	86					
		31.10%	34.63%	36.48%	39.70%	35.18%	39.07%	36.78%	34.82%	33.33%	36.26%	37.09%	39.86%	40.21%	39.98%	29.24%	33.36%	34.43%	34.92%	32.69%	35.17%	37.96%	35.54%	33.57%	35.85%	11.36%	18.91%	11.54%	17.65%	12.56%	22.83%	22.05%	15.09%	25.63%	34.38%	41.87%	46.24%	42.89%	27.52%	33.48%	19.55%	32.11%	36.32%	30.85%	29.45%	18.32%	24.65%	33.33%	30.34%	13.84%	20.08%	33.93%	23.61%	23.44%	23.99%	27.69%	19.05%	32.39%	31.46%	26.28%	25.82%	32.73%	23.40%	19.92%	15.08%	11.60%	26.67%	26.39%	27.51%	32.17%	32.62%	26.35%	23.77%	22.20%	33.33%	32.27%	40.05%	20.15%	12.87%	37.72%					
