Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
Наименование Избирательной комиссии:    Магаданская городская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №111	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №128	УИК №129	УИК №131	УИК №132	УИК №134	УИК №135	УИК №136					
1	"Число избирателей, внесенных в списки избирателей"	82253	2244	2591	2278	1851	1911	1862	632	2236	2536	1972	2620	1589	2438	2660	2550	2738	2142	1447	852	845	2223	2462	1903	1254	2504	2525	655	1557	2461	2435	2456	2471	2687	2284	267	290	309	1180	432	1219	2084	1673	1518	2231	305	190	29	29	28	28	28	126	57	43	25	24	25	23	27	23	17	30	17	25	23	27	30					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	75965	2100	2100	2030	1730	1790	1680	570	2100	2250	1790	2480	1490	2180	2420	2340	2590	2010	1300	760	770	2080	2310	1810	1140	2280	2340	600	1460	2280	2190	2260	2200	2550	2060	273	260	590	1090	370	1150	2000	1530	1410	2070	300	198	29	29	28	28	28	126	57	43	25	24	25	23	27	23	17	30	17	25	23	27	30					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	45839	1330	1799	1210	982	1101	1060	371	1201	1451	1040	1417	859	1348	1604	1477	1494	1176	765	340	353	1103	1322	1016	470	1470	1315	293	932	1401	1346	1285	1355	1495	1176	227	179	244	648	175	725	1277	952	836	1206	161	188	29	29	28	28	28	107	57	43	25	24	25	23	26	23	17	30	17	25	23	27	30					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1352	20	31	48	17	24	30	14	27	49	13	46	29	22	16	58	21	16	13	69	16	25	26	24	33	13	17	9	6	20	21	18	23	21	69	35	6	65	22	105	21	25	24	23	13	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	28762	750	270	772	731	665	590	185	872	750	737	1017	602	810	800	805	1075	818	522	351	401	952	962	758	637	797	1008	298	522	859	823	957	822	1034	815	11	75	281	420	90	404	698	554	551	851	30	10	0	0	0	0	0	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1364	20	31	48	17	24	30	14	27	49	13	46	29	22	16	58	21	16	13	69	16	25	26	36	33	13	17	9	6	20	21	18	23	21	69	35	6	65	22	105	21	25	24	23	13	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45749	1317	1795	1209	982	1101	1059	371	1199	1449	1039	1415	859	1343	1601	1477	1489	1175	763	340	353	1102	1322	1014	470	1470	1315	292	931	1399	1328	1282	1341	1495	1176	227	179	244	648	175	722	1276	951	835	1206	161	188	29	29	28	28	28	107	57	43	25	24	25	23	26	23	17	30	17	25	23	27	30					
9	Число недействительных избирательных бюллетеней	519	18	18	25	15	10	9	2	10	13	18	11	12	27	7	15	22	16	9	4	6	8	13	6	4	26	10	2	12	20	23	14	14	10	20	1	1	2	5	4	5	9	5	11	10	1	12	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	46594	1319	1808	1232	984	1115	1080	383	1216	1485	1034	1450	876	1338	1610	1520	1488	1175	767	405	363	1119	1335	1044	499	1457	1322	299	925	1399	1326	1286	1350	1506	1225	261	184	307	665	276	738	1292	970	847	1209	269	176	29	29	28	28	25	107	57	43	25	24	25	23	26	22	17	30	17	25	23	27	30					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	267	5	5	4	5	5	5	4	7	8	5	8	5	8	9	8	8	9	5	4	5	8	8	5	5	8	2	4	5	7	7	7	7	7	9	0	3	4	5	3	10	9	10	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	218	5	3	4	4	4	5	4	7	8	5	8	2	8	8	7	8	4	4	0	2	8	8	4	2	8	2	1	4	7	7	6	7	7	9	0	0	3	4	1	9	7	10	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	196	8	17	1	0	14	13	5	8	4	1	2	3	7	4	6	4	4	1	1	4	3	2	3	1	4	3	0	4	6	5	2	3	5	5	4	3	2	3	1	1	5	4	9	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	49	0	2	0	1	1	0	0	0	0	0	0	3	0	1	1	0	5	1	4	3	0	0	1	3	0	0	3	1	0	0	1	0	0	0	0	3	1	1	2	1	2	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	0	0	0	1	1	2	2	1	1	0	1	3	0	0	0	0	1	1	0	1	2	1	0	0	1	4	0	0	1	0	1	1	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
