Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
Наименование Избирательной комиссии:    Тетюшская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660					
1	"Число избирателей, внесенных в список избирателей"	19216	1071	1128	680	831	1240	1205	1100	202	626	1126	376	135	219	418	149	266	246	259	207	418	470	370	481	186	141	268	109	214	126	336	307	286	95	181	107	104	98	258	95	236	352	224	162	157	227	217	375	84	384	100	94	265	132	73					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19347	1064	1167	637	822	1248	1214	1110	203	630	1140	379	141	220	419	147	289	247	259	205	420	455	388	484	191	142	277	112	216	127	364	310	285	98	182	107	104	99	261	100	239	347	221	160	147	233	212	380	91	390	100	94	263	133	74					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15152	730	824	458	519	713	713	838	176	568	805	359	131	208	377	124	219	222	246	184	378	435	272	292	182	140	235	109	192	87	320	266	253	84	177	107	80	90	258	95	159	324	197	153	126	217	158	343	82	307	93	87	241	126	73					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1217	60	63	71	35	57	68	49	13	17	88	12	3	9	23	17	32	18	8	17	25	19	86	75	2	0	27	0	13	34	16	25	15	11	0	0	22	5	0	0	10	16	6	5	21	5	14	8	2	66	7	7	9	6	0					
6	Число погашенных избирательных бюллетеней	2978	274	280	108	268	478	433	223	14	45	247	8	7	3	19	6	38	7	5	4	17	1	30	117	7	2	15	3	11	6	28	19	17	3	5	0	2	4	3	5	70	7	18	2	0	11	40	29	7	17	0	0	13	1	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1217	60	63	71	35	57	68	49	13	17	88	12	3	9	23	17	32	18	8	17	25	19	86	75	2	0	27	0	13	34	16	25	15	11	0	0	22	5	0	0	10	16	6	5	21	5	14	8	2	66	7	7	9	6	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15152	730	824	458	519	713	713	838	176	568	805	359	131	208	377	124	219	222	246	184	378	435	272	292	182	140	235	109	192	87	320	266	253	84	177	107	80	90	258	95	159	324	197	153	126	217	158	343	82	307	93	87	241	126	73					
9	Число недействительных избирательных бюллетеней	138	11	13	7	5	0	11	16	0	0	7	8	0	0	2	3	5	0	1	0	17	5	3	1	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	2	0	0	0	2	0	1	3	2	1	0	0	1	2	0					
10	Число действительных избирательных бюллетеней	16231	779	874	522	549	770	770	871	189	585	886	363	134	217	398	138	246	240	253	201	386	449	355	366	184	140	262	109	205	121	336	284	266	95	177	107	102	95	258	95	167	340	203	158	145	222	171	348	82	372	100	94	249	130	73					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	17	15	10	13	20	19	18	3	10	18	4	2	3	7	2	4	4	4	4	7	7	6	7	3	2	3	2	3	2	6	5	6	2	3	2	2	2	2	2	4	4	3	3	3	4	4	5	2	6	2	2	3	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	144	10	12	8	12	6	16	15	0	9	15	0	0	0	0	0	0	0	0	0	2	1	6	2	0	0	2	0	1	0	6	3	2	0	2	0	0	2	2	0	0	3	0	1	0	1	1	1	0	2	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	81	8	4	0	3	2	2	0	1	0	5	1	1	1	1	1	2	2	1	1	2	3	2	1	1	0	0	2	2	0	0	1	3	0	1	1	1	1	0	0	1	4	2	1	1	0	4	2	0	1	2	2	3	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	156	7	3	2	1	14	3	3	3	1	3	4	2	3	7	2	4	4	4	4	5	6	0	5	3	2	1	2	2	2	0	2	4	2	1	2	2	0	0	2	4	1	3	2	3	3	3	4	2	4	2	2	2	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
