Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Икрянинская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165					
1	"Число избирателей, внесенных в списки"	36964	1338	2231	2231	2620	321	1893	401	389	3000	2738	2346	115	678	154	455	220	304	324	365	314	287	2056	196	560	598	319	979	1177	647	843	865	461	1550	134	728	554	1298	851	424					
2	"Число бюллетеней, полученных участковыми комиссиями"	37102	1346	2269	2173	2615	337	1931	386	392	2968	2643	2254	112	680	155	461	220	309	617	372	310	287	2070	195	563	599	317	955	1096	625	841	844	491	1578	135	733	574	1342	872	435					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19087	711	1145	829	1432	155	913	248	268	1657	1634	1249	65	429	94	323	161	145	298	211	206	147	1024	119	238	310	181	430	623	289	452	453	158	605	76	340	256	605	390	218					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1052	25	32	40	22	27	61	14	11	48	68	36	10	31	2	13	5	17	26	42	16	6	23	13	20	22	3	24	24	15	30	47	41	63	23	32	52	33	21	14					
6	Число погашенных бюллетеней	16963	610	1092	1304	1161	155	957	124	113	1263	941	969	37	220	59	125	54	147	293	119	88	134	1023	63	305	267	133	501	449	321	359	344	292	910	36	361	266	704	461	203					
7	Число бюллетеней в переносных ящиках для голосования	1052	25	32	40	22	27	61	14	11	48	68	36	10	31	2	13	5	17	26	42	16	6	23	13	20	22	3	24	24	15	30	47	41	63	23	32	52	33	21	14					
8	Число бюллетеней в стационарных ящиках для голосования	19120	711	1146	829	1432	155	913	248	268	1690	1634	1249	65	429	94	323	161	145	298	211	206	147	1024	119	238	310	181	430	623	289	451	453	158	605	76	340	256	605	390	218					
9	Число недействительных бюллетеней	471	13	32	12	28	1	22	5	17	31	14	6	6	9	0	3	4	6	11	6	16	5	26	1	9	18	5	11	20	5	17	13	8	17	4	15	12	16	15	12					
10	Число действительных бюллетеней	19701	723	1146	857	1426	181	952	257	262	1707	1688	1279	69	451	96	333	162	156	313	247	206	148	1021	131	249	314	179	443	627	299	464	487	191	651	95	357	296	622	396	220					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	199	8	13	12	14	2	10	2	2	16	14	12	1	4	1	3	1	2	3	2	2	1	10	1	3	3	2	5	6	3	4	4	3	7	1	4	3	8	4	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	81	8	1	1	4	0	3	0	0	8	12	7	0	0	1	3	0	0	1	4	0	0	10	1	0	3	1	0	1	0	3	1	1	1	0	3	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	91	1	3	2	5	1	3	4	1	9	5	6	2	3	0	1	0	0	0	1	7	0	3	1	2	2	0	1	5	7	0	1	1	5	1	1	1	4	2	0					
14	Число погашенных открепительных удостоверений	126	0	12	11	10	2	7	2	2	5	2	5	1	4	0	0	1	2	3	2	2	1	3	0	3	3	1	5	5	3	1	3	2	6	1	1	3	5	4	3					
15	Число открепительных удостоверений выданных ТИК	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	477	5	16	14	20	13	6	4	18	30	29	24	2	19	3	11	10	6	8	8	16	8	26	3	16	14	8	11	13	4	12	17	5	14	1	15	12	17	11	8					
		2.36%	0.67%	1.35%	1.61%	1.37%	7.14%	0.61%	1.52%	6.45%	1.72%	1.70%	1.86%	2.66%	4.13%	3.12%	3.27%	6.02%	3.70%	2.46%	3.16%	7.20%	5.22%	2.48%	2.27%	6.20%	4.21%	4.34%	2.42%	2.00%	1.31%	2.49%	3.4%	2.51%	2.09%	1.01%	4.03%	3.89%	2.66%	2.67%	3.44%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	224	6	15	15	14	3	6	5	4	28	25	13	1	8	1	2	7	0	2	5	1	2	9	3	2	1	2	8	3	2	0	3	2	2	0	3	7	4	9	1					
		1.11%	0.81%	1.27%	1.72%	0.96%	1.64%	0.61%	1.90%	1.43%	1.61%	1.46%	1.01%	1.33%	1.73%	1.04%	0.59%	4.21%	0.0%	0.61%	1.97%	0.45%	1.30%	0.85%	2.27%	0.77%	0.30%	1.08%	1.76%	0.46%	0.65%	0.0%	0.6%	1.00%	0.29%	0.0%	0.80%	2.27%	0.62%	2.18%	0.43%					
