Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Красногорская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417					
1	"Число избирателей, внесенных в список избирателей"	9301	711	235	433	233	429	750	431	584	1026	323	943	536	282	130	942	282	1031					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9365	730	240	420	230	440	750	440	600	1040	330	930	540	290	130	955	300	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5188	403	146	243	145	195	409	229	326	521	184	528	279	147	72	583	160	618					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	704	52	23	37	17	78	49	34	87	41	23	48	57	37	16	62	31	12					
6	Число погашенных избирательных бюллетеней	3473	275	71	140	68	167	292	177	187	478	123	354	204	106	42	310	109	370					
7	Число избирательных бюллетеней в переносных ящиках для голосования	704	52	23	37	17	78	49	34	87	41	23	48	57	37	16	62	31	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5188	403	146	243	145	195	409	229	326	521	184	528	279	147	72	583	160	618					
9	Число недействительных избирательных бюллетеней	55	3	1	2	0	2	5	0	2	3	5	6	2	3	0	12	0	9					
10	Число действительных избирательных бюллетеней	5837	452	168	278	162	271	453	263	411	559	202	570	334	181	88	633	191	621					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	243	23	12	8	6	15	10	10	15	10	15	15	10	15	5	18	38	18					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	202	21	12	6	5	14	10	10	13	4	15	10	9	15	1	11	36	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	5	4	3	1	0	5	4	2	6	1	5	1	3	3	3	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	41	2	0	2	1	1	0	0	2	6	0	5	1	0	4	7	2	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	1	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	523	34	10	30	7	30	37	24	29	69	13	67	17	7	5	62	23	59					
		8.88%	7.47%	5.92%	10.71%	4.32%	10.99%	8.08%	9.13%	7.02%	12.28%	6.28%	11.63%	5.06%	3.80%	5.68%	9.61%	12.04%	9.37%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	847	86	28	36	11	51	39	39	47	93	38	88	34	31	6	77	23	120					
		14.38%	18.90%	16.57%	12.86%	6.79%	18.68%	8.52%	14.83%	11.38%	16.55%	18.36%	15.28%	10.12%	16.85%	6.82%	11.94%	12.04%	19.05%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	43	4	1	3	1	2	4	1	0	3	3	3	7	1	0	4	0	6					
		0.73%	0.88%	0.59%	1.07%	0.62%	0.73%	0.87%	0.38%	0.00%	0.53%	1.45%	0.52%	2.08%	0.54%	0.00%	0.62%	0.00%	0.95%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	824	59	10	28	7	27	77	43	47	79	18	107	77	16	15	102	18	94					
		13.99%	12.97%	5.92%	10.00%	4.32%	9.89%	16.81%	16.35%	11.38%	14.06%	8.70%	18.58%	22.92%	8.70%	17.05%	15.81%	9.42%	14.92%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	32	3	0	0	0	7	2	3	1	0	1	1	1	0	0	8	0	5					
		0.54%	0.66%	0.00%	0.00%	0.00%	2.56%	0.44%	1.14%	0.24%	0.00%	0.48%	0.17%	0.30%	0.00%	0.00%	1.24%	0.00%	0.79%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3537	264	117	178	135	154	294	152	286	312	127	299	194	123	62	378	127	335					
		60.03%	58.02%	69.23%	63.57%	83.33%	56.41%	64.19%	57.79%	69.25%	55.52%	61.35%	51.91%	57.74%	66.85%	70.45%	58.60%	66.49%	53.17%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	31	2	2	3	1	0	0	1	1	3	2	5	4	3	0	2	0	2					
		0.53%	0.44%	1.18%	1.07%	0.62%	0.00%	0.00%	0.38%	0.24%	0.53%	0.97%	0.87%	1.19%	1.63%	0.00%	0.31%	0.00%	0.32%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
