Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																									
Дата голосования: 02.12.2007																									
																									
Наименование Избирательной комиссии:    Красногорская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418					
1	"Число избирателей, внесенных в списки избирателей"	9465	703	255	458	212	320	811	330	582	584	335	1051	532	281	143	1105	138	314	1311					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9590	710	250	450	210	320	810	340	590	580	340	1030	530	280	150	1220	130	330	1320					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5733	444	165	305	153	203	526	204	334	318	193	685	333	143	62	643	70	168	784					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	769	64	19	40	19	47	48	20	75	55	33	60	61	30	33	72	22	32	39					
6	Число погашенных избирательных бюллетеней	3088	202	66	105	38	70	236	116	181	207	114	285	136	107	55	505	38	130	497					
7	Число избирательных бюллетеней в переносных ящиках для голосования	769	64	19	40	19	47	48	20	75	55	33	60	61	30	33	72	22	32	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5732	443	165	305	153	203	526	204	334	318	193	685	333	143	62	643	70	168	784					
9	Число недействительных избирательных бюллетеней	60	4	0	3	2	4	5	4	4	3	5	5	0	1	0	12	0	1	7					
10	Число действительных избирательных бюллетеней	6441	503	184	342	170	246	569	220	405	370	221	740	394	172	95	703	92	199	816					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	148	12	5	5	3	3	5	5	7	15	5	20	7	3	3	18	2	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	86	12	2	0	0	2	3	5	3	1	5	1	6	0	2	12	2	20	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	45	5	0	4	2	2	1	0	3	3	2	6	1	2	1	5	2	4	2					
14	Число погашенных неиспользованных открепительных удостоверений	62	0	3	5	3	1	2	0	4	14	0	19	1	3	1	6	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
