Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Сладковская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572					
1	"Число избирателей, внесенных в списки"	10870	537	179	161	136	107	455	165	206	520	95	1334	97	342	132	170	440	56	585	64	230	246	275	178	1070	1571	71	397	153	211	687					
2	"Число бюллетеней, полученных участковыми комиссиями"	10777	545	181	162	136	105	475	165	205	529	101	1328	97	330	140	163	430	60	563	67	229	262	273	177	1007	1547	71	404	153	200	672					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7662	323	131	121	111	90	351	128	148	383	73	975	95	230	87	134	332	53	450	64	134	176	179	135	671	1033	65	266	112	156	456					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	849	39	8	0	7	10	25	7	15	52	9	57	0	43	13	18	46	0	25	0	50	51	21	11	98	80	2	60	5	16	81					
6	Число погашенных бюллетеней	2266	183	42	41	18	5	99	30	42	94	19	296	2	57	40	11	52	7	88	3	45	35	73	31	238	434	4	78	36	28	135					
7	Число бюллетеней в переносных ящиках для голосования	849	39	8	0	7	10	25	7	15	52	9	57	0	43	13	18	46	0	25	0	50	51	21	11	98	80	2	60	5	16	81					
8	Число бюллетеней в стационарных ящиках для голосования	7662	323	131	121	111	90	351	128	148	383	73	975	95	230	87	134	332	53	450	64	134	176	179	135	671	1033	65	266	112	156	456					
9	Число недействительных бюллетеней	95	6	0	6	0	0	5	0	1	2	0	11	0	7	4	3	1	2	1	0	1	0	1	1	10	17	1	0	2	0	13					
10	Число действительных бюллетеней	8416	356	139	115	118	100	371	135	162	433	82	1021	95	266	96	149	377	51	474	64	183	227	199	145	759	1096	66	326	115	172	524					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	169	4	4	4	4	4	4	4	4	9	4	14	4	4	4	4	4	4	4	4	4	4	4	4	18	24	4	4	4	4	4					
