Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Ямальская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201					
1	"Число избирателей, внесенных в списки"	9451	558	1121	1124	1381	837	229	1126	1126	467	1482					
2	"Число бюллетеней, полученных участковыми комиссиями"	8500	600	1000	978	1100	682	230	1100	980	430	1400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	2658	91	410	922	0	0	0	271	184	110	670					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5054	465	534	31	1041	642	204	609	752	270	506					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	181	2	33	0	46	23	12	20	0	0	45					
6	Число погашенных бюллетеней	607	42	23	25	13	17	14	200	44	50	179					
7	Число бюллетеней в переносных ящиках для голосования	2834	93	443	917	46	23	12	291	184	110	715					
8	Число бюллетеней в стационарных ящиках для голосования	5054	465	534	31	1041	642	204	609	752	270	506					
9	Число недействительных бюллетеней	58	0	2	19	11	1	8	5	4	1	7					
10	Число действительных бюллетеней	7830	558	975	929	1076	664	208	895	932	379	1214					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	118	7	7	3	30	15	3	23	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	94	7	6	0	25	13	2	18	10	5	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	2	6	0	10	1	4	2	6	2	3					
14	Число погашенных открепительных удостоверений	24	0	1	3	5	2	1	5	0	5	2					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	1	1	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	220	18	24	1	34	26	12	57	18	6	24					
		2.78%	3.22%	2.45%	0.10%	3.12%	3.90%	5.55%	6.33%	1.92%	1.57%	1.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	207	6	13	0	26	18	4	52	27	26	35					
		2.62%	1.07%	1.33%	0.0%	2.39%	2.70%	1.85%	5.77%	2.88%	6.84%	2.86%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	173	7	20	4	21	4	13	22	19	5	58					
