Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Дубровская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14932	2182	1560	1588	1028	615	536	416	253	663	73	408	489	467	225	1073	2052	484	308	230	158	124									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14500	2100	1500	1600	1000	600	500	400	250	650	70	400	475	450	225	1050	1950	475	300	225	150	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6080	727	612	483	600	159	207	193	143	300	47	149	265	214	94	392	968	214	93	95	69	56									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	653	19	21	22	39	78	50	38	20	12	12	61	20	27	20	29	9	58	39	21	35	23									
6	Число погашенных избирательных бюллетеней	7767	1354	867	1095	361	363	243	169	87	338	11	190	190	209	111	629	973	203	168	109	46	51									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	653	19	21	22	39	78	50	38	20	12	12	61	20	27	20	29	9	58	39	21	35	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6080	727	612	483	600	159	207	193	143	300	47	149	265	214	94	392	968	214	93	95	69	56									
9	Число недействительных избирательных бюллетеней	110	15	7	8	3	2	3	4	0	4	0	4	0	2	3	16	29	1	4	4	0	1									
10	Число действительных избирательных бюллетеней	6623	731	626	497	636	235	254	227	163	308	59	206	285	239	111	405	948	271	128	112	104	78									
