Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    район Ховрино																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК  3066					
1	"Число избирателей, внесенных в список"	53988	2678	2388	2368	2371	2569	2469	2624	2752	2555	2681	2683	2734	2362	2435	2304	2674	2819	2547	2478	2504	2857	136					
2	Число полученных избирательных бюллетеней	46700	2000	2000	2100	1800	2100	2500	2300	2400	2300	2500	2500	2500	2200	2100	2000	2000	2500	2200	2000	2000	2500	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31010	1894	1323	1238	1360	1290	1425	1705	1568	1409	1551	1586	1847	1297	1414	1261	1421	1548	1475	1410	1350	1502	136					
5	"Число избирательных бюллетеней, выданных вне помещения"	887	32	41	37	31	100	29	28	40	18	27	45	77	40	27	66	38	63	46	33	43	26	0					
6	Число погашенных избирательных бюллетеней	14803	74	636	825	409	710	1046	567	792	873	922	869	576	863	659	673	541	889	679	557	607	972	64					
7	Число избирательных бюллетеней в переносных ящиках	886	32	41	37	31	100	29	28	39	18	27	45	77	40	27	66	38	63	46	33	43	26	0					
8	Число бюллетеней в стационарных ящиках для голосования	30630	1880	1282	1228	1356	1259	1417	1683	1560	1409	1532	1578	1770	1257	1407	1246	1421	1548	1459	1410	1307	1485	136					
9	Число недействительных избирательных бюллетеней	224	9	10	8	11	4	12	28	7	9	6	12	6	18	8	8	11	9	10	8	18	8	4					
10	Число действительных избирательных бюллетеней	31292	1903	1313	1257	1376	1355	1434	1683	1592	1418	1553	1611	1841	1279	1426	1304	1448	1602	1495	1435	1332	1503	132					
11	Число полученных открепительных  удостоверений	1065	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	65	50	50	50	50	0					
12	Число выданных открепительных удостоверений	641	49	31	27	24	32	33	27	42	36	36	29	24	30	30	17	17	51	23	28	25	30	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	575	23	26	15	19	12	19	11	34	18	15	29	24	18	22	14	13	17	21	18	31	67	109					
14	Число неиспользованных открепительных удостоверений	424	1	19	23	26	18	17	23	8	14	14	21	26	20	20	33	33	14	27	22	25	20	0					
15	"Число открепительных удостоверений, выданных в ТИК"	16	0	0	0	0	0	0	1	7	1	0	0	1	0	1	1	0	0	1	0	0	3	0					
