Выборы Президента Российской Федерации																																		
Дата голосования: 18.03.2018																																		
																																		
Наименование Избирательной комиссии:    район Ховрино																																		
																																		
Сводная таблица итогов голосования																																		
																																		
	Число участковых избирательных комиссий	23																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	23																																
																																		
		Сумма	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №3439	УИК №3654									
1	"Число избирателей, включенных в список избирателей"	58307	2525	2720	2956	2790	2527	1970	2782	2251	2825	2868	2481	2797	2909	2571	2669	2750	2936	2639	2795	2721	2760	1931	134									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	48000	1900	2200	2300	2300	2100	2000	2200	1800	2300	2200	2000	2300	2300	2100	2200	2300	2300	2200	2300	2300	2200	2050	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33518	1461	1604	1650	1620	1341	1456	1691	1321	1643	1553	1373	1559	1634	1542	1539	1539	1439	1404	1516	1492	1555	1452	134									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1444	74	49	80	57	94	65	47	61	67	65	70	50	80	59	66	75	84	103	81	52	55	10	0									
6	Число погашенных избирательных бюллетеней	13038	365	547	570	623	665	479	462	418	590	582	557	691	586	499	595	686	777	693	703	756	590	588	16									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1422	74	49	80	57	74	65	47	61	67	65	70	50	80	59	64	75	84	103	81	52	55	10	0									
8	Число бюллетеней в стационарных ящиках для голосования	33478	1453	1602	1641	1615	1339	1456	1687	1321	1637	1553	1373	1559	1634	1542	1539	1539	1439	1403	1516	1492	1552	1452	134									
