Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																						
Дата голосования: 02.12.2007																						
																						
Наименование Избирательной комиссии:    Завьяловская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734					
1	"Число избирателей, внесенных в списки избирателей"	17019	1982	2259	1875	215	831	589	1084	360	1228	1488	1040	673	520	1699	1176					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15940	1880	2060	1710	200	760	560	1050	340	1150	1350	940	680	480	1680	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10100	1092	1389	1058	139	526	404	625	241	611	842	617	489	344	1017	706					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	739	51	70	129	15	33	31	75	12	75	31	53	41	20	51	52					
6	Число погашенных избирательных бюллетеней	5101	737	601	523	46	201	125	350	87	464	477	270	150	116	612	342					
7	Число избирательных бюллетеней в переносных ящиках для голосования	739	51	70	129	15	33	31	75	12	75	31	53	41	20	51	52					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10097	1092	1386	1058	139	526	404	625	241	611	842	617	489	344	1017	706					
9	Число недействительных избирательных бюллетеней	131	17	21	14	0	6	3	6	3	7	16	10	7	8	8	5					
10	Число действительных избирательных бюллетеней	10705	1126	1435	1173	154	553	432	694	250	679	857	660	523	356	1060	753					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	200	23	27	20	5	10	10	10	5	15	15	10	10	10	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	91	10	17	16	1	1	0	6	1	3	6	5	7	2	6	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	52	6	7	6	3	3	2	3	1	6	4	2	3	1	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	109	13	10	4	4	9	10	4	4	12	9	5	3	8	14	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	1.Политическая партия «Аграрная партия России»	635	53	69	71	2	50	53	33	7	21	60	27	21	32	88	48					
		5.86%	4.64%	4.74%	5.98%	1.30%	8.94%	12.18%	4.71%	2.77%	3.06%	6.87%	4.03%	3.96%	8.79%	8.24%	6.33%					
19	2.Всероссийская политическая партия «Гражданская Сила»	27	3	5	1	0	3	2	1	0	3	0	2	1	0	2	4					
		0.25%	0.26%	0.34%	0.08%	0.00%	0.54%	0.46%	0.14%	0.00%	0.44%	0.00%	0.30%	0.19%	0.00%	0.19%	0.53%					
20	3.Политическая партия «Демократическая партия России»	5	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0					
