Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Яшкульская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10083	765	1293	1244	1832	820	241	517	266	659	516	285	307	352	775	211									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10388	784	1331	1316	1770	864	248	546	272	691	560	312	330	351	803	210									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7884	616	1089	1060	1324	707	211	464	235	263	424	244	197	314	573	163									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	371	11	10	62	83	61	9	7	5	24	14	8	46	4	27	0									
6	Число погашенных избирательных бюллетеней	2133	157	232	194	363	96	28	75	32	404	122	60	87	33	203	47									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	371	11	10	62	83	61	9	7	5	24	14	8	46	4	27	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7884	616	1089	1060	1324	707	211	464	235	263	424	244	197	314	573	163									
9	Число недействительных избирательных бюллетеней	16	4	0	0	0	7	0	1	0	4	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	8239	623	1099	1122	1407	761	220	470	240	283	438	252	243	318	600	163									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	357	26	46	52	40	30	10	20	10	30	20	18	20	10	20	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	352	26	46	52	40	30	10	19	10	30	20	18	20	6	20	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	120	9	23	3	45	5	2	3	2	5	4	1	4	7	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	5	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	1	14	6	11	6	0	0	1	0	1	1	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	10	2	0	0	1	0	0	0	0	0	0	0	0	0	6	1									
		0.12%	0.32%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.61%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	43	7	0	0	7	0	2	0	1	9	0	0	0	0	13	4									
		0.52%	1.12%	0.00%	0.00%	0.50%	0.00%	0.91%	0.00%	0.42%	3.14%	0.00%	0.00%	0.00%	0.00%	2.17%	2.45%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	21	5	0	0	3	0	0	0	1	4	0	0	0	0	5	3									
		0.25%	0.80%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.42%	1.39%	0.00%	0.00%	0.00%	0.00%	0.83%	1.84%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6677	477	770	857	1211	651	203	418	216	142	377	244	195	308	497	111									
		80.88%	76.08%	70.06%	76.38%	86.07%	84.77%	92.27%	88.75%	90.00%	49.48%	86.07%	96.83%	80.25%	96.86%	82.83%	68.10%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	9	3	0	0	2	0	0	0	1	0	0	0	0	0	2	1									
		0.11%	0.48%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	33	1	25	0	5	0	0	0	0	2	0	0	0	0	0	0									
		0.40%	0.16%	2.27%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	91	24	0	0	29	6	0	0	1	13	4	1	0	1	11	1									
		1.10%	3.83%	0.00%	0.00%	2.06%	0.78%	0.00%	0.00%	0.42%	4.53%	0.91%	0.40%	0.00%	0.31%	1.83%	0.61%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
		0.04%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	18	3	0	0	10	0	0	0	0	0	0	1	0	0	2	2									
		0.22%	0.48%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.33%	1.23%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0									
		0.05%	0.00%	0.00%	0.00%	0.07%	0.13%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	14	4	0	0	6	0	0	0	0	0	0	0	0	0	3	1									
		0.17%	0.64%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.61%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1132	62	276	262	119	93	11	49	19	75	42	1	42	9	40	32									
		13.71%	9.89%	25.11%	23.35%	8.46%	12.11%	5.00%	10.40%	7.92%	26.13%	9.59%	0.40%	17.28%	2.83%	6.67%	19.63%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	111	13	0	2	8	10	1	2	0	30	15	5	6	0	16	3									
		1.34%	2.07%	0.00%	0.18%	0.57%	1.30%	0.45%	0.42%	0.00%	10.45%	3.42%	1.98%	2.47%	0.00%	2.67%	1.84%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	73	20	28	1	5	0	3	1	1	6	0	0	0	0	4	4									
		0.88%	3.19%	2.55%	0.09%	0.36%	0.00%	1.36%	0.21%	0.42%	2.09%	0.00%	0.00%	0.00%	0.00%	0.67%	2.45%									
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
