Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																								
Дата голосования: 02.12.2007																																								
																																								
Наименование Избирательной комиссии:    ТИК Железнодорожного округа г. Курска																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №1209					
1	"Число избирателей, внесенных в списки избирателей"	58980	2047	2149	1523	2699	1391	1608	2707	1481	1720	2009	2135	1959	1874	2289	2197	2087	2290	2107	2656	2348	1493	1702	2522	2271	2238	1108	735	1380	2255	183	1607	158	52					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	52935	1836	1958	1278	2407	1255	1292	2386	1066	1557	1825	1924	1751	1682	2057	1946	1889	2066	1931	2378	2064	1336	1518	2261	2052	2011	1004	700	1238	2022	200	1445	200	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	34059	1246	1382	816	1583	799	916	1497	938	952	1158	1345	1007	1085	1324	1353	1237	1402	1373	1472	1283	867	908	1372	1143	1059	506	455	835	1319	140	1145	90	52					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1527	46	79	61	78	20	39	47	13	25	95	117	50	34	33	48	26	30	34	112	15	29	78	29	69	102	38	21	12	14	40	25	68	0					
6	Число погашенных избирательных бюллетеней	17349	544	497	401	746	436	337	842	115	580	572	462	694	563	700	545	626	634	524	794	766	440	532	860	840	850	460	224	391	689	20	275	42	348					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1527	46	79	61	78	20	39	47	13	25	95	117	50	34	33	48	26	30	34	112	15	29	78	29	69	102	38	21	12	14	40	25	68	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33897	1246	1379	816	1583	797	916	1497	938	952	1156	1343	1007	1083	1324	1353	1236	1402	1373	1327	1281	867	908	1372	1143	1059	506	453	834	1319	140	1145	90	52					
9	Число недействительных избирательных бюллетеней	606	25	31	16	33	9	22	18	10	17	36	27	24	15	16	23	16	25	22	31	22	13	25	16	20	22	11	3	15	20	6	17	0	0					
10	Число действительных избирательных бюллетеней	34818	1267	1427	861	1628	808	933	1526	941	960	1215	1433	1033	1102	1341	1378	1246	1407	1385	1408	1274	883	961	1385	1192	1139	533	471	831	1313	174	1153	158	52					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	645	30	35	15	30	15	15	30	15	15	20	20	15	15	15	45	20	20	20	20	30	20	15	20	20	15	10	55	20	20	0	10	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	471	25	33	7	29	11	14	26	9	8	12	17	9	12	14	20	16	18	20	19	18	14	11	20	14	7	10	12	17	20	0	9	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	634	14	7	79	13	8	99	19	84	3	5	16	7	6	11	78	21	11	4	8	7	12	10	10	16	25	17	2	14	3	0	7	0	18					
14	Число погашенных неиспользованных открепительных удостоверений	174	5	2	8	1	4	1	4	6	7	8	3	6	3	1	25	4	2	0	1	12	6	4	0	6	8	0	43	3	0	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	1	1	1	3	0	3	1	2	1	0	2	1	1	1	1	0	2	1	3	2	1	1	2	1	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	1.Политическая партия «Аграрная партия России»	585	19	25	11	25	7	8	31	18	19	11	7	19	15	32	25	28	35	21	20	13	26	25	29	9	14	9	7	9	35	0	28	3	2					
		1.65%	1.47%	1.71%	1.25%	1.51%	0.86%	0.84%	2.01%	1.89%	1.94%	0.88%	0.48%	1.80%	1.34%	2.36%	1.78%	2.22%	2.44%	1.49%	1.39%	1.00%	2.90%	2.54%	2.07%	0.74%	1.21%	1.65%	1.48%	1.06%	2.63%	0.00%	2.39%	1.90%	3.85%					
19	2.Всероссийская политическая партия «Гражданская Сила»	308	9	14	5	13	6	8	12	10	13	9	7	7	9	14	13	13	13	6	11	14	6	10	14	13	13	6	4	7	22	2	4	1	0					
		0.87%	0.70%	0.96%	0.57%	0.78%	0.73%	0.84%	0.78%	1.05%	1.33%	0.72%	0.48%	0.66%	0.81%	1.03%	0.93%	1.03%	0.91%	0.43%	0.76%	1.08%	0.67%	1.01%	0.99%	1.07%	1.12%	1.10%	0.84%	0.83%	1.65%	1.11%	0.34%	0.63%	0.00%					
