Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Минусинская городская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК  569					
1	"Число избирателей, внесенных в список"	61930	2579	1685	2872	2560	1876	751	2834	1626	2224	2854	2493	2873	2740	2886	2036	2837	2901	2720	2912	2785	2538	2771	2601	2145	167	2064	600					
2	Число полученных избирательных бюллетеней	59300	2400	1600	2800	2400	1800	800	2700	1500	2200	2800	2300	2800	2600	2800	1900	2800	2800	2700	2800	2700	2400	2700	2500	2000	200	1700	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30480	1158	709	1422	1065	835	751	1124	699	1000	1544	1249	1055	1223	1278	723	1500	1565	1477	1612	1512	1339	1460	1520	1133	2	1176	349					
5	"Число избирательных бюллетеней, выданных вне помещения"	1433	68	48	60	31	45	0	50	41	34	38	23	55	25	44	253	57	44	69	37	43	18	22	21	105	140	54	8					
6	Число погашенных избирательных бюллетеней	27387	1174	843	1318	1304	920	49	1526	760	1166	1218	1028	1690	1352	1478	924	1243	1191	1154	1151	1145	1043	1218	959	762	58	470	243					
7	Число избирательных бюллетеней в переносных ящиках	1432	68	48	60	31	45	0	50	41	34	38	23	55	25	43	253	57	44	69	37	43	18	22	21	105	140	54	8					
8	Число бюллетеней в стационарных ящиках для голосования	30464	1157	709	1422	1065	835	751	1124	699	1000	1544	1249	1055	1223	1277	721	1500	1565	1465	1612	1512	1339	1460	1520	1133	2	1176	349					
9	Число недействительных избирательных бюллетеней	311	19	8	8	6	4	47	11	44	5	8	16	6	7	3	38	8	14	6	8	8	4	6	6	15	0	6	0					
10	Число действительных избирательных бюллетеней	31585	1206	749	1474	1090	876	704	1163	696	1029	1574	1256	1104	1241	1317	936	1549	1595	1528	1641	1547	1353	1476	1535	1223	142	1224	357					
11	Число полученных открепительных  удостоверений	1090	45	40	45	45	40	0	45	40	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	40	0	40	35					
12	Число выданных открепительных удостоверений	197	6	5	10	9	8	0	8	2	6	13	2	5	9	16	1	6	14	15	9	4	14	12	10	6	0	6	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	129	1	0	4	6	12	0	8	1	3	4	4	2	15	7	3	1	13	5	4	2	5	9	5	8	4	3	0					
14	Число неиспользованных открепительных удостоверений	893	39	35	35	36	32	0	37	38	39	32	43	40	36	29	44	39	31	30	36	41	31	33	35	34	0	34	34					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
