Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Баймакская																																																																																				
																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																				
																																																																																				
		Сумма	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496					
1	"Число избирателей, внесенных в списки"	39812	1941	1046	1468	1743	1068	961	2211	741	473	135	1153	205	367	117	446	748	330	110	199	515	568	133	639	231	139	623	376	263	514	669	681	327	595	266	110	289	256	243	327	2029	275	312	400	239	240	600	332	391	935	532	338	203	137	822	103	519	248	129	1511	225	263	260	154	268	1833	143	188	263	197	153	366	366	101	357	612	224	318					
2	"Число бюллетеней, полученных участковыми комиссиями"	38695	1804	981	1388	1580	1001	888	2054	678	470	135	1125	201	374	123	439	739	339	112	204	507	574	134	637	231	150	627	375	268	533	655	648	327	625	261	111	281	256	240	319	1973	265	307	401	234	238	581	322	388	924	532	342	212	135	797	106	503	238	129	1463	238	261	250	158	265	1763	147	191	245	198	152	363	358	101	361	621	224	315					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	33403	1359	792	1224	1310	767	694	1570	482	382	131	921	190	359	107	371	649	293	102	193	507	540	129	594	231	136	536	359	241	432	599	617	315	576	244	109	281	256	238	316	1713	265	285	371	224	222	555	310	379	793	463	306	185	128	681	103	451	200	115	1192	187	225	245	154	230	1338	135	171	223	164	142	342	337	96	337	569	200	215					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1541	60	30	79	143	40	45	137	32	27	4	39	0	8	8	15	39	16	8	0	0	28	4	34	0	3	18	16	7	38	29	30	10	19	10	1	0	0	0	3	30	0	12	15	5	14	19	11	0	19	69	17	0	0	16	0	0	12	1	36	8	32	5	0	11	40	0	7	9	17	2	6	21	5	20	17	13	72					
6	Число погашенных бюллетеней	3746	380	159	85	127	194	149	347	164	61	0	165	11	7	8	53	51	30	2	11	0	6	1	9	0	11	73	0	20	63	27	1	2	30	7	1	0	0	2	0	230	0	10	15	5	2	7	1	9	112	0	19	27	7	100	3	52	26	13	235	43	4	0	4	24	385	12	13	13	17	8	15	0	0	4	35	11	28					
7	Число бюллетеней в переносных ящиках для голосования	1541	60	30	79	143	40	45	137	32	27	4	39	0	8	8	15	39	16	8	0	0	28	4	34	0	3	18	16	7	38	29	30	10	19	10	1	0	0	0	3	30	0	12	15	5	14	19	11	0	19	69	17	0	0	16	0	0	12	1	36	8	32	5	0	11	40	0	7	9	17	2	6	21	5	20	17	13	72					
8	Число бюллетеней в стационарных ящиках для голосования	33391	1359	792	1224	1310	767	687	1570	482	382	131	921	190	359	107	371	649	293	102	193	507	540	129	594	231	136	536	359	241	432	598	617	315	576	244	109	281	256	238	316	1713	265	285	371	224	222	555	310	379	793	463	306	185	128	681	103	450	200	115	1192	187	225	245	154	230	1338	135	171	223	164	139	342	337	96	337	569	200	215					
9	Число недействительных бюллетеней	463	24	13	0	11	6	13	14	17	12	0	4	2	1	0	7	2	6	1	0	1	2	0	0	7	1	9	3	4	20	15	8	2	4	4	0	0	6	9	0	23	1	1	2	1	0	9	3	0	10	0	2	6	1	3	4	2	9	6	11	8	0	16	7	8	31	3	12	6	4	4	7	9	4	17	0	1	4					
10	Число действительных бюллетеней	34469	1395	809	1303	1442	801	719	1693	497	397	135	956	188	366	115	379	686	303	109	193	506	566	133	628	224	138	545	372	244	450	612	639	323	591	250	110	281	250	229	319	1720	264	296	384	228	236	565	318	379	802	532	321	179	127	694	99	448	203	110	1217	187	257	234	147	233	1347	132	166	226	177	137	341	349	97	340	586	212	283					
