Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
"Наименование Избирательной комиссии:    Волгоград, Краснооктябрьская"																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	119098	2763	2855	2926	2734	2865	2650	2996	2695	2909	2926	2909	2973	2767	2737	2733	2748	2634	2000	2254	2262	2709	2928	2801	2863	2909	2323	2114	2819	2799	2590	2603	2164	2624	2651	2392	2641	2357	2678	2306	2166	2135	2204	2469	2282	2090	2145									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	117100	2750	2850	2900	2700	2850	2650	2700	2700	2900	2500	2850	2950	2750	2750	2750	2750	2650	2000	2250	2250	2700	2900	2750	2850	2600	2250	2100	2800	2750	2500	2600	2150	2650	2650	2400	2600	2350	2650	2300	2150	2050	2200	2350	2100	2100	2150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43884	1024	994	1037	1028	1077	899	918	1217	1102	960	991	932	985	901	1246	1340	965	715	873	859	1005	1014	1028	1014	800	552	700	1242	1218	1144	965	844	1047	1058	811	1007	988	926	839	878	752	779	854	843	749	764									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2118	51	9	18	38	37	28	272	14	52	93	31	26	17	31	47	15	21	29	18	15	19	41	50	19	263	21	87	14	22	27	60	10	24	43	15	10	90	127	29	13	151	21	9	52	8	31									
6	Число погашенных избирательных бюллетеней	71097	1675	1847	1845	1634	1736	1723	1510	1469	1746	1447	1828	1992	1748	1818	1457	1395	1664	1256	1359	1376	1676	1845	1672	1816	1537	1677	1313	1544	1510	1329	1575	1296	1579	1549	1574	1583	1272	1597	1432	1259	1147	1400	1487	1205	1343	1355									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2094	51	9	18	38	37	28	272	14	52	93	31	26	17	31	47	15	21	29	18	15	19	41	50	19	263	21	87	14	22	27	60	10	24	43	15	10	90	127	29	13	127	21	9	52	8	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	43853	1024	994	1037	1028	1077	899	918	1217	1102	960	991	932	985	901	1246	1340	965	686	873	859	1005	1014	1028	1012	800	552	700	1242	1218	1144	965	844	1047	1058	811	1007	988	926	839	878	752	779	854	843	749	764									
9	Число недействительных избирательных бюллетеней	841	28	20	26	11	21	8	37	39	15	22	22	29	22	16	15	5	10	0	17	16	22	31	22	22	26	7	12	24	21	24	6	31	23	17	8	18	6	19	22	18	15	19	7	9	11	22									
10	Число действительных избирательных бюллетеней	45106	1047	983	1029	1055	1093	919	1153	1192	1139	1031	1000	929	980	916	1278	1350	976	715	874	858	1002	1024	1056	1009	1037	566	775	1232	1219	1147	1019	823	1048	1084	818	999	1072	1034	846	873	864	781	856	886	746	773									
