Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Верхнеуральская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28935	1730	1600	520	1783	1793	2019	1986	2014	339	83	95	1089	304	384	238	183	700	143	622	261	1075	277	88	210	209	1337	173	208	107	117	107	270	472	114	174	1288	173	225	757	145	94	88	225	86	433	123	58	1034	171	331	151	311	249	169									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27940	1600	1500	450	1700	1600	1900	1900	1900	350	90	100	1100	250	380	250	180	700	140	600	300	1000	250	90	200	210	1300	180	220	110	130	110	260	490	120	180	1200	170	220	800	160	100	80	230	100	430	130	70	1050	160	340	150	300	250	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13308	705	596	234	681	737	973	873	906	135	51	61	395	156	179	116	99	301	97	303	142	559	143	44	129	132	540	97	112	98	68	74	176	204	72	113	507	74	86	404	93	55	52	110	69	269	89	48	437	93	154	77	152	144	94									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1668	51	53	29	39	294	50	29	74	12	7	12	36	10	28	29	3	76	10	88	15	100	19	4	10	13	73	5	12	0	5	0	0	65	2	2	76	15	20	57	21	19	15	19	7	28	0	2	49	6	17	6	41	13	2									
6	Число погашенных избирательных бюллетеней	12964	844	851	187	980	569	877	998	920	203	32	27	669	84	173	105	78	323	33	209	143	341	88	42	61	65	687	78	96	12	57	36	84	221	46	65	617	81	114	339	46	26	13	101	24	133	41	20	564	61	169	67	107	93	64									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1668	51	53	29	39	294	50	29	74	12	7	12	36	10	28	29	3	76	10	88	15	100	19	4	10	13	73	5	12	0	5	0	0	65	2	2	76	15	20	57	21	19	15	19	7	28	0	2	49	6	17	6	41	13	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13306	703	596	234	681	737	973	873	906	135	51	61	395	156	179	116	99	301	97	303	142	559	143	44	129	132	540	97	112	98	68	74	176	204	72	113	507	74	86	404	93	55	52	110	69	269	89	48	437	93	154	77	152	144	94									
9	Число недействительных избирательных бюллетеней	367	23	17	9	8	31	33	27	35	2	0	1	10	7	5	0	9	4	5	2	1	4	3	0	3	5	15	1	6	0	2	1	1	5	1	0	10	4	6	9	2	1	3	5	6	6	2	0	11	6	7	1	6	5	1									
10	Число действительных избирательных бюллетеней	14607	731	632	254	712	1000	990	875	945	145	58	72	421	159	202	145	93	373	102	389	156	655	159	48	136	140	598	101	118	98	71	73	175	264	73	115	573	85	100	452	112	73	64	124	70	291	87	50	475	93	164	82	187	152	95									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	836	29	20	20	20	30	20	40	20	30	4	4	13	7	4	15	4	35	5	25	45	20	25	7	6	4	30	12	25	10	14	14	4	23	14	14	15	8	4	65	15	20	2	12	12	13	6	11	18	1	9	3	5	2	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	725	19	15	10	20	29	20	40	20	23	2	4	9	7	2	15	0	35	5	25	45	20	6	7	6	4	26	12	16	10	14	14	4	23	14	14	15	4	3	55	15	20	0	9	12	7	6	11	10	1	9	3	5	2	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	284	8	13	3	12	18	16	6	8	0	2	2	23	42	4	3	1	5	2	9	7	11	2	1	3	2	6	1	1	1	1	8	3	4	2	1	3	1	2	4	1	5	3	2	1	7	2	0	5	5	1	2	2	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	111	10	5	10	0	1	0	0	0	7	2	0	4	0	2	0	4	0	0	0	0	0	19	0	0	0	4	0	9	0	0	0	0	0	0	0	0	4	1	10	0	0	2	3	0	6	0	0	8	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	106	10	23	5	20	13	1	1	2	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	3	1	0	0	1	0	1	0	1	0	1	0	11	1	1	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	194	8	7	3	15	16	27	13	14	1	0	0	3	3	1	1	1	2	1	1	1	6	0	0	0	4	7	0	3	1	0	0	0	1	1	0	8	2	3	16	0	1	0	1	3	5	0	0	11	0	0	0	0	1	2									
		1.30%	1.06%	1.08%	1.14%	2.08%	1.55%	2.64%	1.44%	1.43%	0.68%	0.00%	0.00%	0.70%	1.81%	0.48%	0.69%	0.98%	0.53%	0.93%	0.26%	0.64%	0.91%	0.00%	0.00%	0.00%	2.76%	1.14%	0.00%	2.42%	1.02%	0.00%	0.00%	0.00%	0.37%	1.35%	0.00%	1.37%	2.25%	2.83%	3.47%	0.00%	1.35%	0.00%	0.78%	3.95%	1.68%	0.00%	0.00%	2.26%	0.00%	0.00%	0.00%	0.00%	0.64%	2.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	412	15	18	6	13	23	32	34	37	2	3	2	13	3	6	13	7	4	6	6	6	15	1	1	5	8	20	5	5	3	0	0	1	8	1	1	23	6	3	9	4	0	2	2	3	9	7	0	6	2	2	1	6	4	0									
		2.75%	1.99%	2.77%	2.28%	1.81%	2.23%	3.13%	3.77%	3.78%	1.36%	5.17%	2.74%	3.02%	1.81%	2.90%	8.97%	6.86%	1.06%	5.61%	1.53%	3.82%	2.28%	0.62%	2.08%	3.60%	5.52%	3.26%	4.90%	4.03%	3.06%	0.00%	0.00%	0.57%	2.97%	1.35%	0.87%	3.95%	6.74%	2.83%	1.95%	3.51%	0.00%	2.99%	1.55%	3.95%	3.03%	7.87%	0.00%	1.23%	2.02%	1.17%	1.20%	3.11%	2.55%	0.00%									
