Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Нукутская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11763	353	172	85	179	231	354	355	135	684	250	79	697	128	120	601	86	49	714	339	576	229	511	35	282	131	478	158	152	957	1065	582	652	344									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11654	343	181	86	190	235	352	344	136	690	246	82	699	124	113	589	88	47	715	339	606	223	523	31	275	127	482	157	150	907	1038	559	638	339									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5646	138	95	49	97	158	174	169	105	283	119	60	400	89	80	306	47	41	504	227	283	145	289	21	121	41	278	93	94	280	321	218	205	116									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	546	13	11	5	15	9	40	14	9	70	19	6	29	1	3	31	3	0	20	10	35	13	13	3	15	22	34	9	17	31	11	20	12	3									
6	Число погашенных избирательных бюллетеней	5462	192	75	32	78	68	138	161	22	337	108	16	270	34	30	252	38	6	191	102	288	65	221	7	139	64	170	55	39	596	706	321	421	220									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	546	13	11	5	15	9	40	14	9	70	19	6	29	1	3	31	3	0	20	10	35	13	13	3	15	22	34	9	17	31	11	20	12	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5646	138	95	49	97	158	174	169	105	283	119	60	400	89	80	306	47	41	504	227	283	145	289	21	121	41	278	93	94	280	321	218	205	116									
9	Число недействительных избирательных бюллетеней	75	3	2	0	0	1	1	0	1	3	0	0	3	3	4	3	0	0	8	4	0	1	2	0	3	0	4	3	1	5	6	6	6	2									
10	Число действительных избирательных бюллетеней	6117	148	104	54	112	166	213	183	113	350	138	66	426	87	79	334	50	41	516	233	318	157	300	24	133	63	308	99	110	306	326	232	211	117									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	561	13	20	4	20	12	15	15	4	35	10	7	30	4	4	25	7	3	43	17	55	8	40	5	8	4	25	6	9	28	29	20	20	16									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	486	6	20	4	20	12	15	11	4	35	8	6	30	4	4	19	7	0	42	17	51	4	40	4	6	4	25	6	9	17	21	5	17	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	0	2	2	1	1	2	2	0	1	1	0	5	1	3	2	1	2	5	1	1	0	4	6	2	1	2	4	2	11	5	2	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	75	7	0	0	0	0	0	4	0	0	2	1	0	0	0	6	0	3	1	0	4	4	0	1	2	0	0	0	0	11	8	15	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	1	3	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	41	3	4	1	0	1	3	2	0	1	1	0	2	0	0	2	1	0	3	6	4	0	0	0	0	0	0	0	1	3	3	0	0	0									
		0.66%	1.99%	3.77%	1.85%	0.00%	0.60%	1.40%	1.09%	0.00%	0.28%	0.72%	0.00%	0.47%	0.00%	0.00%	0.59%	2.00%	0.00%	0.57%	2.53%	1.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.96%	0.90%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	177	5	2	4	1	4	6	7	0	13	3	3	10	0	3	6	0	0	11	11	6	6	12	0	4	0	3	3	1	15	9	12	12	5									
		2.86%	3.31%	1.89%	7.41%	0.89%	2.40%	2.80%	3.83%	0.00%	3.68%	2.17%	4.55%	2.33%	0.00%	3.61%	1.78%	0.00%	0.00%	2.10%	4.64%	1.89%	3.80%	3.97%	0.00%	2.94%	0.00%	0.96%	2.94%	0.90%	4.82%	2.71%	5.04%	5.53%	4.20%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	113	4	2	0	1	0	3	1	1	14	0	3	7	1	1	8	1	1	2	3	7	0	10	0	0	3	9	1	0	9	5	4	5	7									
		1.82%	2.65%	1.89%	0.00%	0.89%	0.00%	1.40%	0.55%	0.88%	3.97%	0.00%	4.55%	1.63%	1.11%	1.20%	2.37%	2.00%	2.44%	0.38%	1.27%	2.20%	0.00%	3.31%	0.00%	0.00%	4.76%	2.88%	0.98%	0.00%	2.89%	1.51%	1.68%	2.30%	5.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3966	78	67	35	83	143	146	125	91	221	100	32	314	73	58	229	39	30	400	146	236	120	162	19	91	40	229	73	78	128	134	110	92	44									
		64.05%	51.66%	63.21%	64.81%	74.11%	85.63%	68.22%	68.31%	79.82%	62.61%	72.46%	48.48%	73.19%	81.11%	69.88%	67.95%	78.00%	73.17%	76.34%	61.60%	74.21%	75.95%	53.64%	79.17%	66.91%	63.49%	73.40%	71.57%	70.27%	41.16%	40.36%	46.22%	42.40%	36.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	31	1	1	1	1	1	1	0	2	0	0	1	7	0	0	1	0	0	2	1	0	0	1	0	0	0	0	1	0	5	1	2	1	0									
		0.50%	0.66%	0.94%	1.85%	0.89%	0.60%	0.47%	0.00%	1.75%	0.00%	0.00%	1.52%	1.63%	0.00%	0.00%	0.30%	0.00%	0.00%	0.38%	0.42%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	1.61%	0.30%	0.84%	0.46%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	1	0	1	0									
		0.19%	0.00%	0.00%	0.00%	0.89%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	2.44%	0.00%	0.84%	0.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.46%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	561	23	4	4	3	3	5	6	4	35	10	15	29	9	7	50	4	3	17	39	18	8	25	1	18	16	25	10	12	36	41	37	22	22									
		9.06%	15.23%	3.77%	7.41%	2.68%	1.80%	2.34%	3.28%	3.51%	9.92%	7.25%	22.73%	6.76%	10.00%	8.43%	14.84%	8.00%	7.32%	3.24%	16.46%	5.66%	5.06%	8.28%	4.17%	13.24%	25.40%	8.01%	9.80%	10.81%	11.58%	12.35%	15.55%	10.14%	18.49%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0									
		0.23%	0.66%	0.00%	1.85%	0.89%	0.00%	0.47%	0.55%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	1.20%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	5	3	1	2	0									
		0.32%	0.66%	0.00%	0.00%	0.00%	0.60%	0.00%	0.55%	0.00%	0.28%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.31%	0.63%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	1.61%	0.90%	0.42%	0.92%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0									
		0.15%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	0.00%	0.00%	0.00%	0.00%	0.19%	0.84%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	0.00%	0.00%	0.46%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	38	1	0	0	2	0	4	3	2	0	0	0	3	0	1	0	0	0	3	1	1	1	1	0	0	0	0	0	0	7	5	3	0	0									
		0.61%	0.66%	0.00%	0.00%	1.79%	0.00%	1.87%	1.64%	1.75%	0.00%	0.00%	0.00%	0.70%	0.00%	1.20%	0.00%	0.00%	0.00%	0.57%	0.42%	0.31%	0.63%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.25%	1.51%	1.26%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	952	27	19	8	15	11	38	27	11	47	18	5	45	2	9	31	4	5	64	21	34	17	68	4	14	4	34	9	17	83	106	56	63	36									
		15.37%	17.88%	17.92%	14.81%	13.39%	6.59%	17.76%	14.75%	9.65%	13.31%	13.04%	7.58%	10.49%	2.22%	10.84%	9.20%	8.00%	12.20%	12.21%	8.86%	10.69%	10.76%	22.52%	16.67%	10.29%	6.35%	10.90%	8.82%	15.32%	26.69%	31.93%	23.53%	29.03%	30.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	38	1	0	0	1	0	2	1	0	4	0	1	0	0	0	2	0	1	1	0	7	1	2	0	2	0	0	0	0	3	3	3	3	0									
		0.61%	0.66%	0.00%	0.00%	0.89%	0.00%	0.93%	0.55%	0.00%	1.13%	0.00%	1.52%	0.00%	0.00%	0.00%	0.59%	0.00%	2.44%	0.19%	0.00%	2.20%	0.63%	0.66%	0.00%	1.47%	0.00%	0.00%	0.00%	0.00%	0.96%	0.90%	1.26%	1.38%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	145	3	4	0	3	2	4	6	2	14	6	6	6	1	0	5	1	0	9	0	1	3	18	0	4	0	7	2	0	11	11	4	9	3									
		2.34%	1.99%	3.77%	0.00%	2.68%	1.20%	1.87%	3.28%	1.75%	3.97%	4.35%	9.09%	1.40%	1.11%	0.00%	1.48%	2.00%	0.00%	1.72%	0.00%	0.31%	1.90%	5.96%	0.00%	2.94%	0.00%	2.24%	1.96%	0.00%	3.54%	3.31%	1.68%	4.15%	2.52%									
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
