Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Благоварская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19539	1266	788	1505	199	136	365	127	227	446	480	959	181	430	156	991	811	149	705	286	315	726	148	170	310	153	552	195	1431	1099	1277	1861	371	289	435									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19913	1250	900	1520	203	137	375	128	232	460	485	985	182	440	157	1000	900	150	725	295	325	740	157	173	312	156	555	203	1390	1100	1300	1858	378	290	452									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16454	940	745	1423	149	120	305	101	201	433	216	807	156	375	129	761	735	131	565	245	246	405	98	143	293	131	470	176	1270	1029	1014	1673	348	244	377									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1303	301	29	32	20	13	37	14	16	4	36	114	20	46	24	43	22	6	11	35	58	85	44	19	9	17	32	13	51	28	30	0	11	33	50									
6	Число погашенных избирательных бюллетеней	2156	9	126	65	34	4	33	13	15	23	233	64	6	19	4	196	143	13	149	15	21	250	15	11	10	8	53	14	69	43	256	185	19	13	25									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1303	301	29	32	20	13	37	14	16	4	36	114	20	46	24	43	22	6	11	35	58	85	44	19	9	17	32	13	51	28	30	0	11	33	50									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16454	940	745	1423	149	120	305	101	201	433	216	807	156	375	129	761	735	131	565	245	246	405	98	143	293	131	470	176	1270	1029	1014	1673	348	244	377									
9	Число недействительных избирательных бюллетеней	86	0	12	7	0	0	0	0	0	0	8	0	0	0	0	0	14	1	0	4	0	5	0	2	0	0	0	0	29	0	2	0	0	2	0									
10	Число действительных избирательных бюллетеней	17671	1241	762	1448	169	133	342	115	217	437	244	921	176	421	153	804	743	136	576	276	304	485	142	160	302	148	502	189	1292	1057	1042	1673	359	275	427									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	187	8	8	10	2	2	2	2	2	4	6	9	1	4	2	8	8	2	8	4	3	6	2	2	2	2	6	2	14	13	14	14	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	178	8	8	10	2	0	2	2	2	4	6	9	1	4	2	8	8	2	8	4	3	6	2	2	2	2	6	2	14	13	14	14	2	1	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	51	3	2	1	0	0	2	1	1	2	6	1	2	0	2	0	4	2	5	1	2	3	0	2	2	0	0	2	4	0	1	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	0	2	0	1	4	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
