Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Лоухская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12995	2407	1565	1772	2694	629	490	1228	391	503	305	305	248	102	356									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11820	2170	1440	1630	2450	570	440	1110	360	460	280	280	220	90	320									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	29	0	0	0	0	0	0	11	2	0	0	5	11	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4671	949	580	714	930	150	220	367	154	153	116	102	50	28	158									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	200	28	9	5	35	20	18	16	10	7	11	23	0	4	14									
6	Число погашенных избирательных бюллетеней	6920	1193	851	911	1485	400	202	716	194	300	153	150	159	58	148									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	229	28	9	5	35	20	18	27	12	7	11	28	11	4	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4671	949	580	714	930	150	220	367	154	153	116	102	50	28	158									
9	Число недействительных избирательных бюллетеней	174	37	17	28	30	4	5	16	13	7	4	2	4	1	6									
10	Число действительных избирательных бюллетеней	4726	940	572	691	935	166	233	378	153	153	123	128	57	31	166									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	350	50	40	40	50	20	20	30	10	20	10	20	10	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	32	11	4	5	1	0	0	3	1	0	0	5	1	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	46	11	4	8	5	1	3	7	1	2	0	0	3	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	318	39	36	35	49	20	20	27	9	20	10	15	9	10	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	3	3	4	6	2	0	1	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
