Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Белорецкая городская																																																																																									
																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																									
																																																																																									
		Сумма	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647					
1	"Число избирателей, внесенных в списки"	81234	2024	1853	2026	1637	1759	2035	1286	1804	1259	1660	1712	1532	1681	1794	1756	1704	1751	1522	1933	1643	2066	1877	1727	1284	948	1558	2150	2034	1146	1570	1162	1820	1823	903	978	1235	663	497	642	383	194	225	732	798	107	908	947	849	801	1149	1009	319	227	321	252	569	448	327	115	135	767	560	320	299	210	511	405	966	301	253	229	1225	210	668	103	229	1068	329	361	510	270	171					
2	"Число бюллетеней, полученных участковыми комиссиями"	77660	1700	1700	1900	1500	1600	1800	1700	1700	1600	1500	1600	1500	1600	1700	1600	1600	1600	1500	1800	1500	1800	1800	1600	1500	1400	1500	1600	1800	1000	1400	1100	1700	1700	899	952	1166	658	508	586	370	179	228	711	786	107	858	922	816	771	1081	958	312	229	306	236	533	407	318	115	133	764	548	300	295	216	497	392	957	292	252	248	1197	192	662	104	240	1042	353	427	491	261	185					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	54576	1161	1159	1463	1111	1263	1378	1259	1237	1207	1104	1243	1062	1178	1236	1244	1248	1271	1027	1211	996	1187	1342	1180	1041	893	1000	1359	1041	704	905	716	1063	1069	464	586	873	474	362	358	299	117	192	373	381	48	550	556	515	480	727	763	168	175	272	197	366	382	254	113	122	445	457	266	142	180	239	326	492	224	99	172	884	176	451	84	193	583	313	356	367	231	171					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3288	39	63	19	41	45	16	27	26	52	44	45	22	66	49	15	27	39	29	78	42	22	33	45	243	55	34	57	80	28	21	22	53	82	65	37	32	24	59	67	21	49	0	23	18	28	45	63	25	23	44	4	49	11	9	9	21	8	9	2	0	96	14	0	122	10	92	16	129	28	124	57	51	1	40	3	9	144	16	5	18	9	0					
6	Число погашенных бюллетеней	19796	500	478	418	348	292	406	414	437	341	352	312	416	356	415	341	325	290	444	511	462	591	425	375	216	452	466	184	679	268	474	362	584	549	370	329	261	160	87	161	50	13	36	315	387	31	263	303	276	268	310	191	95	43	25	30	146	17	55	0	11	223	77	34	31	26	166	50	336	40	29	19	262	15	171	17	38	315	24	66	106	21	14					
7	Число бюллетеней в переносных ящиках для голосования	3288	39	63	19	41	45	16	27	26	52	44	45	22	66	49	15	27	39	29	78	42	22	33	45	243	55	34	57	80	28	21	22	53	82	65	37	32	24	59	67	21	49	0	23	18	28	45	63	25	23	44	4	49	11	9	9	21	8	9	2	0	96	14	0	122	10	92	16	129	28	124	57	51	1	40	3	9	144	16	5	18	9	0					
8	Число бюллетеней в стационарных ящиках для голосования	54546	1161	1159	1463	1111	1263	1378	1259	1237	1207	1104	1243	1062	1177	1236	1244	1221	1271	1027	1211	996	1187	1342	1180	1041	893	1000	1359	1040	704	905	716	1063	1069	464	586	873	474	361	358	299	117	192	373	381	48	550	556	515	480	727	763	168	175	272	197	366	382	254	113	122	445	457	266	142	180	239	326	492	224	99	172	884	176	451	84	193	583	313	356	367	231	171					
9	Число недействительных бюллетеней	1677	41	23	26	29	20	11	6	23	21	18	30	59	4	27	13	33	30	17	25	42	115	18	17	41	35	28	36	35	14	18	19	33	28	15	23	32	8	4	14	0	7	12	24	33	8	14	19	18	20	39	53	8	6	10	9	16	14	13	0	0	35	43	1	11	3	6	6	18	10	3	9	41	15	25	7	9	26	11	10	20	2	12					
10	Число действительных бюллетеней	56157	1159	1199	1456	1123	1288	1383	1280	1240	1238	1130	1258	1025	1239	1258	1246	1215	1280	1039	1264	996	1094	1357	1208	1243	913	1006	1380	1085	718	908	719	1083	1123	514	600	873	490	416	411	320	159	180	372	366	68	581	600	522	483	732	714	209	180	271	197	371	376	250	115	122	506	428	265	253	187	325	336	603	242	220	220	894	162	466	80	193	701	318	351	365	238	159					
