Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Иглинская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091					
1	"Число избирателей, внесенных в списки избирателей"	24605	1044	618	1003	1060	1021	933	1081	1078	912	681	797	915	393	363	616	451	259	169	457	131	866	390	560	158	599	158	481	143	139	436	98	392	132	134	482	141	113	250	100	248	80	650	83	839	227	313	126	232	306	244	205	884	286	128					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24300	1034	601	985	1054	1008	915	1051	1053	861	654	788	878	385	363	614	446	255	173	468	133	852	388	540	169	599	156	479	142	140	438	97	392	134	134	482	140	115	250	105	248	80	650	83	840	226	313	126	229	306	239	204	873	286	126					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21836	999	591	973	1028	996	910	1045	1035	666	555	740	798	366	340	592	434	245	158	292	115	589	273	454	137	486	82	385	128	122	401	37	383	97	132	430	135	113	244	81	201	77	578	77	765	95	225	89	218	297	236	163	840	267	121					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2277	16	9	12	10	6	5	6	18	195	99	26	73	7	6	15	12	10	11	161	15	251	115	86	21	113	73	90	12	15	35	60	9	35	1	52	5	0	0	18	47	3	72	6	70	131	88	37	11	9	3	41	33	18	5					
6	Число погашенных избирательных бюллетеней	187	19	1	0	16	6	0	0	0	0	0	22	7	12	17	7	0	0	4	15	3	12	0	0	11	0	1	4	2	3	2	0	0	2	1	0	0	2	6	6	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2277	16	9	12	10	6	5	6	18	195	99	26	73	7	6	15	12	10	11	161	15	251	115	86	21	113	73	90	12	15	35	60	9	35	1	52	5	0	0	18	47	3	72	6	70	131	88	37	11	9	3	41	33	18	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21836	999	591	973	1028	996	910	1045	1035	666	555	740	798	366	340	592	434	245	158	292	115	589	273	454	137	486	82	385	128	122	401	37	383	97	132	430	135	113	244	81	201	77	578	77	765	95	225	89	218	297	236	163	840	267	121					
9	Число недействительных избирательных бюллетеней	47	8	0	0	2	1	0	0	0	0	0	2	1	0	0	1	1	0	0	0	0	1	2	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	5	0	0	0	0	1	0	0	14	0	0					
10	Число действительных избирательных бюллетеней	24066	1007	600	985	1036	1001	915	1051	1053	861	654	764	870	373	346	606	445	255	169	453	130	839	386	539	158	599	155	471	140	137	436	97	392	132	133	481	140	113	244	99	248	80	648	83	830	226	313	126	229	305	239	204	859	285	126					
