Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																								
																																																																								
"Наименование Избирательной комиссии:    Улан-Удэ, Октябрьская"																																																																								
																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																								
																																																																								
		Сумма	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732					
1	"Число избирателей, внесенных в списки"	126952	2211	2508	2373	1810	2180	1122	1451	1349	1995	2023	1735	1628	2899	1293	2949	2255	2910	1275	27	64	138	1950	2643	1721	2033	2351	2032	2714	3046	2054	392	1800	1719	1539	2778	2093	2788	2824	2858	26	3051	2081	1912	2446	1855	2637	1979	1853	2719	1959	1224	2033	2511	1585	2047	1251	1913	1506	2253	2114	1310	3139	2579	1643	1796					
2	"Число бюллетеней, полученных участковыми комиссиями"	119709	2098	2311	2256	1708	2052	1065	1373	1274	1885	2011	1655	1531	2703	1200	2775	2143	2765	1207	29	66	127	1848	2519	1640	1921	2209	1930	2537	2838	1895	381	1710	1645	1435	2640	1974	2656	2750	2712	39	2877	1949	1824	2315	1762	2508	1880	1759	2587	1836	1153	1932	2398	1494	1927	1183	1797	1430	2136	1857	1237	2718	2423	1552	1662					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	53061	811	845	1065	812	998	267	419	515	878	853	778	711	823	612	1289	1018	1340	315	26	39	0	813	1217	652	863	842	935	803	1223	984	185	758	666	576	1254	715	1310	1374	1294	12	1242	943	926	1034	794	989	628	814	1021	714	450	878	1081	563	523	621	788	379	1095	612	511	2070	1246	991	1258					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1763	47	17	25	4	5	7	8	29	33	41	26	12	27	20	44	45	25	15	0	15	113	35	37	15	20	8	12	24	63	18	69	8	12	17	21	15	21	17	13	14	30	34	21	8	12	36	40	34	33	49	51	8	18	8	20	18	19	10	12	24	9	253	11	3	5					
6	Число погашенных бюллетеней	64885	1240	1449	1166	892	1049	791	946	730	974	1117	851	808	1853	568	1442	1080	1400	877	3	12	14	1000	1265	973	1038	1359	983	1710	1552	893	127	944	967	842	1365	1244	1325	1359	1405	13	1605	972	877	1273	956	1483	1212	911	1533	1073	652	1046	1299	923	1384	544	990	1041	1029	1221	717	395	1166	558	399					
7	Число бюллетеней в переносных ящиках для голосования	1763	47	17	25	4	5	7	8	29	33	41	26	12	27	20	44	45	25	15	0	15	113	35	37	15	20	8	12	24	63	18	69	8	12	17	21	15	21	17	13	14	30	34	21	8	12	36	40	34	33	49	51	8	18	8	20	18	19	10	12	24	9	253	11	3	5					
8	Число бюллетеней в стационарных ящиках для голосования	52948	811	845	1065	812	998	267	417	514	845	853	778	711	823	612	1289	1007	1339	315	26	39	0	813	1217	626	863	842	935	803	1223	984	185	758	666	576	1254	715	1310	1373	1294	12	1242	943	926	1034	794	988	628	813	1019	714	450	878	1078	560	523	621	788	379	1095	588	511	2070	1244	991	1256					
9	Число недействительных бюллетеней	781	13	11	16	11	7	8	6	13	14	20	11	10	11	10	19	9	16	7	0	1	3	10	16	13	10	2	13	20	17	6	24	10	14	15	10	15	13	19	11	0	28	15	13	11	11	17	11	9	18	9	17	2	19	6	6	11	16	5	7	19	10	34	14	6	13					
10	Число действительных бюллетеней	53930	845	851	1074	805	996	266	419	530	864	874	793	713	839	622	1314	1043	1348	323	26	53	110	838	1238	628	873	848	934	807	1269	996	230	756	664	578	1265	715	1318	1371	1296	26	1244	962	934	1031	795	1007	657	838	1034	754	484	884	1077	562	537	628	791	384	1100	593	510	2289	1241	988	1248					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1794	34	40	30	20	20	10	10	10	30	30	20	20	40	20	40	30	40	20	0	0	0	30	14	30	30	56	30	30	40	30	0	30	30	20	40	30	40	40	50	0	40	30	30	30	20	30	30	30	40	30	20	30	40	20	30	20	30	20	30	30	10	70	30	30	40					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	526	4	17	14	7	3	5	2	6	11	10	11	10	7	5	9	12	12	1	0	0	0	9	12	7	8	38	11	8	13	8	0	9	8	3	14	2	13	15	15	0	17	8	9	10	8	11	6	8	10	4	0	4	14	2	2	3	13	0	11	2	2	3	10	10	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	306	5	10	7	9	7	5	6	1	2	7	4	4	4	6	10	6	7	3	0	2	16	8	3	1	7	12	3	6	6	4	0	4	1	9	9	0	6	10	5	0	5	5	4	4	1	6	9	3	0	6	3	2	3	3	0	4	4	0	5	4	4	2	3	3	8					
14	Число погашенных открепительных удостоверений	1268	30	23	16	13	17	5	8	4	19	20	9	10	33	15	31	18	28	19	0	0	0	21	2	23	22	18	19	22	27	22	0	21	22	17	26	28	27	25	35	0	23	22	21	20	12	19	24	22	30	26	20	26	26	18	28	17	17	20	19	28	8	67	20	20	20					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
18	"1. ""ЕДИНЕНИЕ"""	748	9	1	4	9	11	11	2	2	11	3	13	5	15	6	17	11	23	5	0	3	1	4	16	11	8	7	6	3	12	16	7	9	6	13	16	12	6	20	12	0	9	15	9	9	4	10	15	11	14	8	16	10	18	9	10	8	7	7	7	16	10	107	20	12	41					
		1.36%	1.04%	0.11%	0.36%	1.10%	1.09%	4.01%	0.47%	0.36%	1.25%	0.33%	1.61%	0.69%	1.76%	0.94%	1.27%	1.04%	1.68%	1.51%	0.0%	5.55%	0.88%	0.47%	1.27%	1.71%	0.90%	0.82%	0.63%	0.36%	0.93%	1.59%	2.75%	1.17%	0.88%	2.19%	1.25%	1.64%	0.45%	1.43%	0.91%	0.0%	0.70%	1.53%	0.95%	0.86%	0.49%	0.97%	2.24%	1.29%	1.33%	1.04%	3.19%	1.12%	1.64%	1.58%	1.84%	1.25%	0.86%	1.79%	0.63%	2.61%	1.92%	4.60%	1.59%	1.20%	3.25%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	4630	92	81	70	125	140	24	27	58	72	84	64	88	100	51	136	69	84	25	2	3	6	78	140	82	90	169	137	57	89	76	10	72	91	26	94	77	136	109	130	0	126	87	72	97	91	78	55	67	82	33	18	72	77	58	23	37	45	23	169	24	17	103	38	26	48					
		8.46%	10.72%	9.39%	6.42%	15.31%	13.95%	8.75%	6.35%	10.68%	8.20%	9.39%	7.96%	12.17%	11.76%	8.06%	10.20%	6.55%	6.15%	7.57%	7.69%	5.55%	5.30%	9.19%	11.16%	12.79%	10.19%	19.88%	14.46%	6.89%	6.92%	7.58%	3.93%	9.39%	13.42%	4.38%	7.37%	10.54%	10.21%	7.84%	9.94%	0.0%	9.90%	8.90%	7.60%	9.30%	11.29%	7.61%	8.23%	7.91%	7.79%	4.32%	3.59%	8.12%	7.02%	10.21%	4.23%	5.79%	5.57%	5.91%	15.26%	3.92%	3.26%	4.43%	3.02%	2.61%	3.80%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1410	20	17	38	13	15	6	7	13	16	23	21	19	25	10	31	39	46	6	0	3	4	31	27	12	22	6	36	21	24	29	16	10	8	15	37	16	28	33	34	1	38	31	37	30	18	37	30	31	25	38	21	24	31	15	14	16	33	13	17	11	20	35	27	19	21					
		2.57%	2.33%	1.97%	3.48%	1.59%	1.49%	2.18%	1.64%	2.39%	1.82%	2.57%	2.61%	2.62%	2.94%	1.58%	2.32%	3.70%	3.37%	1.81%	0.0%	5.55%	3.53%	3.65%	2.15%	1.87%	2.49%	0.70%	3.80%	2.53%	1.86%	2.89%	6.29%	1.30%	1.17%	2.52%	2.90%	2.19%	2.10%	2.37%	2.60%	3.84%	2.98%	3.17%	3.90%	2.87%	2.23%	3.61%	4.49%	3.65%	2.37%	4.98%	4.19%	2.70%	2.82%	2.64%	2.57%	2.50%	4.08%	3.34%	1.53%	1.79%	3.84%	1.50%	2.15%	1.91%	1.66%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3475	77	58	76	67	57	14	24	41	77	89	49	68	42	42	123	81	101	15	0	0	0	76	94	47	45	43	68	33	81	61	6	57	58	10	73	41	129	113	110	1	99	67	55	63	49	61	54	75	53	42	12	52	77	35	25	35	44	26	90	23	26	63	26	34	42					
