Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Изобильненская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511					
1	"Число избирателей, внесенных в список избирателей"	75717	1389	1484	1359	1438	1244	1413	1377	1366	1344	1349	1381	1344	1439	1498	1345	1296	1436	1428	1456	1489	2036	1704	1404	1839	1251	1700	1346	2561	2062	1004	960	647	2434	2670	811	1568	2031	254	1072	2380	1579	581	1654	613	1971	189	205	1057	750	1350	1575	1423	1955	411	358	437					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	72700	1300	1450	1300	1400	1250	1350	1350	1300	1300	1300	1300	1300	1250	1450	1300	1300	1350	1400	1400	1400	1800	1650	1350	1800	1200	1650	1300	2500	2000	1000	950	600	2400	2650	800	1500	2000	250	1000	2300	1500	550	1600	600	2000	180	200	1000	700	1300	1500	1100	1900	400	320	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	37021	598	685	621	639	548	788	570	592	594	666	673	659	704	604	540	575	668	704	637	561	1134	943	748	961	630	840	664	1679	1319	545	497	311	1562	1047	313	692	878	152	368	1191	704	256	673	298	1107	86	76	580	335	738	968	621	872	167	188	252					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3547	58	46	47	109	126	30	110	42	53	61	31	22	97	61	42	37	24	13	27	68	33	44	40	41	21	26	36	62	38	58	46	25	91	109	60	68	106	25	86	88	121	67	142	53	137	8	8	56	133	132	141	117	92	58	39	36					
6	Число погашенных избирательных бюллетеней	32132	644	719	632	652	576	532	670	666	653	573	596	619	449	785	718	688	658	683	736	771	633	663	562	798	549	784	600	759	643	397	407	264	747	1494	427	740	1016	73	546	1021	675	227	785	249	756	86	116	364	232	430	391	362	936	175	93	112					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3546	58	46	47	109	126	30	110	42	53	61	31	22	97	61	42	37	24	13	27	68	33	44	40	41	21	26	36	62	38	58	46	25	91	109	60	68	106	25	86	88	121	67	141	53	137	8	8	56	133	132	141	117	92	58	39	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37015	598	685	621	639	548	788	570	592	594	666	673	659	704	604	540	575	668	704	637	561	1134	942	748	961	630	840	660	1679	1319	545	497	311	1562	1047	313	692	878	152	368	1190	704	256	673	298	1107	86	76	580	335	738	968	621	872	167	188	252					
9	Число недействительных избирательных бюллетеней	899	12	18	7	14	12	9	13	13	12	10	19	11	17	19	25	16	8	19	12	8	27	14	18	16	14	15	20	52	40	13	5	19	17	24	18	8	24	6	7	12	2	8	22	10	23	2	4	78	6	14	36	18	15	3	6	9					
10	Число действительных избирательных бюллетеней	39662	644	713	661	734	662	809	667	621	635	717	685	670	784	646	557	596	684	698	652	621	1140	972	770	986	637	851	676	1689	1317	590	538	317	1636	1132	355	752	960	171	447	1266	823	315	792	341	1221	92	80	558	462	856	1073	720	949	222	221	279					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	670	20	15	15	15	30	15	30	30	15	15	15	20	15	17	15	10	15	15	15	15	20	10	13	10	8	5	10	23	17	10	10	5	10	17	5	10	10	5	5	10	10	5	5	5	10	2	3	5	5	5	10	5	15	5	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	428	10	11	7	14	14	11	13	11	9	12	7	12	10	12	6	3	7	11	12	6	18	8	8	5	6	4	6	18	13	10	10	3	10	15	1	10	10	5	0	10	7	0	1	1	7	0	0	3	4	4	8	5	13	1	0	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	280	9	5	3	4	5	5	6	3	12	7	4	7	2	4	3	5	3	5	5	9	6	7	5	6	3	7	4	8	11	3	0	2	7	7	3	5	5	3	2	3	2	0	0	1	4	2	3	4	3	0	9	28	10	3	6	2					
14	Число погашенных неиспользованных открепительных удостоверений	242	10	4	8	1	16	4	17	19	6	3	8	8	5	5	9	7	8	4	3	9	2	2	5	5	2	1	4	5	4	0	0	2	0	2	4	0	0	0	5	0	3	5	4	4	3	2	3	2	1	1	2	0	2	4	5	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	1	0	2	0	0	0	1	0	3	2	2	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5663	119	121	114	108	96	137	122	122	110	135	129	114	162	112	106	92	94	122	103	81	122	195	165	158	101	164	113	176	138	68	81	43	194	190	47	118	168	22	48	171	120	46	70	34	56	13	6	63	48	53	127	67	103	22	24	30					
		13.96%	18.14%	16.55%	17.07%	14.44%	14.24%	16.75%	17.94%	19.24%	17.00%	18.57%	18.32%	16.74%	20.22%	16.84%	18.21%	15.03%	13.58%	17.02%	15.51%	12.88%	10.45%	19.78%	20.94%	15.77%	15.51%	18.94%	16.24%	10.11%	10.17%	11.28%	14.92%	12.80%	11.74%	16.44%	12.60%	15.53%	17.07%	12.43%	10.57%	13.38%	14.55%	14.24%	8.60%	9.69%	4.50%	13.83%	7.14%	9.91%	10.26%	6.09%	11.45%	9.08%	10.68%	9.78%	10.57%	10.42%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7487	117	162	133	139	122	161	111	118	123	120	131	136	143	116	119	139	148	111	127	125	237	244	155	244	168	215	138	285	226	107	101	69	164	275	75	151	191	28	91	223	173	67	126	57	183	13	16	83	49	109	132	187	197	30	19	58					
		18.46%	17.84%	22.16%	19.91%	18.58%	18.10%	19.68%	16.32%	18.61%	19.01%	16.51%	18.61%	19.97%	17.85%	17.44%	20.45%	22.71%	21.39%	15.48%	19.13%	19.87%	20.31%	24.75%	19.67%	24.35%	25.81%	24.83%	19.83%	16.37%	16.65%	17.74%	18.60%	20.54%	9.92%	23.79%	20.11%	19.87%	19.41%	15.82%	20.04%	17.45%	20.97%	20.74%	15.48%	16.24%	14.71%	13.83%	19.05%	13.05%	10.47%	12.53%	11.90%	25.34%	20.44%	13.33%	8.37%	20.14%					
