Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва															
Дата голосования: 18.09.2016															
															
Наименование Избирательной комиссии:    ЗАТО Первомайский															
															
Сводная таблица итогов голосования по федеральному избирательному округу															
															
		Сумма	УИК №848	УИК №849	УИК №850	УИК №851									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3242	1056	922	848	416									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3095	1030	850	800	415									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	54	15	12	13	14									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1823	584	494	386	359									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	42	2	1	8	31									
6	Число погашенных избирательных бюллетеней	1176	429	343	393	11									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	96	17	13	21	45									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1818	579	494	386	359									
9	Число недействительных избирательных бюллетеней	68	14	16	29	9									
10	Число действительных избирательных бюллетеней	1846	582	491	378	395									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	56	19	17	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	36	14	9	12	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	26	12	19	1									
14	Число погашенных неиспользованных открепительных удостоверений	20	5	8	3	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	59	23	18	17	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0									
															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	12	5	4	2	1									
		0.63%	0.84%	0.79%	0.49%	0.25%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	43	11	14	9	9									
		2.25%	1.85%	2.76%	2.21%	2.23%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	42	16	16	7	3									
		2.19%	2.68%	3.16%	1.72%	0.74%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	912	293	208	139	272									
		47.65%	49.16%	41.03%	34.15%	67.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	13	4	5	1	3									
		0.68%	0.67%	0.99%	0.25%	0.74%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	0	2	0									
		0.10%	0.00%	0.00%	0.49%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	537	165	153	146	73									
		28.06%	27.68%	30.18%	35.87%	18.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	2	2	2	2									
		0.42%	0.34%	0.39%	0.49%	0.50%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	13	3	3	6	1									
		0.68%	0.50%	0.59%	1.47%	0.25%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	1	2	1	2									
		0.31%	0.17%	0.39%	0.25%	0.50%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	16	6	2	1	7									
		0.84%	1.01%	0.39%	0.25%	1.73%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	162	52	55	43	12									
		8.46%	8.72%	10.85%	10.57%	2.97%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	1	3	1	4									
		0.47%	0.17%	0.59%	0.25%	0.99%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	71	23	24	18	6									
		3.71%	3.86%	4.73%	4.42%	1.49%									
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
