Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Дзун-Хемчикская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9777	1041	1138	1038	1037	422	314	689	690	513	244	675	793	409	600	174									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11584	1327	1315	1214	1215	483	340	811	821	602	270	849	954	535	657	191									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	81	0	0	0	0	0	58	0	0	0	0	0	0	0	0	23									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8772	975	1044	1022	945	293	233	622	617	461	215	587	703	376	528	151									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	764	24	94	16	73	101	20	55	52	34	27	88	90	23	67	0									
6	Число погашенных избирательных бюллетеней	1967	328	177	176	197	89	29	134	152	107	28	174	161	136	62	17									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	845	24	94	16	73	101	78	55	52	34	27	88	90	23	67	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8772	975	1044	1022	945	293	233	622	617	461	215	587	703	376	528	151									
9	Число недействительных избирательных бюллетеней	78	10	0	18	19	0	2	4	4	2	5	0	4	8	2	0									
10	Число действительных избирательных бюллетеней	9539	989	1138	1020	999	394	309	673	665	493	237	675	789	391	593	174									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	195	19	12	22	20	17	2	17	20	12	10	10	12	10	10	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	161	19	12	22	12	17	0	11	19	12	1	5	11	10	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	33	7	2	5	1	2	3	1	0	2	2	0	4	1	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	34	0	0	0	8	0	2	6	1	0	9	5	1	0	0	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	80	11	14	24	7	3	6	0	2	2	2	3	3	0	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	26	5	0	0	7	0	5	0	0	1	1	0	0	6	0	1									
		0.27%	0.50%	0.00%	0.00%	0.69%	0.00%	1.61%	0.00%	0.00%	0.20%	0.41%	0.00%	0.00%	1.50%	0.00%	0.57%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	6	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9317	961	1115	992	979	387	297	664	636	476	228	675	770	377	587	173									
		96.88%	96.20%	97.98%	95.57%	96.17%	98.22%	95.50%	98.08%	95.07%	96.16%	94.21%	100.00%	97.10%	94.49%	98.66%	99.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0									
		0.06%	0.00%	0.00%	0.00%	0.20%	0.25%	0.00%	0.15%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	23	3	0	7	3	0	0	0	0	1	0	0	5	4	0	0									
		0.24%	0.30%	0.00%	0.67%	0.29%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.63%	1.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	81	12	16	13	6	3	4	7	0	5	6	0	7	0	2	0									
		0.84%	1.20%	1.41%	1.25%	0.59%	0.76%	1.29%	1.03%	0.00%	1.01%	2.48%	0.00%	0.88%	0.00%	0.34%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	72	8	7	8	2	2	2	0	29	1	2	0	7	0	4	0									
		0.75%	0.80%	0.62%	0.77%	0.20%	0.51%	0.64%	0.00%	4.33%	0.20%	0.83%	0.00%	0.88%	0.00%	0.67%	0.00%									
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
