Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Калтасинская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20549	1243	505	1412	928	462	419	524	212	589	847	359	360	287	412	216	487	382	198	412	350	323	233	247	298	339	783	126	1024	442	535	521	1489	1472	1028	1085									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21049	1262	524	1431	936	474	431	635	210	600	854	374	370	289	427	223	486	382	198	421	357	342	239	251	315	345	787	124	1031	441	635	531	1506	1484	1037	1097									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12428	918	266	839	408	327	271	247	70	433	580	247	218	178	315	186	287	345	183	365	216	184	80	121	180	235	566	78	566	292	258	432	748	598	584	607									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1256	29	45	22	60	44	23	34	80	44	26	51	21	30	41	0	20	2	0	2	106	37	77	38	42	17	15	24	32	78	65	29	50	46	12	14									
6	Число погашенных избирательных бюллетеней	7365	315	213	570	468	103	137	354	60	123	248	76	131	81	71	37	179	35	15	54	35	121	82	92	93	93	206	22	433	71	312	70	708	840	441	476									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1256	29	45	22	60	44	23	34	80	44	26	51	21	30	41	0	20	2	0	2	106	37	77	38	42	17	15	24	32	78	65	29	50	46	12	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12424	918	266	839	408	327	271	247	70	433	580	247	218	178	315	186	287	345	183	365	216	184	80	121	180	235	566	78	566	292	254	432	748	598	584	607									
9	Число недействительных избирательных бюллетеней	190	13	6	0	0	6	0	17	5	8	19	1	7	2	4	0	5	0	0	0	0	0	0	7	2	1	4	5	2	3	27	0	0	38	0	8									
10	Число действительных избирательных бюллетеней	13490	934	305	861	468	365	294	264	145	469	587	297	232	206	352	186	302	347	183	367	322	221	157	152	220	251	577	97	596	367	292	461	798	606	596	613									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	461	29	20	20	10	10	10	10	5	10	15	15	10	10	25	5	10	10	5	12	10	35	10	10	30	10	10	5	20	5	15	10	20	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	387	21	20	20	5	10	10	10	0	10	11	15	10	3	25	5	10	0	0	12	10	35	10	8	25	10	6	0	14	5	15	10	12	10	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	108	8	4	5	2	0	0	5	4	2	6	0	2	3	4	0	6	2	2	3	4	4	4	5	3	2	3	4	2	3	2	2	2	5	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	74	8	0	0	5	0	0	0	5	0	4	0	0	7	0	0	0	10	5	0	0	0	0	2	5	0	4	5	6	0	0	0	8	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	101	6	7	5	4	2	1	11	0	1	7	4	2	0	11	0	3	3	0	2	1	0	0	3	4	0	5	0	1	0	0	2	4	3	6	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	140	6	6	15	5	2	5	4	5	6	5	0	2	0	4	1	5	0	1	0	0	0	3	2	3	3	8	1	8	3	5	0	12	9	5	6									
		1.02%	0.63%	1.93%	1.74%	1.07%	0.54%	1.70%	1.42%	3.33%	1.26%	0.83%	0.00%	0.84%	0.00%	1.12%	0.54%	1.63%	0.00%	0.55%	0.00%	0.00%	0.00%	1.91%	1.26%	1.35%	1.19%	1.38%	0.98%	1.34%	0.81%	1.57%	0.00%	1.50%	1.40%	0.84%	0.97%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	849	35	18	53	20	30	16	11	7	29	39	6	14	16	23	2	21	0	13	12	26	9	12	17	23	18	30	0	39	20	15	23	84	69	44	55									
		6.21%	3.70%	5.79%	6.16%	4.27%	8.09%	5.44%	3.91%	4.67%	6.08%	6.44%	2.01%	5.86%	7.69%	6.46%	1.08%	6.84%	0.00%	7.10%	3.27%	8.07%	4.07%	7.64%	10.69%	10.36%	7.14%	5.16%	0.00%	6.52%	5.41%	4.70%	4.99%	10.53%	10.71%	7.38%	8.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	185	10	1	19	0	2	0	4	2	4	14	1	1	2	5	0	5	0	6	0	0	4	3	2	5	3	0	2	4	8	1	7	27	13	8	22									
		1.35%	1.06%	0.32%	2.21%	0.00%	0.54%	0.00%	1.42%	1.33%	0.84%	2.31%	0.34%	0.42%	0.96%	1.40%	0.00%	1.63%	0.00%	3.28%	0.00%	0.00%	1.81%	1.91%	1.26%	2.25%	1.19%	0.00%	1.96%	0.67%	2.16%	0.31%	1.52%	3.38%	2.02%	1.34%	3.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7638	517	157	535	270	220	151	151	79	333	289	240	143	111	229	95	182	223	107	227	195	138	100	68	139	132	329	48	327	201	148	270	421	272	352	239									
		55.83%	54.59%	50.48%	62.14%	57.69%	59.30%	51.36%	53.74%	52.67%	69.81%	47.69%	80.54%	59.83%	53.37%	64.33%	51.08%	59.28%	64.27%	58.47%	61.85%	60.56%	62.44%	63.69%	42.77%	62.61%	52.38%	56.63%	47.06%	54.68%	54.32%	46.39%	58.57%	52.76%	42.24%	59.06%	38.49%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	50	2	0	3	0	2	0	2	1	1	9	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	2	3	2	6	4	0	4	2	2									
		0.37%	0.21%	0.00%	0.35%	0.00%	0.54%	0.00%	0.71%	0.67%	0.21%	1.49%	0.34%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.63%	0.45%	0.00%	0.00%	1.96%	0.50%	0.54%	1.88%	0.87%	0.00%	0.62%	0.34%	0.32%									
24	"6. Политическая партия ""Гражданская Платформа"""	101	3	4	9	0	2	0	0	1	9	9	3	2	0	3	0	4	3	2	0	0	0	0	3	2	4	15	6	2	1	1	0	0	2	7	4									
		0.74%	0.32%	1.29%	1.05%	0.00%	0.54%	0.00%	0.00%	0.67%	1.89%	1.49%	1.01%	0.84%	0.00%	0.84%	0.00%	1.30%	0.86%	1.09%	0.00%	0.00%	0.00%	0.00%	1.89%	0.90%	1.59%	2.58%	5.88%	0.33%	0.27%	0.31%	0.00%	0.00%	0.31%	1.17%	0.64%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1326	75	42	69	48	47	27	59	13	30	104	22	23	17	33	16	21	21	16	7	18	24	15	16	23	12	65	4	58	23	48	50	70	74	56	80									
		9.69%	7.92%	13.50%	8.01%	10.26%	12.67%	9.18%	20.99%	8.67%	6.29%	17.16%	7.38%	9.62%	8.17%	9.27%	8.60%	6.84%	6.05%	8.74%	1.91%	5.59%	10.86%	9.55%	10.06%	10.36%	4.76%	11.19%	3.92%	9.70%	6.22%	15.05%	10.85%	8.77%	11.49%	9.40%	12.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	20	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	1	2	1									
		0.15%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.33%	0.27%	0.31%	0.00%	0.00%	0.16%	0.34%	0.16%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	44	2	4	9	0	0	0	0	0	2	9	2	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	4	2	2									
		0.32%	0.21%	1.29%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	1.49%	0.67%	0.84%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.40%	0.00%	0.98%	0.00%	0.54%	0.00%	0.00%	0.00%	0.62%	0.34%	0.32%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	20	0	0	10	0	1	0	0	0	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
		0.15%	0.00%	0.00%	1.16%	0.00%	0.27%	0.00%	0.00%	0.00%	0.21%	0.17%	0.00%	0.00%	2.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	46	3	1	4	0	0	0	0	1	0	4	0	0	2	0	1	1	0	1	1	0	0	0	0	0	1	2	0	2	1	0	3	0	4	2	12									
		0.34%	0.32%	0.32%	0.46%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.66%	0.00%	0.00%	0.96%	0.00%	0.54%	0.33%	0.00%	0.55%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.34%	0.00%	0.33%	0.27%	0.00%	0.65%	0.00%	0.62%	0.34%	1.93%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2695	268	52	97	100	49	86	29	33	45	87	21	36	48	52	66	48	86	25	110	75	36	24	42	19	72	124	31	122	94	63	86	168	138	102	161									
		19.70%	28.30%	16.72%	11.27%	21.37%	13.21%	29.25%	10.32%	22.00%	9.43%	14.36%	7.05%	15.06%	23.08%	14.61%	35.48%	15.64%	24.78%	13.66%	29.97%	23.29%	16.29%	15.29%	26.42%	8.56%	28.57%	21.34%	30.39%	20.40%	25.41%	19.75%	18.66%	21.05%	21.43%	17.11%	25.93%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	33	5	0	4	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	2	0	2	0	0	0	1	0	1	2	2	0	0	0	0	0	9									
		0.24%	0.53%	0.00%	0.46%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.34%	0.42%	0.48%	0.00%	0.00%	0.33%	0.00%	0.00%	0.54%	0.00%	0.90%	0.00%	0.00%	0.00%	0.40%	0.00%	0.98%	0.33%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	1.45%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	343	8	20	26	25	10	9	3	3	9	15	0	8	3	3	4	12	14	11	8	8	8	0	1	4	4	4	0	27	9	4	18	16	15	14	20									
		2.51%	0.84%	6.43%	3.02%	5.34%	2.70%	3.06%	1.07%	2.00%	1.89%	2.48%	0.00%	3.35%	1.44%	0.84%	2.15%	3.91%	4.03%	6.01%	2.18%	2.48%	3.62%	0.00%	0.63%	1.80%	1.59%	0.69%	0.00%	4.52%	2.43%	1.25%	3.90%	2.01%	2.33%	2.35%	3.22%									
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
