Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Вачская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15646	826	833	201	137	164	137	194	911	562	569	186	204	921	230	496	196	449	907	853	140	239	385	557	178	1384	912	1308	1181	386									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15835	859	856	198	134	162	154	200	902	565	588	185	200	934	222	503	199	457	928	864	138	239	421	579	175	1388	904	1331	1171	379									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6441	218	386	95	86	75	92	80	380	225	295	37	78	295	102	90	58	129	339	286	78	70	99	279	17	800	540	567	509	136									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2663	140	75	45	22	21	16	47	102	104	50	83	46	359	78	230	72	128	210	64	26	75	95	31	95	70	60	149	91	79									
6	Число погашенных избирательных бюллетеней	6731	501	395	58	26	66	46	73	420	236	243	65	76	280	42	183	69	200	379	514	34	94	227	269	63	518	304	615	571	164									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2663	140	75	45	22	21	16	47	102	104	50	83	46	359	78	230	72	128	210	64	26	75	95	31	95	70	60	149	91	79									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6441	218	386	95	86	75	92	80	380	225	295	37	78	295	102	90	58	129	339	286	78	70	99	279	17	800	540	567	509	136									
9	Число недействительных избирательных бюллетеней	112	9	4	1	3	6	0	1	3	3	3	2	0	1	0	2	4	0	14	12	4	0	0	4	1	13	6	9	7	0									
10	Число действительных избирательных бюллетеней	8992	349	457	139	105	90	108	126	479	326	342	118	124	653	180	318	126	257	535	338	100	145	194	306	111	857	594	707	593	215									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	580	25	25	15	10	15	10	15	25	15	15	15	15	30	15	15	15	15	25	25	10	15	25	20	15	35	25	45	35	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	273	18	15	1	0	0	10	6	4	3	6	0	1	13	2	3	3	6	25	9	0	2	25	9	1	29	20	36	23	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	189	2	4	5	2	3	1	6	1	9	3	7	3	6	5	4	5	4	8	6	3	4	6	7	3	26	17	20	12	7									
14	Число погашенных неиспользованных открепительных удостоверений	307	7	10	14	10	15	0	9	21	12	9	15	14	17	13	12	12	9	0	16	10	13	0	11	14	6	5	9	12	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	2	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	2	0	2	3	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	72	5	1	1	0	1	0	0	4	0	4	0	1	5	0	2	1	1	2	5	0	3	0	3	0	10	8	5	8	2									
		0.79%	1.40%	0.22%	0.71%	0.00%	1.04%	0.00%	0.00%	0.83%	0.00%	1.16%	0.00%	0.81%	0.76%	0.00%	0.63%	0.77%	0.39%	0.36%	1.43%	0.00%	2.07%	0.00%	0.97%	0.00%	1.15%	1.33%	0.70%	1.33%	0.93%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	234	14	2	3	5	3	1	5	15	0	15	0	4	20	4	4	1	0	17	19	2	3	0	10	3	24	10	20	25	5									
		2.57%	3.91%	0.43%	2.14%	4.63%	3.13%	0.93%	3.94%	3.11%	0.00%	4.35%	0.00%	3.23%	3.06%	2.22%	1.25%	0.77%	0.00%	3.10%	5.43%	1.92%	2.07%	0.00%	3.23%	2.68%	2.76%	1.67%	2.79%	4.17%	2.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	132	4	0	6	4	0	1	2	8	2	2	0	3	4	7	2	5	1	10	7	2	2	0	1	0	23	6	18	7	5									
		1.45%	1.12%	0.00%	4.29%	3.70%	0.00%	0.93%	1.57%	1.66%	0.61%	0.58%	0.00%	2.42%	0.61%	3.89%	0.63%	3.85%	0.39%	1.82%	2.00%	1.92%	1.38%	0.00%	0.32%	0.00%	2.64%	1.00%	2.51%	1.17%	2.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5627	216	360	89	70	57	78	87	300	266	194	100	70	425	114	256	80	225	303	166	71	108	160	195	73	436	333	376	303	116									
		61.81%	60.34%	78.09%	63.57%	64.81%	59.38%	72.22%	68.50%	62.24%	80.85%	56.23%	83.33%	56.45%	64.98%	63.33%	80.00%	61.54%	87.55%	55.19%	47.43%	68.27%	74.48%	82.47%	62.90%	65.18%	50.11%	55.50%	52.51%	50.50%	53.95%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	36	4	0	0	1	1	0	0	2	0	2	0	0	0	0	1	0	0	1	1	0	0	0	1	0	4	6	6	3	3									
		0.40%	1.12%	0.00%	0.00%	0.93%	1.04%	0.00%	0.00%	0.41%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.18%	0.29%	0.00%	0.00%	0.00%	0.32%	0.00%	0.46%	1.00%	0.84%	0.50%	1.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	1	0	0									
