Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
"Наименование Избирательной комиссии:    Смоленск, Заднепровская"																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	78095	682	1632	1682	1350	1375	3282	1306	586	402	1701	1765	1718	2387	1873	2573	2058	1840	287	2006	2902	1806	2492	1850	2013	2002	1476	1793	2242	1638	1944	1950	1553	1457	1638	2080	1959	1812	1705	584	868	813	1323	2372	2287	2361	670									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74900	600	1600	1600	1300	1300	2900	1200	500	350	1700	1500	1700	2300	1800	2500	2000	1800	250	2000	2900	1700	2400	1800	2000	2000	1400	1700	2200	1600	1900	1900	1500	1400	1600	2000	1900	1800	1600	500	800	800	1300	2200	2200	2300	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26831	175	552	655	357	348	1636	419	139	76	516	1327	799	883	610	797	664	679	46	733	1085	541	982	707	480	668	541	717	800	521	635	624	527	580	486	456	650	529	532	152	199	174	392	711	726	649	356									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1165	26	13	19	22	37	24	24	8	10	14	36	24	23	24	18	17	20	30	10	5	2	17	22	10	24	19	16	20	16	14	12	20	36	29	52	52	13	38	54	26	19	34	161	29	21	5									
6	Число погашенных избирательных бюллетеней	46904	399	1035	926	921	915	1240	757	353	264	1170	137	877	1394	1166	1685	1319	1101	174	1257	1810	1157	1401	1071	1510	1308	840	967	1380	1063	1251	1264	953	784	1085	1492	1198	1258	1030	294	575	607	874	1328	1445	1630	239									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1165	26	13	19	22	37	24	24	8	10	14	36	24	23	24	18	17	20	30	10	5	2	17	22	10	24	19	16	20	16	14	12	20	36	29	52	52	13	38	54	26	19	34	161	29	21	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26826	175	552	655	357	348	1636	419	139	76	516	1327	799	883	610	797	664	679	46	733	1085	541	982	707	480	668	541	717	800	521	634	624	527	580	484	456	650	529	532	152	199	174	392	709	726	649	356									
9	Число недействительных избирательных бюллетеней	547	5	8	18	2	13	17	6	0	0	13	10	14	12	12	10	16	13	1	10	18	61	10	12	14	13	9	8	12	11	9	7	23	13	1	6	9	23	16	3	1	6	40	16	11	10	5									
10	Число действительных избирательных бюллетеней	27444	196	557	656	377	372	1643	437	147	86	517	1353	809	894	622	805	665	686	75	733	1072	482	989	717	476	679	551	725	808	526	639	629	524	603	512	502	693	519	554	203	224	187	386	854	744	660	356									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1080	10	20	25	10	25	25	20	10	10	30	15	25	25	30	25	20	25	10	25	35	30	25	35	25	30	25	35	35	30	35	40	20	10	15	25	45	25	15	10	20	10	15	40	30	25	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	638	4	12	21	3	11	18	5	5	3	5	3	20	13	19	22	8	18	3	10	28	22	18	29	16	17	18	11	18	17	23	17	11	6	8	15	28	22	10	3	12	6	10	30	15	19	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	553	2	7	8	11	1	6	27	3	11	11	0	9	9	12	14	18	13	4	12	13	8	10	27	3	12	3	15	10	9	13	6	12	8	10	28	10	28	35	6	6	14	8	22	26	16	17									
14	Число погашенных неиспользованных открепительных удостоверений	442	6	8	4	7	14	7	15	5	7	25	12	5	12	11	3	12	7	7	15	7	8	7	6	9	13	7	24	17	13	12	23	9	4	7	10	17	3	5	7	8	4	5	10	15	6	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	87	0	1	1	1	1	4	0	0	1	1	0	34	1	1	3	0	0	0	2	4	5	1	0	4	1	0	0	3	0	1	1	0	0	0	1	1	2	3	1	1	0	1	2	2	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
