Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва														
Дата голосования: 18.09.2016														
														
Наименование Избирательной комиссии:    Монгун-Тайгинская														
														
Сводная таблица итогов голосования по федеральному избирательному округу														
														
		Сумма	УИК №100	УИК №101	УИК №102									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2901	1148	1083	670									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2981	1200	1081	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	504	268	57	179									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2284	820	991	473									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	98	49	31	18									
6	Число погашенных избирательных бюллетеней	95	63	2	30									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	602	317	88	197									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2284	820	991	473									
9	Число недействительных избирательных бюллетеней	12	0	5	7									
10	Число действительных избирательных бюллетеней	2874	1137	1074	663									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	22	8	8	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	16	6	8	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	6	2	0	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	5	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0									
														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1	0	0	1									
		0.03%	0.00%	0.00%	0.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	5	0	1	4									
		0.17%	0.00%	0.09%	0.60%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2825	1129	1058	638									
		97.89%	99.30%	98.05%	95.22%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	0	0	1									
		0.03%	0.00%	0.00%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6	1	2	3									
		0.21%	0.09%	0.19%	0.45%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	2	0	2	0									
		0.07%	0.00%	0.19%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2	0	0	2									
		0.07%	0.00%	0.00%	0.30%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	25	5	8	12									
		0.87%	0.44%	0.74%	1.79%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7	2	3	2									
		0.24%	0.18%	0.28%	0.30%									
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
