Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
Наименование Избирательной комиссии:    Ярославский район																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842					
1	"Число избирателей, внесенных в список избирателей"	53142	2239	2511	2738	2587	2670	2156	2175	2512	2354	2224	2497	2312	2059	2263	2478	2031	2151	2740	2715	2591	2684	2455					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46700	2000	2300	2300	2400	2300	1900	1900	1800	2100	2000	2200	2100	1800	2000	2200	1800	1900	2400	2400	2300	2400	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	28163	1158	1647	1518	1873	1273	1374	1217	1357	1169	1110	1421	1292	961	1106	1213	988	957	1339	1423	1303	1344	1120					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1059	27	109	48	53	44	14	39	41	29	28	57	54	57	43	45	24	52	55	44	65	71	60					
6	Число погашенных избирательных бюллетеней	17478	815	544	734	474	983	512	644	402	902	862	722	754	782	851	942	788	891	1006	933	932	985	1020					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1058	27	109	48	53	44	14	39	41	29	28	57	54	57	43	45	24	52	55	43	65	71	60					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28129	1156	1645	1517	1873	1273	1374	1217	1350	1167	1108	1421	1290	961	1106	1213	985	957	1332	1420	1303	1341	1120					
9	Число недействительных избирательных бюллетеней	510	20	29	21	22	25	15	17	27	25	21	21	21	12	22	17	20	26	44	24	34	23	24					
10	Число действительных избирательных бюллетеней	28677	1163	1725	1544	1904	1292	1373	1239	1364	1171	1115	1457	1323	1006	1127	1241	989	983	1343	1439	1334	1389	1156					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1200	60	70	60	60	60	50	60	80	60	50	40	40	40	50	40	50	40	40	60	60	70	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1010	53	61	43	60	53	43	48	70	43	39	29	32	30	42	36	35	32	33	57	59	60	52					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	774	29	21	135	33	28	39	15	39	37	24	48	20	25	22	22	14	33	60	45	28	42	15					
14	Число погашенных неиспользованных открепительных удостоверений	189	7	9	17	0	7	7	12	10	17	11	11	8	10	8	4	15	7	7	3	1	10	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	72	0	2	4	6	9	2	3	0	0	2	2	2	2	2	9	2	6	8	3	1	4	3					
16	Число утраченных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4666	232	244	286	219	253	128	226	205	191	166	244	218	186	174	194	189	175	221	241	223	246	205					
		15.99%	19.61%	13.91%	18.27%	11.37%	19.21%	9.22%	17.99%	14.74%	15.97%	14.61%	16.51%	16.22%	18.27%	15.14%	15.42%	18.73%	17.34%	15.93%	16.47%	16.30%	17.42%	17.37%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3901	184	226	220	204	158	171	152	267	145	150	177	162	130	120	182	131	140	191	195	224	202	170					
		13.37%	15.55%	12.88%	14.06%	10.59%	11.99%	12.32%	12.10%	19.19%	12.12%	13.20%	11.98%	12.05%	12.77%	10.44%	14.47%	12.98%	13.88%	13.77%	13.33%	16.37%	14.31%	14.41%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	503	14	24	33	24	22	18	34	30	27	22	28	20	17	23	14	16	13	24	28	33	22	17					
		1.72%	1.18%	1.37%	2.11%	1.25%	1.67%	1.30%	2.71%	2.16%	2.26%	1.94%	1.89%	1.49%	1.67%	2.00%	1.11%	1.59%	1.29%	1.73%	1.91%	2.41%	1.56%	1.44%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	7036	286	330	389	330	328	225	406	370	299	309	346	311	268	324	327	238	237	341	384	326	363	299					
		24.11%	24.18%	18.81%	24.86%	17.13%	24.91%	16.21%	32.32%	26.60%	25.00%	27.20%	23.41%	23.14%	26.33%	28.20%	25.99%	23.59%	23.49%	24.59%	26.25%	23.83%	25.71%	25.34%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3604	107	143	184	154	170	116	140	194	213	210	247	227	165	116	155	132	142	169	180	130	168	142					
		12.35%	9.04%	8.15%	11.76%	7.99%	12.91%	8.36%	11.15%	13.95%	17.81%	18.49%	16.71%	16.89%	16.21%	10.10%	12.32%	13.08%	14.07%	12.18%	12.30%	9.50%	11.90%	12.03%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8719	335	748	417	956	348	705	272	287	287	250	399	375	228	360	359	275	266	382	397	383	371	319					
		29.87%	28.32%	42.65%	26.65%	49.64%	26.42%	50.79%	21.66%	20.63%	23.99%	22.01%	26.99%	27.90%	22.40%	31.33%	28.54%	27.25%	26.36%	27.54%	27.14%	27.99%	26.27%	27.03%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	248	5	10	15	17	13	10	9	11	9	8	16	10	12	10	10	8	10	15	14	15	17	4					
