Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Тверской район																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №4006					
1	"Число избирателей, внесенных в списки избирателей"	52640	3273	2490	2161	2433	1516	2253	1116	2189	1840	2765	2468	1847	1822	2587	1661	2616	2754	2830	2002	2738	1902	2101	1489	96	245	268	84	157	517	420					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	44650	3000	1800	1800	1900	1100	1800	900	1800	1500	2100	2000	1500	1500	2000	2100	2100	2100	2200	1600	2200	1600	1600	2000	150	250	300	100	200	550	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	32545	2151	1307	1299	1643	976	1151	553	1114	1123	1533	1344	1014	1026	1539	1465	1531	1479	1983	1130	1558	1371	1220	1489	94	228	130	84	96	495	419					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1630	22	111	100	96	32	22	17	47	79	31	123	28	85	111	51	67	36	100	49	84	87	77	0	0	0	136	0	39	0	0					
6	Число погашенных избирательных бюллетеней	10475	827	382	401	161	92	627	330	639	298	536	533	458	389	350	584	502	585	117	421	558	142	303	511	56	22	34	16	65	55	481					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1629	21	111	100	96	32	22	17	47	79	31	123	28	85	111	51	67	36	100	49	84	87	77	0	0	0	136	0	39	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32394	2141	1307	1299	1643	973	1148	551	1110	1122	1528	1339	1012	1026	1539	1465	1528	1473	1980	1125	1558	1284	1213	1484	94	228	130	84	96	495	419					
9	Число недействительных избирательных бюллетеней	757	19	19	5	121	5	15	10	10	19	21	11	13	22	0	23	3	143	25	18	18	12	9	189	1	7	2	1	1	11	4					
10	Число действительных избирательных бюллетеней	33266	2143	1399	1394	1618	1000	1155	558	1147	1182	1538	1451	1027	1089	1650	1493	1592	1366	2055	1156	1624	1359	1281	1295	93	221	264	83	134	484	415					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1046	60	30	65	45	40	40	30	35	40	65	50	60	35	40	50	40	40	60	50	50	61	60	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	887	43	27	35	41	40	34	21	35	35	60	49	38	29	35	45	40	37	59	43	38	43	60	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2505	250	134	89	137	70	115	22	41	67	123	113	56	90	252	92	81	144	91	77	65	40	124	17	15	0	14	23	8	8	147					
