Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Гороховецкая																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820					
1	"Число избирателей, внесенных в списки"	20825	1437	1266	1016	1009	1104	945	1193	1133	1210	1104	1310	621	565	428	663	292	126	1173	173	315	721	223	335	1407	1056					
2	"Число бюллетеней, полученных участковыми комиссиями"	20482	1430	1260	1000	1000	1080	940	1180	1110	1100	1080	1320	620	560	430	660	290	130	1122	160	310	700	220	330	1400	1050					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9281	621	610	450	416	511	463	648	561	589	461	487	246	212	161	308	146	65	626	66	157	175	107	167	609	419					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1207	8	34	21	32	22	18	29	18	26	35	36	80	79	42	62	54	34	29	28	51	122	35	75	91	146					
6	Число погашенных бюллетеней	9994	801	616	529	552	547	459	503	531	485	584	797	294	269	227	290	90	31	467	66	102	403	78	88	700	485					
7	Число бюллетеней в переносных ящиках для голосования	1207	8	34	21	32	22	18	29	18	26	35	36	80	79	42	62	54	34	29	28	51	122	35	75	91	146					
8	Число бюллетеней в стационарных ящиках для голосования	9278	621	610	450	416	511	463	648	561	589	458	487	246	212	161	308	146	65	626	66	157	175	107	167	609	419					
9	Число недействительных бюллетеней	158	7	9	6	5	11	7	8	6	11	7	9	7	2	3	8	1	1	13	3	5	4	3	2	16	4					
10	Число действительных бюллетеней	10327	622	635	465	443	522	474	669	573	604	486	514	319	289	200	362	199	98	642	91	203	293	139	240	684	561					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	180	10	10	10	10	10	10	10	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	44	4	1	0	0	4	2	1	4	4	3	7	1	5	0	0	2	1	0	0	0	0	0	1	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	1	0	2	1	0	0	0	0	1	3	0	0	1	0	4	1	1	6	5	0	3	3	2	1	8					
14	Число погашенных открепительных удостоверений	136	6	9	10	10	6	8	9	6	6	7	3	4	0	5	5	3	4	5	5	5	5	5	4	3	3					
