Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Чернушинская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №4301	УИК №4302	УИК №4303	УИК №4304	УИК №4305	УИК №4306	УИК №4307	УИК №4308	УИК №4309	УИК №4310	УИК №4311	УИК №4312	УИК №4313	УИК №4314	УИК №4315	УИК №4316	УИК №4317	УИК №4318	УИК №4319	УИК №4320	УИК №4321	УИК №4322	УИК №4323	УИК №4324	УИК №4325	УИК №4326	УИК №4327	УИК №4328	УИК №4329	УИК №4330	УИК №4331	УИК №4332	УИК №4333	УИК №4334	УИК №4335	УИК №4336	УИК №4337	УИК №4338	УИК №4339	УИК №4340	УИК №4341									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39958	1866	1895	1797	1194	1041	641	1842	1079	1130	2253	1455	817	1991	661	2524	1411	745	1384	813	725	486	285	655	911	864	458	638	634	250	295	327	1181	1062	986	999	709	263	584	271	418	418									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37650	1800	1800	1700	1100	1000	600	1800	1000	1100	2200	1400	800	1800	600	2400	1400	700	1300	800	600	400	250	600	900	800	400	600	600	200	250	300	1100	1000	900	1000	700	200	550	200	400	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17172	652	733	646	432	348	305	874	511	483	1042	660	330	923	271	1020	656	300	648	350	401	263	141	306	400	342	198	254	290	89	160	206	422	469	410	388	333	140	309	106	185	176									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	891	13	8	2	3	8	1	6	2	23	12	35	8	17	3	6	5	5	5	21	3	40	5	20	44	91	44	46	13	30	8	10	31	32	28	159	24	7	9	8	17	39									
6	Число погашенных избирательных бюллетеней	19587	1135	1059	1052	665	644	294	920	487	594	1146	705	462	860	326	1374	739	395	647	429	196	97	104	274	456	367	158	300	297	81	82	84	647	499	462	453	343	53	232	86	198	185									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	891	13	8	2	3	8	1	6	2	23	12	35	8	17	3	6	5	5	5	21	3	40	5	20	44	91	44	46	13	30	8	10	31	32	28	159	24	7	9	8	17	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17160	649	733	644	432	348	304	874	511	483	1040	659	330	923	271	1020	656	299	648	350	401	263	141	306	400	342	198	254	289	89	160	206	422	468	410	388	333	140	309	106	185	176									
9	Число недействительных избирательных бюллетеней	920	37	47	39	28	15	18	61	10	20	57	54	26	25	13	47	23	22	35	33	8	15	6	11	21	28	18	14	18	5	5	3	21	33	18	21	11	3	25	10	6	10									
10	Число действительных избирательных бюллетеней	17131	625	694	607	407	341	287	819	503	486	995	640	312	915	261	979	638	282	618	338	396	288	140	315	423	405	224	286	284	114	163	213	432	467	420	526	346	144	293	104	196	205									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1420	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	304	6	6	9	5	1	5	19	10	13	26	8	12	16	3	19	12	1	12	5	0	3	9	3	19	2	6	15	0	1	1	12	3	15	8	8	3	6	1	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	195	6	10	8	3	7	6	4	6	4	15	15	14	5	16	12	1	5	5	0	4	0	5	4	3	9	4	2	3	2	0	2	3	1	3	5	0	0	2	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	1116	34	34	31	35	39	35	21	30	27	14	32	28	24	37	21	28	39	28	35	30	27	21	27	11	28	24	15	30	29	29	18	27	15	22	22	27	24	29	30	30	29									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	3	1	4	0	2	1	2	2	0	2	3	0	2	1	1	0	1	2	1	1	0	1	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	160	4	5	4	6	2	5	7	3	4	16	4	4	6	2	12	1	4	8	4	2	7	0	2	2	2	1	1	3	1	0	0	3	14	6	6	0	0	5	2	2	0									
		0.89%	0.60%	0.67%	0.62%	1.38%	0.56%	1.64%	0.80%	0.58%	0.79%	1.52%	0.58%	1.18%	0.64%	0.73%	1.17%	0.15%	1.32%	1.23%	1.08%	0.50%	2.31%	0.00%	0.61%	0.45%	0.46%	0.41%	0.33%	0.99%	0.84%	0.00%	0.00%	0.66%	2.80%	1.37%	1.10%	0.00%	0.00%	1.57%	1.75%	0.99%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	741	35	32	28	14	13	9	36	20	24	32	22	19	41	6	51	25	20	36	16	15	13	5	13	12	16	10	12	5	5	6	2	28	17	21	21	14	8	14	6	8	11									
		4.11%	5.29%	4.32%	4.33%	3.22%	3.65%	2.95%	4.09%	3.90%	4.74%	3.04%	3.17%	5.62%	4.36%	2.19%	4.97%	3.78%	6.58%	5.51%	4.31%	3.71%	4.29%	3.42%	3.99%	2.70%	3.70%	4.13%	4.00%	1.66%	4.20%	3.57%	0.93%	6.18%	3.40%	4.79%	3.84%	3.92%	5.44%	4.40%	5.26%	3.96%	5.12%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	260	13	9	8	6	6	4	13	6	11	14	15	5	17	3	23	8	7	9	8	3	0	2	0	8	4	1	4	6	3	1	4	9	4	6	5	3	3	2	0	6	1									
		1.44%	1.96%	1.21%	1.24%	1.38%	1.69%	1.31%	1.48%	1.17%	2.17%	1.33%	2.16%	1.48%	1.81%	1.09%	2.24%	1.21%	2.30%	1.38%	2.16%	0.74%	0.00%	1.37%	0.00%	1.80%	0.92%	0.41%	1.33%	1.99%	2.52%	0.60%	1.85%	1.99%	0.80%	1.37%	0.91%	0.84%	2.04%	0.63%	0.00%	2.97%	0.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8627	310	337	296	220	155	137	371	248	224	441	278	158	418	128	461	333	135	293	139	224	187	74	162	259	220	131	158	150	54	86	134	201	270	259	310	199	82	96	62	104	123									
		47.79%	46.83%	45.48%	45.82%	50.57%	43.54%	44.92%	42.16%	48.34%	44.27%	41.92%	40.06%	46.75%	44.47%	46.72%	44.93%	50.38%	44.41%	44.87%	37.47%	55.45%	61.72%	50.68%	49.69%	58.33%	50.81%	54.13%	52.67%	49.67%	45.38%	51.19%	62.04%	44.37%	54.00%	59.13%	56.67%	55.74%	55.78%	30.19%	54.39%	51.49%	57.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	69	0	1	1	2	1	6	3	5	2	7	4	1	2	0	1	2	0	3	0	1	3	1	1	1	4	2	1	1	0	0	0	5	2	0	3	0	0	0	0	0	3									
		0.38%	0.00%	0.13%	0.15%	0.46%	0.28%	1.97%	0.34%	0.97%	0.40%	0.67%	0.58%	0.30%	0.21%	0.00%	0.10%	0.30%	0.00%	0.46%	0.00%	0.25%	0.99%	0.68%	0.31%	0.23%	0.92%	0.83%	0.33%	0.33%	0.00%	0.00%	0.00%	1.10%	0.40%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	1.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	37	2	1	0	1	2	1	1	0	1	2	1	2	0	0	1	1	1	1	5	0	2	0	1	0	1	0	0	0	0	0	0	2	3	1	2	0	1	0	0	0	1									
		0.20%	0.30%	0.13%	0.00%	0.23%	0.56%	0.33%	0.11%	0.00%	0.20%	0.19%	0.14%	0.59%	0.00%	0.00%	0.10%	0.15%	0.33%	0.15%	1.35%	0.00%	0.66%	0.00%	0.31%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.60%	0.23%	0.37%	0.00%	0.68%	0.00%	0.00%	0.00%	0.47%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2426	108	118	93	53	63	42	100	68	54	149	84	39	115	38	130	90	43	74	47	68	20	18	37	61	81	27	47	53	17	14	30	84	75	39	75	58	15	33	13	40	13									
		13.44%	16.31%	15.92%	14.40%	12.18%	17.70%	13.77%	11.36%	13.26%	10.67%	14.16%	12.10%	11.54%	12.23%	13.87%	12.67%	13.62%	14.14%	11.33%	12.67%	16.83%	6.60%	12.33%	11.35%	13.74%	18.71%	11.16%	15.67%	17.55%	14.29%	8.33%	13.89%	18.54%	15.00%	8.90%	13.71%	16.25%	10.20%	10.38%	11.40%	19.80%	6.05%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	66	3	3	2	3	1	0	4	4	1	5	3	0	2	1	7	2	1	5	2	1	2	0	2	1	0	2	0	1	1	0	0	0	0	1	2	2	2	0	0	0	0									
		0.37%	0.45%	0.40%	0.31%	0.69%	0.28%	0.00%	0.45%	0.78%	0.20%	0.48%	0.43%	0.00%	0.21%	0.36%	0.68%	0.30%	0.33%	0.77%	0.54%	0.25%	0.66%	0.00%	0.61%	0.23%	0.00%	0.83%	0.00%	0.33%	0.84%	0.00%	0.00%	0.00%	0.00%	0.23%	0.37%	0.56%	1.36%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	103	3	6	6	1	2	2	6	10	4	10	5	2	4	4	2	2	3	3	4	2	2	0	2	1	1	1	4	0	2	0	2	2	2	0	2	0	0	0	0	0	1									
		0.57%	0.45%	0.81%	0.93%	0.23%	0.56%	0.66%	0.68%	1.95%	0.79%	0.95%	0.72%	0.59%	0.43%	1.46%	0.19%	0.30%	0.99%	0.46%	1.08%	0.50%	0.66%	0.00%	0.61%	0.23%	0.23%	0.41%	1.33%	0.00%	1.68%	0.00%	0.93%	0.44%	0.40%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	1	2	0	0	0	1	1	1	0	0	0	0	1	0	4	1	1	1	0	0	1	0	1									
		0.13%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.10%	0.14%	0.30%	0.11%	0.00%	0.10%	0.15%	0.00%	0.00%	0.27%	0.50%	0.00%	0.00%	0.00%	0.23%	0.23%	0.41%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.80%	0.23%	0.18%	0.28%	0.00%	0.00%	0.88%	0.00%	0.47%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	178	5	5	14	2	2	7	9	3	8	10	7	3	14	2	15	5	3	13	2	2	4	0	1	8	1	2	1	2	3	1	0	5	5	2	6	0	1	3	0	1	1									
		0.99%	0.76%	0.67%	2.17%	0.46%	0.56%	2.30%	1.02%	0.58%	1.58%	0.95%	1.01%	0.89%	1.49%	0.73%	1.46%	0.76%	0.99%	1.99%	0.54%	0.50%	1.32%	0.00%	0.31%	1.80%	0.23%	0.83%	0.33%	0.66%	2.52%	0.60%	0.00%	1.10%	1.00%	0.46%	1.10%	0.00%	0.68%	0.94%	0.00%	0.50%	0.47%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3116	106	132	102	72	65	48	156	83	80	182	139	50	183	48	179	121	48	128	75	55	38	24	79	56	60	31	46	52	25	49	24	72	55	75	72	62	28	129	19	24	44									
		17.26%	16.01%	17.81%	15.79%	16.55%	18.26%	15.74%	17.73%	16.18%	15.81%	17.30%	20.03%	14.79%	19.47%	17.52%	17.45%	18.31%	15.79%	19.60%	20.22%	13.61%	12.54%	16.44%	24.23%	12.61%	13.86%	12.81%	15.33%	17.22%	21.01%	29.17%	11.11%	15.89%	11.00%	17.12%	13.16%	17.37%	19.05%	40.57%	16.67%	11.88%	20.47%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	49	0	3	0	0	1	0	1	3	2	5	2	0	2	2	3	0	0	2	0	4	1	0	1	1	2	2	3	0	0	0	0	0	0	1	1	0	0	3	1	3	0									
