Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Калевальская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219					
1	"Число избирателей, внесенных в списки"	8403	2846	1678	346	1876	364	544	396	353					
2	"Число бюллетеней, полученных участковыми комиссиями"	8000	2545	1605	340	1850	370	560	390	340					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	103	72	31	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4767	1615	886	208	951	274	354	260	219					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	320	82	72	23	56	16	26	26	19					
6	Число погашенных бюллетеней	2810	776	616	109	843	80	180	104	102					
7	Число бюллетеней в переносных ящиках для голосования	423	154	103	23	56	16	26	26	19					
8	Число бюллетеней в стационарных ящиках для голосования	4769	1615	884	208	950	274	354	260	224					
9	Число недействительных бюллетеней	70	15	15	10	10	4	7	5	4					
10	Число действительных бюллетеней	5122	1754	972	221	996	286	373	281	239					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	192	27	30	20	30	20	20	25	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	97	22	10	6	14	12	7	24	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	12	6	4	3	2	4	0	0					
14	Число погашенных открепительных удостоверений	95	5	20	14	16	8	13	1	18					
15	Число открепительных удостоверений выданных ТИК	8	6	2	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	98	32	21	10	13	4	10	6	2					
		1.88%	1.80%	2.12%	4.32%	1.29%	1.37%	2.63%	2.09%	0.82%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	210	48	37	3	58	11	45	3	5					
		4.04%	2.71%	3.74%	1.29%	5.76%	3.79%	11.84%	1.04%	2.05%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	136	27	20	10	33	14	10	17	5					
		2.61%	1.52%	2.02%	4.32%	3.28%	4.82%	2.63%	5.94%	2.05%					
