Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																		
Дата голосования: 18.09.2016																		
																		
Наименование Избирательной комиссии:    Хасынская																		
																		
Сводная таблица итогов голосования по федеральному избирательному округу																		
																		
		Сумма	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4982	1123	314	831	995	1162	269	288									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5980	1493	362	1094	1126	1336	275	294									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2845	789	155	461	463	693	74	210									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	76	20	0	21	16	8	10	1									
6	Число погашенных избирательных бюллетеней	3059	684	207	612	647	635	191	83									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	76	20	0	21	16	8	10	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2845	789	155	461	463	693	74	210									
9	Число недействительных избирательных бюллетеней	56	12	5	10	9	11	1	8									
10	Число действительных избирательных бюллетеней	2865	797	150	472	470	690	83	203									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	198	26	13	3	20	25	101	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	171	26	5	3	20	25	88	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	57	1	1	6	7	31	1	10									
14	Число погашенных неиспользованных открепительных удостоверений	27	0	8	0	0	0	13	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	5	11	5	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0									
																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	26	8	1	6	4	3	0	4									
		0.89%	0.99%	0.65%	1.24%	0.84%	0.43%	0.00%	1.90%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	89	30	9	9	11	16	5	9									
		3.05%	3.71%	5.81%	1.87%	2.30%	2.28%	5.95%	4.27%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	71	19	1	15	8	23	2	3									
		2.43%	2.35%	0.65%	3.11%	1.67%	3.28%	2.38%	1.42%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1463	443	53	249	228	375	42	73									
		50.09%	54.76%	34.19%	51.66%	47.60%	53.50%	50.00%	34.60%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	4	0	3	2	6	0	3									
		0.62%	0.49%	0.00%	0.62%	0.42%	0.86%	0.00%	1.42%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	2	1	1	0	0	0	4									
		0.27%	0.25%	0.65%	0.21%	0.00%	0.00%	0.00%	1.90%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	628	139	52	110	115	147	13	52									
		21.50%	17.18%	33.55%	22.82%	24.01%	20.97%	15.48%	24.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	4	0	5	2	3	1	1									
		0.55%	0.49%	0.00%	1.04%	0.42%	0.43%	1.19%	0.47%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	24	5	2	6	2	6	1	2									
		0.82%	0.62%	1.29%	1.24%	0.42%	0.86%	1.19%	0.95%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	1	0	0	0	0	0	1									
		0.07%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	3	2	2	5	2	0	1									
		0.51%	0.37%	1.29%	0.41%	1.04%	0.29%	0.00%	0.47%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	354	100	21	46	59	73	18	37									
		12.12%	12.36%	13.55%	9.54%	12.32%	10.41%	21.43%	17.54%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	3	1	0	1	3	0	0									
		0.27%	0.37%	0.65%	0.00%	0.21%	0.43%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	143	36	7	20	33	33	1	13									
		4.90%	4.45%	4.52%	4.15%	6.89%	4.71%	1.19%	6.16%									
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
