Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Цивильская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24434	540	205	94	260	593	356	346	144	233	196	542	193	182	236	650	248	199	387	553	347	489	956	379	186	187	288	130	151	355	368	174	575	285	357	221	175	167	233	623	390	401	535	164	243	366	1101	1005	920	586	1138	1302	1139	1093	1036	212									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24432	550	220	90	260	610	360	360	150	220	195	550	200	185	230	640	245	200	360	560	340	490	980	380	180	190	290	130	150	350	360	175	570	280	370	220	175	170	240	650	400	420	570	175	245	375	1100	980	900	580	1100	1300	1100	1100	1000	212									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15640	365	118	65	154	387	205	231	106	136	148	457	157	143	191	526	168	158	242	348	233	306	660	252	142	110	183	68	95	264	250	116	413	173	293	165	141	131	167	428	247	229	323	118	140	274	705	565	546	329	628	756	610	533	530	212									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1918	62	45	15	44	54	67	37	11	23	20	6	18	24	24	59	37	14	40	103	35	73	48	9	18	60	30	29	14	44	58	29	27	41	7	31	14	17	22	47	79	86	87	13	45	16	39	22	14	9	13	16	45	30	48	0									
6	Число погашенных избирательных бюллетеней	6874	123	57	10	62	169	88	92	33	61	27	87	25	18	15	55	40	28	78	109	72	111	272	119	20	20	77	33	41	42	52	30	130	66	70	24	20	22	51	175	74	105	160	44	60	85	356	393	340	242	459	528	445	537	422	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1918	62	45	15	44	54	67	37	11	23	20	6	18	24	24	59	37	14	40	103	35	73	48	9	18	60	30	29	14	44	58	29	27	41	7	31	14	17	22	47	79	86	87	13	45	16	39	22	14	9	13	16	45	30	48	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15633	365	118	65	154	387	205	231	106	135	148	457	157	143	191	524	168	157	242	348	233	306	660	252	142	110	183	68	95	264	250	116	413	173	293	165	141	131	167	428	247	229	323	118	140	274	704	565	546	328	628	755	610	533	530	212									
9	Число недействительных избирательных бюллетеней	628	31	3	1	9	27	11	2	4	4	8	13	8	2	8	23	9	2	11	12	9	10	26	8	10	12	13	2	5	15	11	4	22	9	15	6	5	4	6	23	11	4	21	6	4	11	19	24	20	7	15	16	14	14	31	8									
10	Число действительных избирательных бюллетеней	16923	396	160	79	189	414	261	266	113	154	160	450	167	165	207	560	196	169	271	439	259	369	682	253	150	158	200	95	104	293	297	141	418	205	285	190	150	144	183	452	315	311	389	125	181	279	724	563	540	330	626	755	641	549	547	204									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	867	32	14	8	16	20	11	18	9	11	10	28	12	8	7	23	8	14	7	24	10	15	37	14	1	4	8	3	3	15	7	12	25	8	23	9	10	8	14	37	14	15	30	15	10	12	40	15	16	12	23	35	18	32	37	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	830	32	14	8	16	20	11	18	9	11	7	27	12	7	7	23	8	14	6	24	10	15	37	13	1	4	8	1	3	15	7	11	25	8	23	9	10	8	14	37	14	15	30	15	10	12	40	14	16	7	16	31	15	29	33	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	323	6	2	8	7	6	6	4	2	2	6	8	3	8	11	8	8	7	4	4	6	1	7	4	3	1	4	2	2	6	15	6	6	2	5	2	9	5	1	4	1	1	30	4	2	0	11	11	6	6	7	5	12	17	4	5									
14	Число погашенных неиспользованных открепительных удостоверений	37	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	7	4	3	3	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	211	4	0	1	0	9	3	4	1	1	3	12	3	7	8	9	1	1	1	2	0	5	4	0	0	1	8	0	1	7	0	2	0	0	6	2	3	0	3	3	0	7	7	0	1	1	8	5	12	3	8	13	9	9	13	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	154	3	1	0	2	4	3	2	1	0	0	3	1	1	2	7	2	1	6	6	5	5	8	0	1	1	1	1	1	0	2	2	6	3	1	1	1	2	1	8	3	1	6	1	0	6	10	5	6	4	4	3	3	3	0	4									
		0.88%	0.70%	0.61%	0.00%	1.01%	0.91%	1.10%	0.75%	0.85%	0.00%	0.00%	0.65%	0.57%	0.60%	0.93%	1.20%	0.98%	0.58%	2.13%	1.33%	1.87%	1.32%	1.13%	0.00%	0.63%	0.59%	0.47%	1.03%	0.92%	0.00%	0.65%	1.38%	1.36%	1.40%	0.33%	0.51%	0.65%	1.35%	0.53%	1.68%	0.92%	0.32%	1.46%	0.76%	0.00%	2.07%	1.35%	0.85%	1.07%	1.19%	0.62%	0.39%	0.46%	0.53%	0.00%	1.89%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	394	19	7	3	3	5	4	4	5	3	4	13	5	0	8	13	5	3	8	14	5	6	14	6	5	5	2	1	8	4	0	5	12	5	8	6	2	2	5	12	7	5	9	4	5	8	31	5	8	8	8	13	15	17	8	4									
		2.24%	4.45%	4.29%	3.75%	1.52%	1.13%	1.47%	1.49%	4.27%	1.90%	2.38%	2.81%	2.86%	0.00%	3.72%	2.23%	2.44%	1.75%	2.84%	3.10%	1.87%	1.58%	1.98%	2.30%	3.13%	2.94%	0.94%	1.03%	7.34%	1.30%	0.00%	3.45%	2.73%	2.34%	2.67%	3.06%	1.29%	1.35%	2.65%	2.53%	2.15%	1.59%	2.20%	3.05%	2.70%	2.76%	4.17%	0.85%	1.43%	2.37%	1.25%	1.69%	2.29%	3.02%	1.38%	1.89%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	434	7	2	0	4	7	3	5	5	4	5	2	4	6	2	7	4	6	13	12	11	8	25	12	1	0	9	4	3	5	9	6	15	3	7	2	6	1	1	13	15	4	14	3	4	8	26	17	12	13	17	13	19	11	14	5									
		2.47%	1.64%	1.23%	0.00%	2.02%	1.59%	1.10%	1.87%	4.27%	2.53%	2.98%	0.43%	2.29%	3.59%	0.93%	1.20%	1.95%	3.51%	4.61%	2.66%	4.10%	2.11%	3.53%	4.60%	0.63%	0.00%	4.23%	4.12%	2.75%	1.62%	2.92%	4.14%	3.41%	1.40%	2.33%	1.02%	3.87%	0.68%	0.53%	2.74%	4.60%	1.27%	3.41%	2.29%	2.16%	2.76%	3.50%	2.90%	2.14%	3.86%	2.65%	1.69%	2.90%	1.95%	2.42%	2.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9374	196	113	43	103	252	157	160	62	87	95	296	88	110	145	307	113	86	132	271	141	245	345	103	104	105	135	46	75	216	200	71	225	133	179	116	101	83	118	278	185	191	180	73	106	149	365	261	263	135	329	380	303	268	244	107									
