Выборы Президента Российской Федерации																																																													
																																																													
"Наименование Избирательной комиссии:    Пенза, Первомайская"																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730					
1	"Число избирателей, внесенных в список"	103653	491	325	201	115	2342	2561	2889	2854	2179	2154	1750	2044	2049	2274	1844	2604	694	2809	2590	2505	2863	2600	2402	735	2475	1019	1369	2062	1839	1579	375	2886	2797	2821	2719	375	1606	2272	955	1288	2360	2082	2606	2178	1220	2464	1771	2207	2066	2935	2263	2642	1957	591					
2	Число полученных избирательных бюллетеней	99939	470	330	215	114	2300	2700	2900	2700	2100	2000	1700	2000	2000	2200	1800	2500	650	2700	2500	2400	2700	2500	2300	700	2400	1000	1300	2000	1800	1500	400	2800	2700	2700	2600	360	1500	2200	950	1200	2300	2000	2500	2100	1100	2400	1700	2100	2000	2800	2200	2500	1800	550					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	58545	309	325	164	113	1466	1537	1831	1886	1388	1274	1044	1429	1201	1466	897	1191	367	1507	1470	1519	1645	1368	1240	321	1297	483	736	897	908	810	293	1632	1475	1614	1450	293	898	1450	469	703	1198	996	1290	1168	631	1342	1020	1269	1243	1745	1237	1618	1097	325					
5	"Число избирательных бюллетеней, выданных вне помещения"	2954	90	0	37	1	83	41	71	158	68	72	76	70	45	52	68	125	26	50	40	51	53	44	51	74	20	56	8	82	64	7	80	57	76	86	75	31	72	67	56	21	90	66	92	71	64	28	21	17	12	48	32	29	68	12					
6	Число погашенных избирательных бюллетеней	38440	71	5	14	0	751	1122	998	656	644	654	580	501	754	682	835	1184	257	1143	990	830	1002	1088	1009	305	1083	461	556	1021	828	683	27	1111	1149	1000	1075	36	530	683	425	476	1012	938	1118	861	405	1030	659	814	745	1007	931	853	635	213					
7	Число избирательных бюллетеней в переносных ящиках	2954	90	0	37	1	83	41	71	158	68	72	76	70	45	52	68	125	26	50	40	51	53	44	51	74	20	56	8	82	64	7	80	57	76	86	75	31	72	67	56	21	90	66	92	71	64	28	21	17	12	48	32	29	68	12					
8	Число бюллетеней в стационарных ящиках для голосования	58489	309	325	164	113	1465	1537	1828	1873	1384	1246	1044	1429	1201	1465	897	1191	367	1507	1470	1519	1645	1368	1237	321	1296	483	736	897	908	810	293	1632	1475	1614	1449	293	898	1450	469	703	1198	996	1290	1167	631	1342	1020	1269	1243	1745	1237	1618	1097	325					
9	Число недействительных избирательных бюллетеней	553	5	2	4	1	7	12	13	11	10	7	6	7	6	15	13	17	2	8	8	8	18	19	10	7	18	6	12	11	8	5	3	14	14	26	15	6	12	10	5	9	7	11	29	17	13	18	10	4	1	15	16	13	8	1					
10	Число действительных избирательных бюллетеней	60890	394	323	197	113	1541	1566	1886	2020	1442	1311	1114	1492	1240	1502	952	1299	391	1549	1502	1562	1680	1393	1278	388	1298	533	732	968	964	812	370	1675	1537	1674	1509	318	958	1507	520	715	1281	1051	1353	1221	682	1352	1031	1282	1254	1778	1253	1634	1157	336					
11	Число полученных открепительных  удостоверений	1870	0	0	0	0	200	170	40	55	25	35	30	25	35	60	20	40	10	35	50	55	45	30	40	10	30	15	20	35	25	30	0	35	45	35	50	0	20	30	10	20	45	40	30	30	30	40	20	30	35	50	30	40	30	10					
12	Число выданных открепительных удостоверений	1458	0	0	0	0	180	153	37	40	23	26	23	20	28	50	15	22	7	32	39	38	38	26	26	6	24	12	10	22	17	17	0	31	35	34	41	0	19	27	7	14	31	26	19	16	7	33	16	18	24	38	22	36	27	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1256	208	100	112	84	62	26	17	15	13	17	15	18	6	18	16	2	5	18	3	9	9	4	14	9	5	5	6	3	7	13	160	29	13	20	16	26	15	17	6	6	6	3	14	8	5	8	3	5	13	6	8	19	3	8					
14	Число неиспользованных открепительных удостоверений	412	0	0	0	0	20	17	3	15	2	9	7	5	7	10	5	18	3	3	11	17	7	4	14	4	6	3	10	13	8	13	0	4	10	1	9	0	1	3	3	6	14	14	11	14	23	7	4	12	11	12	8	4	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
18	. Глазьев Сергей Юрьевич	5722	28	19	14	5	153	143	167	158	156	121	143	148	146	213	95	103	37	146	165	157	163	154	110	31	130	45	73	80	72	68	27	134	117	165	218	10	83	138	38	63	148	90	95	112	64	120	73	118	147	150	91	158	76	44					
		9.31%	7.02%	5.85%	6.97%	4.39%	9.88%	9.06%	8.79%	7.78%	10.74%	9.18%	12.77%	9.87%	11.72%	14.04%	9.84%	7.83%	9.41%	9.38%	10.93%	10.00%	9.60%	10.91%	8.54%	7.85%	9.88%	8.35%	9.81%	8.17%	7.41%	8.32%	7.24%	7.93%	7.54%	9.71%	14.30%	3.09%	8.56%	9.10%	7.24%	8.70%	11.49%	8.47%	6.87%	9.05%	9.21%	8.76%	7.01%	9.18%	11.71%	8.37%	7.17%	9.59%	6.52%	13.06%					
19	. Малышкин Олег Александрович	1379	4	4	7	2	36	30	37	44	14	25	18	29	23	19	14	42	6	37	35	31	24	46	38	7	41	12	23	28	25	31	10	44	32	34	31	12	31	17	15	19	30	33	44	26	18	16	27	27	34	37	29	37	38	6					
		2.24%	1.00%	1.23%	3.48%	1.75%	2.33%	1.90%	1.95%	2.17%	0.96%	1.90%	1.61%	1.93%	1.85%	1.25%	1.45%	3.19%	1.53%	2.38%	2.32%	1.97%	1.41%	3.26%	2.95%	1.77%	3.12%	2.23%	3.09%	2.86%	2.57%	3.79%	2.68%	2.61%	2.06%	2.00%	2.03%	3.70%	3.20%	1.12%	2.86%	2.62%	2.33%	3.11%	3.18%	2.10%	2.59%	1.17%	2.59%	2.10%	2.71%	2.06%	2.29%	2.25%	3.26%	1.78%					
20	. Миронов Сергей Михайлович	670	4	8	4	2	15	14	19	19	13	18	19	14	15	12	12	13	4	22	30	29	25	16	12	11	17	4	7	6	6	10	7	26	9	11	5	5	8	10	4	2	12	5	12	8	9	10	9	18	21	17	19	27	12	4					
		1.09%	1.00%	2.46%	1.99%	1.75%	0.97%	0.89%	1.00%	0.94%	0.90%	1.37%	1.70%	0.93%	1.20%	0.79%	1.24%	0.99%	1.02%	1.41%	1.99%	1.85%	1.47%	1.13%	0.93%	2.78%	1.29%	0.74%	0.94%	0.61%	0.62%	1.22%	1.88%	1.54%	0.58%	0.65%	0.33%	1.54%	0.82%	0.66%	0.76%	0.28%	0.93%	0.47%	0.87%	0.65%	1.29%	0.73%	0.86%	1.40%	1.67%	0.95%	1.50%	1.64%	1.03%	1.19%					
21	. Путин Владимир Владимирович	36293	240	235	129	71	961	1022	1205	1282	881	776	626	900	642	865	605	794	261	912	887	873	1019	778	689	232	804	310	425	538	582	481	229	996	870	992	862	242	520	886	310	418	763	650	849	705	400	805	616	758	776	1103	740	908	686	184					
		59.07%	60.15%	72.31%	64.18%	62.28%	62.08%	64.77%	63.45%	63.12%	60.67%	58.88%	55.89%	60.04%	51.52%	57.02%	62.69%	60.33%	66.41%	58.57%	58.74%	55.61%	60.01%	55.10%	53.49%	58.73%	61.09%	57.51%	57.12%	54.95%	59.88%	58.87%	61.39%	58.97%	56.09%	58.35%	56.56%	74.69%	53.61%	58.40%	59.05%	57.73%	59.24%	61.21%	61.43%	56.95%	57.55%	58.76%	59.17%	58.94%	61.83%	61.52%	58.31%	55.13%	58.88%	54.60%					
22	. Хакамада Ирина Муцуовна	2439	11	15	7	3	67	70	88	77	67	82	52	53	70	75	26	42	13	73	62	65	89	52	65	14	40	9	25	29	27	42	16	60	60	64	64	5	49	59	21	26	46	42	43	38	17	56	34	58	42	62	40	60	49	18					
		3.97%	2.76%	4.62%	3.48%	2.63%	4.33%	4.44%	4.63%	3.79%	4.61%	6.22%	4.64%	3.54%	5.62%	4.94%	2.69%	3.19%	3.31%	4.69%	4.11%	4.14%	5.24%	3.68%	5.05%	3.54%	3.04%	1.67%	3.36%	2.96%	2.78%	5.14%	4.29%	3.55%	3.87%	3.76%	4.20%	1.54%	5.05%	3.89%	4.00%	3.59%	3.57%	3.95%	3.11%	3.07%	2.45%	4.09%	3.27%	4.51%	3.35%	3.46%	3.15%	3.64%	4.21%	5.34%					
23	. Харитонов Николай Михайлович	11390	81	22	24	23	219	191	246	313	255	225	215	292	284	248	158	250	58	262	238	320	269	268	296	77	194	139	140	247	203	143	61	325	387	355	264	32	218	337	103	159	232	189	254	281	151	280	217	217	169	308	289	350	245	67					
		18.54%	20.30%	6.77%	11.94%	20.18%	14.15%	12.10%	12.95%	15.41%	17.56%	17.07%	19.20%	19.48%	22.79%	16.35%	16.37%	19.00%	14.76%	16.83%	15.76%	20.38%	15.84%	18.98%	22.98%	19.49%	14.74%	25.79%	18.82%	25.23%	20.88%	17.50%	16.35%	19.24%	24.95%	20.88%	17.32%	9.88%	22.47%	22.21%	19.62%	21.96%	18.01%	17.80%	18.38%	22.70%	21.73%	20.44%	20.85%	16.87%	13.47%	17.18%	22.77%	21.25%	21.03%	19.88%					
																																																													
24	Против всех	2997	26	20	12	7	90	96	124	127	56	64	41	56	60	70	42	55	12	97	85	87	91	79	68	16	72	14	39	40	49	37	20	90	62	53	65	12	49	60	29	28	50	42	56	51	23	65	55	86	65	101	45	94	51	13					
		4.88%	6.52%	6.15%	5.97%	6.14%	5.81%	6.08%	6.53%	6.25%	3.86%	4.86%	3.66%	3.74%	4.82%	4.61%	4.35%	4.18%	3.05%	6.23%	5.63%	5.54%	5.36%	5.59%	5.28%	4.05%	5.47%	2.60%	5.24%	4.09%	5.04%	4.53%	5.36%	5.33%	4.00%	3.12%	4.27%	3.70%	5.05%	3.96%	5.52%	3.87%	3.88%	3.95%	4.05%	4.12%	3.31%	4.74%	5.28%	6.69%	5.18%	5.63%	3.55%	5.71%	4.38%	3.86%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
