Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Шаройская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1810	171	28	100	304	52	27	31	42	115	20	355	379	186									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1790	171	28	100	304	52	27	30	42	115	20	355	361	185									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1688	161	24	84	290	46	23	27	37	105	16	342	354	179									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	65	7	2	8	9	3	2	1	3	7	3	9	6	5									
6	Число погашенных избирательных бюллетеней	37	3	2	8	5	3	2	2	2	3	1	4	1	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	65	7	2	8	9	3	2	1	3	7	3	9	6	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1688	161	24	84	290	46	23	27	37	105	16	342	354	179									
9	Число недействительных избирательных бюллетеней	9	1	1	1	1	1	1	0	0	1	0	1	1	0									
10	Число действительных избирательных бюллетеней	1744	167	25	91	298	48	24	28	40	111	19	350	359	184									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	100	10	3	8	12	5	2	3	3	10	2	15	15	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	100	10	3	8	12	5	2	3	3	10	2	15	15	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	21	1	1	1	4	1	1	0	1	2	0	4	3	2									
		1.20%	0.60%	3.85%	1.09%	1.34%	2.04%	4.00%	0.00%	2.50%	1.79%	0.00%	1.14%	0.83%	1.09%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	65	9	1	4	10	1	0	1	1	2	1	16	11	8									
		3.71%	5.36%	3.85%	4.35%	3.34%	2.04%	0.00%	3.57%	2.50%	1.79%	5.26%	4.56%	3.06%	4.35%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	3	1	0	0	1	0	0	0	0	0	0	0	1	0									
		0.17%	0.60%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1382	133	17	69	241	39	18	24	34	89	14	283	291	130									
