Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Рыбно-Слободская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21353	1289	1322	1038	598	1145	695	579	314	264	184	201	617	376	820	444	401	159	255	202	240	369	163	508	917	479	922	417	207	579	535	354	574	649	286	439	284	216	130	185	136	149	145	281	132	377	375	402									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21723	1321	1362	1045	610	1163	711	588	318	270	185	202	624	384	830	447	405	163	256	207	242	371	164	514	926	483	940	456	210	596	543	358	581	660	280	445	290	219	132	184	143	150	150	288	133	383	381	410									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20339	1241	1291	959	572	1099	650	562	312	264	179	197	616	369	675	431	392	159	242	192	239	363	153	482	876	441	851	397	204	540	523	332	562	638	254	374	274	200	124	184	136	149	145	270	130	352	361	383									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	611	20	7	43	9	19	18	0	0	0	0	0	0	0	140	0	0	0	13	10	0	6	8	20	22	23	44	12	0	39	1	15	5	0	26	58	6	11	6	0	0	0	0	0	0	14	7	9									
6	Число погашенных избирательных бюллетеней	773	60	64	43	29	45	43	26	6	6	6	5	8	15	15	16	13	4	1	5	3	2	3	12	28	19	45	47	6	17	19	11	14	22	0	13	10	8	2	0	7	1	5	18	3	17	13	18									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	607	20	7	43	9	19	18	0	0	0	0	0	0	0	140	0	0	0	13	10	0	6	8	20	22	23	40	12	0	39	1	15	5	0	26	58	6	11	6	0	0	0	0	0	0	14	7	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20333	1241	1291	959	572	1099	650	562	312	264	179	197	616	369	675	431	392	159	242	192	239	363	153	482	876	441	845	397	204	540	523	332	562	638	254	374	274	200	124	184	136	149	145	270	130	352	361	383									
9	Число недействительных избирательных бюллетеней	15	2	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
10	Число действительных избирательных бюллетеней	20925	1259	1298	1000	581	1118	666	562	312	264	179	197	614	369	815	431	392	159	255	202	239	369	161	502	896	464	884	409	204	578	524	345	567	638	280	432	280	211	130	184	136	149	145	270	130	366	368	391									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	341	25	36	23	13	27	15	5	5	3	3	3	5	5	10	5	5	3	5	4	5	5	3	5	15	5	17	5	1	5	5	5	5	8	0	5	5	3	3	3	3	3	3	6	2	5	5	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	275	25	35	11	12	23	15	5	4	3	0	3	5	5	8	5	5	3	0	3	0	3	0	5	5	5	17	4	1	5	5	0	5	8	0	5	5	3	0	0	3	3	3	6	0	3	5	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	105	4	3	9	4	7	2	2	2	1	1	4	2	0	4	5	2	1	1	1	1	3	1	2	3	2	3	3	1	2	1	0	2	0	5	1	1	2	1	3	0	5	1	1	1	1	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	66	0	1	12	1	4	0	0	1	0	3	0	0	0	2	0	0	0	5	1	5	2	3	0	10	0	0	1	0	0	0	5	0	0	0	0	0	0	3	3	0	0	0	0	2	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	55	2	3	12	0	9	5	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	1	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0									
		0.26%	0.16%	0.23%	1.20%	0.00%	0.81%	0.75%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.36%	0.24%	0.00%	0.35%	0.38%	0.00%	0.18%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%									
