Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Звенигородская городская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18727	2771	1390	984	1568	747	1616	2019	417	283	2637	2401	218	1676									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14124	2000	1050	750	1200	550	1200	1500	300	235	2059	1800	180	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6504	998	437	281	559	233	659	654	169	115	1014	805	103	477									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	227	111	4	16	11	0	9	31	13	1	11	10	9	1									
6	Число погашенных избирательных бюллетеней	7393	891	609	453	630	317	532	815	118	119	1034	985	68	822									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	227	111	4	16	11	0	9	31	13	1	11	10	9	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6503	998	437	281	559	233	659	654	169	115	1014	805	103	476									
9	Число недействительных избирательных бюллетеней	344	143	13	6	21	10	29	31	3	3	34	39	2	10									
10	Число действительных избирательных бюллетеней	6386	966	428	291	549	223	639	654	179	113	991	776	110	467									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	20	20	20	20	20	20	20	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	109	4	16	8	17	3	7	9	1	1	18	15	0	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	284	20	16	12	13	19	40	6	57	17	24	40	7	13									
14	Число погашенных неиспользованных открепительных удостоверений	151	16	4	12	3	17	13	11	19	19	2	5	20	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	5	8	3	7	1	4	5	2	0	1	8	0	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	147	26	10	7	9	6	14	15	4	2	13	20	4	17									
		2.18%	2.34%	2.27%	2.36%	1.58%	2.58%	2.10%	2.19%	2.20%	1.72%	1.27%	2.45%	3.57%	3.56%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	184	24	14	4	16	7	16	18	8	1	39	25	3	9									
		2.73%	2.16%	3.17%	1.35%	2.81%	3.00%	2.40%	2.63%	4.40%	0.86%	3.80%	3.07%	2.68%	1.89%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	139	12	5	8	15	7	11	18	6	3	25	16	2	11									
		2.07%	1.08%	1.13%	2.69%	2.63%	3.00%	1.65%	2.63%	3.30%	2.59%	2.44%	1.96%	1.79%	2.31%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2606	456	184	111	204	101	245	240	58	53	381	321	50	202									
		38.72%	41.12%	41.72%	37.37%	35.79%	43.35%	36.68%	35.04%	31.87%	45.69%	37.17%	39.39%	44.64%	42.35%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	117	15	13	4	10	2	8	10	2	3	14	27	0	9									
