Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Юргамышская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №1117	УИК №1119	УИК №1120	УИК №1121	УИК №1123	УИК №1125	УИК №1126	УИК №1127	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16502	488	395	158	1009	630	729	200	923	344	523	137	109	592	291	305	292	572	272	216	114	444	134	150	1149	952	783	829	1347	717	648	1050									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15400	460	380	150	940	590	690	190	880	320	500	130	100	540	280	290	280	540	270	220	110	420	130	130	1060	860	710	780	1220	650	590	990									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5880	172	162	78	372	257	243	55	324	63	195	43	51	199	111	141	129	222	104	98	79	214	64	83	385	315	241	265	390	212	177	436									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1194	73	58	13	131	70	68	56	79	70	47	7	14	40	14	14	37	119	10	27	5	30	35	17	42	17	25	10	5	6	22	33									
6	Число погашенных избирательных бюллетеней	8326	215	160	59	437	263	379	79	477	187	258	80	35	301	155	135	114	199	156	95	26	176	31	30	633	528	444	505	825	432	391	521									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1194	73	58	13	131	70	68	56	79	70	47	7	14	40	14	14	37	119	10	27	5	30	35	17	42	17	25	10	5	6	22	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5877	172	162	78	372	257	243	55	324	63	195	43	51	199	111	141	129	222	104	98	79	214	64	83	382	315	241	265	390	212	177	436									
9	Число недействительных избирательных бюллетеней	107	3	4	1	8	7	2	0	3	0	7	0	0	5	4	3	1	3	3	2	4	4	2	0	6	8	1	5	5	3	5	8									
10	Число действительных избирательных бюллетеней	6964	242	216	90	495	320	309	111	400	133	235	50	65	234	121	152	165	338	111	123	80	240	97	100	418	324	265	270	390	215	194	461									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	310	7	7	5	20	7	10	5	15	5	7	5	5	7	5	5	5	8	5	10	5	7	10	5	20	20	15	15	20	15	15	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	121	7	7	5	6	5	1	1	15	0	3	0	0	1	1	1	2	6	2	10	3	4	10	2	3	3	2	4	4	2	2	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	71	2	0	1	1	3	2	1	0	3	0	1	0	2	2	3	2	1	1	1	1	3	1	10	6	11	2	2	4	0	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	189	0	0	0	14	2	9	4	0	5	4	5	5	6	4	4	3	2	3	0	2	3	0	3	17	17	13	11	16	13	13	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	6	5	5	3	6	0	2	8									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
