Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																		
Дата голосования: 04.12.2011																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Белореченская																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №698	УИК №699					
1	"Число избирателей, внесенных в список избирателей"	72311	855	2027	1473	2144	1430	1595	974	2085	1340	2334	1900	2101	1809	1802	1931	1921	2277	897	1989	2108	2156	611	1811	820	520	1778	440	1214	1119	872	528	491	361	456	811	888	597	152	183	140	1291	1234	1012	432	253	628	182	412	100	242	1200	1200	1200	173	110	548	645	260	127	700	1035	324	442	329	429	408	551	1116	185	160	1965	1279	639	110	450					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76758	1030	2050	1750	2130	1650	1850	920	2130	1700	2250	2050	2450	1750	2000	2050	2000	2450	1100	2200	2200	2200	650	2050	950	730	1800	400	1750	1150	1100	515	495	365	505	825	865	575	145	170	125	1270	1320	1050	430	235	720	175	375	95	255	1225	1220	1200	180	110	520	645	255	120	780	1050	330	420	355	455	445	575	1130	185	160	1975	1255	650	118	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	52927	591	969	940	935	1141	891	535	1144	880	1185	1809	1729	769	1350	1503	1525	1712	726	1461	1566	1505	468	1732	659	398	1355	295	971	1032	602	404	470	231	427	562	599	355	101	135	107	1104	808	839	350	220	582	162	282	90	168	1016	976	949	157	45	440	546	198	106	637	939	274	344	294	326	269	369	1087	171	149	1344	1084	543	110	180					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4682	102	72	43	43	31	33	14	67	73	81	72	77	27	73	99	31	86	21	50	120	112	20	42	21	56	268	80	49	75	50	90	6	50	29	74	67	86	36	19	16	122	81	122	56	15	46	4	38	5	62	40	104	119	16	65	49	99	23	14	28	44	33	38	35	70	62	70	29	14	11	513	65	44	0	85					
6	Число погашенных избирательных бюллетеней	19149	337	1009	767	1152	478	926	371	919	747	984	169	644	954	577	448	444	652	353	689	514	583	162	276	270	276	177	25	730	43	448	21	19	84	49	189	199	134	8	16	2	44	431	89	24	0	92	9	55	0	25	169	140	132	7	0	31	0	34	0	115	67	23	38	26	59	114	136	14	0	0	118	106	63	8	135					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4682	102	72	43	43	31	33	14	67	73	81	72	77	27	73	99	31	86	21	50	120	112	20	42	21	56	268	80	49	75	50	90	6	50	29	74	67	86	36	19	16	122	81	122	56	15	46	4	38	5	62	40	104	119	16	65	49	99	23	14	28	44	33	38	35	70	62	70	29	14	11	513	65	44	0	85					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	52883	591	969	929	935	1141	891	535	1144	880	1185	1809	1729	769	1350	1503	1525	1712	705	1461	1566	1505	468	1732	659	398	1355	295	971	1032	590	404	470	231	427	562	599	355	101	135	107	1104	808	839	350	220	582	162	282	90	168	1016	976	949	157	45	440	546	198	106	637	939	274	344	294	326	269	369	1087	171	149	1344	1084	543	110	180					
9	Число недействительных избирательных бюллетеней	609	0	11	14	15	2	13	9	21	2	18	0	28	8	0	2	6	7	5	11	6	7	4	1	7	15	16	22	12	1	0	0	11	3	3	10	0	5	2	6	7	15	49	0	0	0	17	5	7	2	1	0	0	0	0	3	5	13	1	0	27	24	2	18	9	2	8	8	49	0	0	20	10	0	1	3					
10	Число действительных избирательных бюллетеней	56956	693	1030	958	963	1170	911	540	1190	951	1248	1881	1778	788	1423	1600	1550	1791	721	1500	1680	1610	484	1773	673	439	1607	353	1008	1106	640	494	465	278	453	626	666	436	135	148	116	1211	840	961	406	235	611	161	313	93	229	1056	1080	1068	173	107	484	632	220	120	638	959	305	364	320	394	323	431	1067	185	160	1837	1139	587	109	262					
