Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Ачинская городская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №2146	УИК №2151	УИК №2152	УИК №2153	УИК №2155	УИК №2156	УИК №2157	УИК №2158					
1	"Число избирателей, внесенных в списки избирателей"	87164	2309	1975	2561	2192	2521	844	2227	1687	1324	880	1901	2546	2532	2723	2559	2621	2301	2287	1554	1200	1287	2133	2528	1087	1074	2400	2382	2559	2746	2781	2320	1697	2381	2102	2576	2238	2633	900	1174	1422	1286	365	2078	1708	102	103	10	215	133					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	63858	1650	1350	1750	1650	1700	600	1500	1100	950	650	1300	1550	1850	2000	2050	2000	1900	1850	1350	900	1100	1700	1850	750	750	1850	1950	1750	1850	1850	1550	1150	1700	1700	1850	1550	1750	650	900	1100	1100	386	1400	1450	103	108	11	215	135					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	57486	1561	1236	1669	1608	1608	447	1280	1041	849	565	1262	1433	1707	1919	1829	1782	1682	1585	1142	854	905	1501	1656	734	710	1688	1708	1683	1827	1781	1193	963	1593	1454	1704	1468	1652	547	741	959	891	365	1334	1137	22	75	3	0	133					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1714	26	41	24	11	51	13	56	31	17	21	20	33	38	25	56	46	45	51	19	17	21	24	91	14	18	25	32	41	22	32	33	21	28	41	38	38	26	48	18	9	8	0	33	82	80	28	7	215	0					
6	Число погашенных избирательных бюллетеней	4658	63	73	57	31	41	140	164	28	84	64	18	84	105	56	165	172	173	214	189	29	174	175	103	2	22	137	210	26	1	37	324	166	79	205	108	44	72	55	141	132	201	21	33	231	1	5	1	0	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1714	26	41	24	11	51	13	56	31	17	21	20	33	38	25	56	46	45	51	19	17	21	24	91	14	18	25	32	41	22	32	33	21	28	41	38	38	26	48	18	9	8	0	33	82	80	28	7	215	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57474	1561	1236	1669	1608	1608	447	1280	1041	849	565	1262	1433	1707	1919	1828	1782	1682	1580	1142	854	905	1501	1656	734	710	1688	1708	1683	1826	1778	1193	963	1593	1453	1704	1468	1651	547	741	959	891	365	1334	1137	22	75	3	0	133					
9	Число недействительных избирательных бюллетеней	616	0	15	19	18	25	3	13	15	13	8	19	10	11	16	15	21	12	13	12	5	10	18	11	10	12	26	16	13	23	19	11	12	20	20	23	12	18	10	14	4	2	3	14	18	1	1	0	2	10					
10	Число действительных избирательных бюллетеней	58572	1587	1262	1674	1601	1634	457	1323	1057	853	578	1263	1456	1734	1928	1869	1807	1715	1618	1149	866	916	1507	1736	738	716	1687	1724	1711	1825	1791	1215	972	1601	1474	1719	1494	1659	585	745	964	897	362	1353	1201	101	102	10	213	123					
